zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1641687560,1720742289,,,893,"rare.fyi.","NS","fyi.","kate.ns.cloudflare.com."
1641687560,1720742289,,,893,"rare.fyi.","NS","fyi.","kanye.ns.cloudflare.com."
,,1641522040,1720736443,3068,"rare.fyi.","A","rare.fyi.","104.21.40.61"
,,1641522040,1720736443,3068,"rare.fyi.","A","rare.fyi.","172.67.178.10"
,,1641522040,1720736443,7867,"rare.fyi.","NS","fyi.","kate.ns.cloudflare.com."
,,1641522040,1720736443,7867,"rare.fyi.","NS","fyi.","kanye.ns.cloudflare.com."
,,1644074822,1720707509,77,"rare.fyi.","NS","rare.fyi.","kate.ns.cloudflare.com."
,,1644074822,1720707509,77,"rare.fyi.","NS","rare.fyi.","kanye.ns.cloudflare.com."
,,1718884949,1720051951,20,"rare.fyi.","SOA","rare.fyi.","kanye.ns.cloudflare.com. dns.cloudflare.com. 2344084907 10000 2400 604800 1800"
,,1720643597,1720643597,1,"rare.fyi.","SOA","rare.fyi.","kanye.ns.cloudflare.com. dns.cloudflare.com. 2345602720 10000 2400 604800 1800"
,,1641568276,1720597004,1795,"rare.fyi.","AAAA","rare.fyi.","2606:4700:3030::ac43:b20a"
,,1641568276,1720597004,1795,"rare.fyi.","AAAA","rare.fyi.","2606:4700:3032::6815:283d"
,,1686903546,1720597004,736,"rare.fyi.","HTTPS","rare.fyi.","1 . alpn=\"h3,h2\" ipv4hint=104.21.40.61,172.67.178.10 ipv6hint=2606:4700:3030::ac43:b20a,2606:4700:3032::6815:283d"
,,1698580823,1720577899,7,"rare.fyi.","HTTPS","rare.fyi.","1 . alpn=\"h3,h2\" ipv4hint=188.114.96.3,188.114.97.3 ipv6hint=2a06:98c1:3120::3,2a06:98c1:3121::3"
