zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1652746284,1720742292,,,777,"rift.finance.","NS","finance.","maisie.ns.cloudflare.com."
1652746284,1720742292,,,777,"rift.finance.","NS","finance.","patryk.ns.cloudflare.com."
,,1644601969,1720789735,18919,"rift.finance.","A","rift.finance.","76.76.21.21"
,,1652748478,1720789735,35621,"rift.finance.","NS","finance.","maisie.ns.cloudflare.com."
,,1652748478,1720789735,35621,"rift.finance.","NS","finance.","patryk.ns.cloudflare.com."
,,1655832976,1720322885,210,"rift.finance.","NS","rift.finance.","maisie.ns.cloudflare.com."
,,1655832976,1720322885,210,"rift.finance.","NS","rift.finance.","patryk.ns.cloudflare.com."
,,1719562879,1720789735,51,"rift.finance.","SOA","rift.finance.","maisie.ns.cloudflare.com. dns.cloudflare.com. 2344883858 10000 2400 604800 1800"
,,1622772610,1720743557,442,"rift.finance.","MX","rift.finance.","1 aspmx.l.google.com."
,,1622772610,1720743557,442,"rift.finance.","MX","rift.finance.","5 alt1.aspmx.l.google.com."
,,1622772610,1720743557,442,"rift.finance.","MX","rift.finance.","5 alt2.aspmx.l.google.com."
,,1622772610,1720743557,442,"rift.finance.","MX","rift.finance.","10 alt3.aspmx.l.google.com."
,,1622772610,1720743557,442,"rift.finance.","MX","rift.finance.","10 alt4.aspmx.l.google.com."
