zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1596678102,1720742292,,,1137,"saddle.finance.","NS","finance.","ns-cloud-a1.googledomains.com."
1596678102,1720742292,,,1137,"saddle.finance.","NS","finance.","ns-cloud-a2.googledomains.com."
1596678102,1720742292,,,1137,"saddle.finance.","NS","finance.","ns-cloud-a3.googledomains.com."
1596678102,1720742292,,,1137,"saddle.finance.","NS","finance.","ns-cloud-a4.googledomains.com."
,,1679421353,1720687565,2673,"saddle.finance.","A","saddle.finance.","76.76.21.21"
,,1583690740,1720782157,439917,"saddle.finance.","NS","finance.","ns-cloud-a1.googledomains.com."
,,1583690740,1720782157,439917,"saddle.finance.","NS","finance.","ns-cloud-a2.googledomains.com."
,,1583690740,1720782157,439917,"saddle.finance.","NS","finance.","ns-cloud-a3.googledomains.com."
,,1583690740,1720782157,439917,"saddle.finance.","NS","finance.","ns-cloud-a4.googledomains.com."
,,1584798126,1720434599,1651,"saddle.finance.","NS","saddle.finance.","ns-cloud-a1.googledomains.com."
,,1584798126,1720434599,1651,"saddle.finance.","NS","saddle.finance.","ns-cloud-a2.googledomains.com."
,,1584798126,1720434599,1651,"saddle.finance.","NS","saddle.finance.","ns-cloud-a3.googledomains.com."
,,1584798126,1720434599,1651,"saddle.finance.","NS","saddle.finance.","ns-cloud-a4.googledomains.com."
,,1717589236,1720708029,232,"saddle.finance.","SOA","saddle.finance.","ns-cloud-a1.googledomains.com. cloud-dns-hostmaster.google.com. 22 21600 3600 259200 300"
,,1598118263,1720655060,353,"saddle.finance.","MX","saddle.finance.","1 aspmx.l.google.com."
,,1598118263,1720655060,353,"saddle.finance.","MX","saddle.finance.","5 alt1.aspmx.l.google.com."
,,1598118263,1720655060,353,"saddle.finance.","MX","saddle.finance.","5 alt2.aspmx.l.google.com."
,,1598118263,1720655060,353,"saddle.finance.","MX","saddle.finance.","10 alt3.aspmx.l.google.com."
,,1598118263,1720655060,353,"saddle.finance.","MX","saddle.finance.","10 alt4.aspmx.l.google.com."
