zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1665187609,1720742980,,,643,"safe.global.","NS","global.","ns-40.awsdns-05.com."
1665187609,1720742980,,,643,"safe.global.","NS","global.","ns-997.awsdns-60.net."
1665187609,1720742980,,,643,"safe.global.","NS","global.","ns-1317.awsdns-36.org."
1665187609,1720742980,,,643,"safe.global.","NS","global.","ns-1801.awsdns-33.co.uk."
,,1706082950,1720542576,334,"safe.global.","A","safe.global.","3.161.136.8"
,,1706082950,1720542576,334,"safe.global.","A","safe.global.","3.161.136.18"
,,1706082950,1720542576,334,"safe.global.","A","safe.global.","3.161.136.66"
,,1706082950,1720542576,334,"safe.global.","A","safe.global.","3.161.136.97"
,,1707761250,1720786085,862,"safe.global.","A","safe.global.","3.162.79.2"
,,1707761250,1720786085,862,"safe.global.","A","safe.global.","3.162.79.45"
,,1707761250,1720786085,862,"safe.global.","A","safe.global.","3.162.79.114"
,,1707761250,1720786085,862,"safe.global.","A","safe.global.","3.162.79.118"
,,1717394782,1720625293,20,"safe.global.","A","safe.global.","3.162.125.22"
,,1717394782,1720625293,20,"safe.global.","A","safe.global.","3.162.125.29"
,,1717394782,1720625293,20,"safe.global.","A","safe.global.","3.162.125.36"
,,1717394782,1720625293,20,"safe.global.","A","safe.global.","3.162.125.55"
,,1712942283,1720790412,5680,"safe.global.","A","safe.global.","3.164.240.2"
,,1712942283,1720790412,5680,"safe.global.","A","safe.global.","3.164.240.18"
,,1712942283,1720790412,5680,"safe.global.","A","safe.global.","3.164.240.32"
,,1712942283,1720790412,5680,"safe.global.","A","safe.global.","3.164.240.61"
,,1714059144,1720794711,69,"safe.global.","A","safe.global.","13.32.87.3"
,,1714059144,1720794711,69,"safe.global.","A","safe.global.","13.32.87.4"
,,1714059144,1720794711,69,"safe.global.","A","safe.global.","13.32.87.18"
,,1714059144,1720794711,69,"safe.global.","A","safe.global.","13.32.87.98"
,,1714041444,1720698907,3,"safe.global.","A","safe.global.","13.33.30.51"
,,1714041444,1720698907,3,"safe.global.","A","safe.global.","13.33.30.68"
,,1714041444,1720698907,3,"safe.global.","A","safe.global.","13.33.30.92"
,,1714041444,1720698907,3,"safe.global.","A","safe.global.","13.33.30.117"
,,1708191729,1720763603,2519,"safe.global.","A","safe.global.","13.33.187.23"
,,1708191729,1720763603,2519,"safe.global.","A","safe.global.","13.33.187.36"
,,1708191729,1720763603,2519,"safe.global.","A","safe.global.","13.33.187.68"
,,1708191729,1720763603,2519,"safe.global.","A","safe.global.","13.33.187.94"
,,1702343792,1720551711,30,"safe.global.","A","safe.global.","13.224.14.91"
,,1702343792,1720551711,30,"safe.global.","A","safe.global.","13.224.14.95"
,,1702343792,1720551711,30,"safe.global.","A","safe.global.","13.224.14.105"
,,1702343792,1720551711,30,"safe.global.","A","safe.global.","13.224.14.112"
,,1692695237,1720769092,4,"safe.global.","A","safe.global.","13.224.214.9"
,,1692695237,1720769092,4,"safe.global.","A","safe.global.","13.224.214.19"
,,1692695237,1720769092,4,"safe.global.","A","safe.global.","13.224.214.23"
,,1692695237,1720769092,4,"safe.global.","A","safe.global.","13.224.214.85"
,,1678506955,1720780344,502,"safe.global.","A","safe.global.","13.224.245.15"
,,1678506955,1720780344,502,"safe.global.","A","safe.global.","13.224.245.20"
,,1678506955,1720780344,502,"safe.global.","A","safe.global.","13.224.245.33"
,,1678506955,1720780344,502,"safe.global.","A","safe.global.","13.224.245.58"
,,1692189400,1720719404,8810,"safe.global.","A","safe.global.","13.226.210.74"
,,1692189400,1720719404,8810,"safe.global.","A","safe.global.","13.226.210.76"
,,1692189400,1720719404,8810,"safe.global.","A","safe.global.","13.226.210.84"
,,1692189400,1720719404,8810,"safe.global.","A","safe.global.","13.226.210.95"
,,1677725937,1720776741,1699,"safe.global.","A","safe.global.","18.66.192.5"
,,1677725937,1720776741,1699,"safe.global.","A","safe.global.","18.66.192.78"
,,1677725937,1720776741,1699,"safe.global.","A","safe.global.","18.66.192.93"
,,1677725937,1720776741,1699,"safe.global.","A","safe.global.","18.66.192.127"
,,1677689256,1720727508,834,"safe.global.","A","safe.global.","18.155.153.9"
,,1677689256,1720727508,834,"safe.global.","A","safe.global.","18.155.153.46"
,,1677689256,1720727508,834,"safe.global.","A","safe.global.","18.155.153.90"
,,1677689256,1720727508,834,"safe.global.","A","safe.global.","18.155.153.118"
,,1677687713,1720742844,2542,"safe.global.","A","safe.global.","18.155.173.87"
,,1677687713,1720742844,2542,"safe.global.","A","safe.global.","18.155.173.89"
,,1677687713,1720742844,2542,"safe.global.","A","safe.global.","18.155.173.110"
,,1677687713,1720742844,2542,"safe.global.","A","safe.global.","18.155.173.115"
,,1679686378,1720656981,79,"safe.global.","A","safe.global.","18.161.34.29"
,,1679686378,1720656981,79,"safe.global.","A","safe.global.","18.161.34.30"
,,1679686378,1720656981,79,"safe.global.","A","safe.global.","18.161.34.67"
,,1679686378,1720656981,79,"safe.global.","A","safe.global.","18.161.34.68"
,,1688420483,1720208389,4111,"safe.global.","A","safe.global.","18.165.140.5"
