zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1708557024,1720653214,,,140,"satoshiprotocol.org.","NS","org.","ns1.cas.nsone.net."
1708557024,1720653214,,,140,"satoshiprotocol.org.","NS","org.","ns2.cas.nsone.net."
1708557024,1720653214,,,140,"satoshiprotocol.org.","NS","org.","ns3.cas.nsone.net."
1708557024,1720653214,,,140,"satoshiprotocol.org.","NS","org.","ns4.cas.nsone.net."
1720739367,1720739367,,,1,"satoshiprotocol.org.","NS","org.","rose.ns.cloudflare.com."
1720739367,1720739367,,,1,"satoshiprotocol.org.","NS","org.","ryan.ns.cloudflare.com."
,,1720366664,1720736322,8,"satoshiprotocol.org.","A","satoshiprotocol.org.","75.2.70.75"
,,1720366664,1720736322,8,"satoshiprotocol.org.","A","satoshiprotocol.org.","99.83.190.102"
,,1708517012,1720321620,451,"satoshiprotocol.org.","A","satoshiprotocol.org.","76.76.21.21"
,,1708517012,1720711079,2130,"satoshiprotocol.org.","NS","org.","ns1.cas.nsone.net."
,,1708517012,1720711079,2130,"satoshiprotocol.org.","NS","org.","ns2.cas.nsone.net."
,,1708517012,1720711079,2130,"satoshiprotocol.org.","NS","org.","ns3.cas.nsone.net."
,,1708517012,1720711079,2130,"satoshiprotocol.org.","NS","org.","ns4.cas.nsone.net."
,,1720713629,1720792921,23,"satoshiprotocol.org.","NS","org.","rose.ns.cloudflare.com."
,,1720713629,1720792921,23,"satoshiprotocol.org.","NS","org.","ryan.ns.cloudflare.com."
,,1709485250,1720632387,106,"satoshiprotocol.org.","SOA","satoshiprotocol.org.","ns1.cas.nsone.net. hostmaster.nsone.net. 1708515880 43200 7200 1209600 3600"
,,1720736324,1720736324,1,"satoshiprotocol.org.","SOA","satoshiprotocol.org.","rose.ns.cloudflare.com. dns.cloudflare.com. 2346200170 10000 2400 604800 1800"
