zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1621562525,1720742292,,,1126,"sense.finance.","NS","finance.","ns1.vercel-dns.com."
1621562525,1720742292,,,1126,"sense.finance.","NS","finance.","ns2.vercel-dns.com."
,,1652288497,1720682529,323,"sense.finance.","A","sense.finance.","76.76.21.9"
,,1652288497,1720682529,323,"sense.finance.","A","sense.finance.","76.76.21.61"
,,1648956096,1720623253,334,"sense.finance.","A","sense.finance.","76.76.21.22"
,,1648956096,1720623253,334,"sense.finance.","A","sense.finance.","76.76.21.93"
,,1647708817,1720006907,356,"sense.finance.","A","sense.finance.","76.76.21.22"
,,1647708817,1720006907,356,"sense.finance.","A","sense.finance.","76.76.21.98"
,,1652379058,1720163613,339,"sense.finance.","A","sense.finance.","76.76.21.22"
,,1652379058,1720163613,339,"sense.finance.","A","sense.finance.","76.76.21.123"
,,1649181093,1720784660,327,"sense.finance.","A","sense.finance.","76.76.21.22"
,,1649181093,1720784660,327,"sense.finance.","A","sense.finance.","76.76.21.142"
,,1645607166,1720652588,364,"sense.finance.","A","sense.finance.","76.76.21.22"
,,1645607166,1720652588,364,"sense.finance.","A","sense.finance.","76.76.21.241"
,,1646742706,1719963512,352,"sense.finance.","A","sense.finance.","76.76.21.61"
,,1646742706,1719963512,352,"sense.finance.","A","sense.finance.","76.76.21.164"
,,1645783973,1720315452,337,"sense.finance.","A","sense.finance.","76.76.21.93"
,,1645783973,1720315452,337,"sense.finance.","A","sense.finance.","76.76.21.142"
,,1652576328,1720398812,331,"sense.finance.","A","sense.finance.","76.76.21.93"
,,1652576328,1720398812,331,"sense.finance.","A","sense.finance.","76.76.21.164"
,,1646742707,1720229871,345,"sense.finance.","A","sense.finance.","76.76.21.93"
,,1646742707,1720229871,345,"sense.finance.","A","sense.finance.","76.76.21.241"
,,1643061304,1720652588,367,"sense.finance.","A","sense.finance.","76.76.21.98"
,,1643061304,1720652588,367,"sense.finance.","A","sense.finance.","76.76.21.123"
,,1646265552,1720712142,334,"sense.finance.","A","sense.finance.","76.76.21.98"
,,1646265552,1720712142,334,"sense.finance.","A","sense.finance.","76.76.21.142"
,,1651757657,1720712142,330,"sense.finance.","A","sense.finance.","76.76.21.123"
,,1651757657,1720712142,330,"sense.finance.","A","sense.finance.","76.76.21.164"
,,1650937947,1720617990,350,"sense.finance.","A","sense.finance.","76.76.21.123"
,,1650937947,1720617990,350,"sense.finance.","A","sense.finance.","76.76.21.241"
,,1644225657,1720652588,328,"sense.finance.","A","sense.finance.","76.76.21.164"
,,1644225657,1720652588,328,"sense.finance.","A","sense.finance.","76.76.21.241"
,,1613714065,1720764643,874705,"sense.finance.","NS","finance.","ns1.vercel-dns.com."
,,1613714065,1720764643,874705,"sense.finance.","NS","finance.","ns2.vercel-dns.com."
,,1613714065,1720777923,4775,"sense.finance.","NS","sense.finance.","ns1.vercel-dns.com."
,,1613714065,1720777923,4775,"sense.finance.","NS","sense.finance.","ns2.vercel-dns.com."
,,1664247811,1720023078,303076,"sense.finance.","SOA","sense.finance.","ns1.vercel-dns.com. hostmaster.nsone.net. 1652994981 43200 7200 1209600 60"
,,1720043605,1720741681,651,"sense.finance.","SOA","sense.finance.","ns1.vercel-dns.com. hostmaster.nsone.net. 1652994982 43200 7200 1209600 600"
,,1620329960,1720209991,1171,"sense.finance.","MX","sense.finance.","1 aspmx.l.google.com."
,,1620329960,1720209991,1171,"sense.finance.","MX","sense.finance.","5 alt1.aspmx.l.google.com."
,,1620329960,1720209991,1171,"sense.finance.","MX","sense.finance.","5 alt2.aspmx.l.google.com."
,,1620329960,1720209991,1171,"sense.finance.","MX","sense.finance.","10 alt3.aspmx.l.google.com."
,,1620329960,1720209991,1171,"sense.finance.","MX","sense.finance.","10 alt4.aspmx.l.google.com."
,,1620329960,1720209991,1171,"sense.finance.","MX","sense.finance.","15 nxj5pcajjaygquwxpwiejpoz7ao5osmt4unhy47r3mmby6gxfneq.mx-verification.google.com."
