zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1664150697,1720742292,,,655,"sonne.finance.","NS","finance.","macy.ns.cloudflare.com."
1664150697,1720742292,,,655,"sonne.finance.","NS","finance.","mustafa.ns.cloudflare.com."
,,1679073672,1720787227,5134,"sonne.finance.","A","sonne.finance.","104.26.0.137"
,,1679073672,1720787227,5134,"sonne.finance.","A","sonne.finance.","104.26.1.137"
,,1679073672,1720787227,5134,"sonne.finance.","A","sonne.finance.","172.67.69.229"
,,1679875923,1720740373,7551,"sonne.finance.","A","sonne.finance.","188.114.98.229"
,,1679875923,1720740373,7551,"sonne.finance.","A","sonne.finance.","188.114.99.229"
,,1664101491,1720795848,202796,"sonne.finance.","NS","finance.","macy.ns.cloudflare.com."
,,1664101491,1720795848,202796,"sonne.finance.","NS","finance.","mustafa.ns.cloudflare.com."
,,1666527330,1720658133,114,"sonne.finance.","NS","sonne.finance.","macy.ns.cloudflare.com."
,,1666527330,1720658133,114,"sonne.finance.","NS","sonne.finance.","mustafa.ns.cloudflare.com."
,,1715595465,1720659185,39,"sonne.finance.","SOA","sonne.finance.","macy.ns.cloudflare.com. dns.cloudflare.com. 2341077682 10000 2400 604800 1800"
,,1679073672,1720795848,3514,"sonne.finance.","AAAA","sonne.finance.","2606:4700:20::681a:89"
,,1679073672,1720795848,3514,"sonne.finance.","AAAA","sonne.finance.","2606:4700:20::681a:189"
,,1679073672,1720795848,3514,"sonne.finance.","AAAA","sonne.finance.","2606:4700:20::ac43:45e5"
,,1679875923,1720683727,2003,"sonne.finance.","AAAA","sonne.finance.","2a06:98c1:3122:e000::5"
,,1679875923,1720683727,2003,"sonne.finance.","AAAA","sonne.finance.","2a06:98c1:3123:e000::5"
,,1679875923,1720740379,2710,"sonne.finance.","HTTPS","sonne.finance.","1 . alpn=\"h2\" ipv4hint=188.114.98.229,188.114.99.229 ipv6hint=2a06:98c1:3122:e000::5,2a06:98c1:3123:e000::5"
,,1679075554,1720688284,3381,"sonne.finance.","HTTPS","sonne.finance.","1 . alpn=\"h2\" ipv4hint=104.26.0.137,104.26.1.137,172.67.69.229 ipv6hint=2606:4700:20::681a:89,2606:4700:20::681a:189,2606:4700:20::ac43:45e5"
