zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1720739367,1720739367,,,1,"stabble.org.","NS","org.","haley.ns.cloudflare.com."
1720739367,1720739367,,,1,"stabble.org.","NS","org.","rohin.ns.cloudflare.com."
1691709182,1720653214,,,335,"stabble.org.","NS","org.","ns-cloud-d1.googledomains.com."
1691709182,1720653214,,,335,"stabble.org.","NS","org.","ns-cloud-d2.googledomains.com."
1691709182,1720653214,,,335,"stabble.org.","NS","org.","ns-cloud-d3.googledomains.com."
1691709182,1720653214,,,335,"stabble.org.","NS","org.","ns-cloud-d4.googledomains.com."
,,1720773134,1720773134,1,"stabble.org.","A","stabble.org.","104.21.46.164"
,,1720773134,1720773134,1,"stabble.org.","A","stabble.org.","172.67.140.181"
,,1692878987,1720723386,579,"stabble.org.","A","stabble.org.","199.36.158.100"
,,1720723386,1720789992,5,"stabble.org.","NS","org.","haley.ns.cloudflare.com."
,,1720723386,1720789992,5,"stabble.org.","NS","org.","rohin.ns.cloudflare.com."
,,1692711058,1720676904,2152,"stabble.org.","NS","org.","ns-cloud-d1.googledomains.com."
,,1692711058,1720676904,2152,"stabble.org.","NS","org.","ns-cloud-d2.googledomains.com."
,,1692711058,1720676904,2152,"stabble.org.","NS","org.","ns-cloud-d3.googledomains.com."
,,1692711058,1720676904,2152,"stabble.org.","NS","org.","ns-cloud-d4.googledomains.com."
,,1718712867,1720555717,31,"stabble.org.","SOA","stabble.org.","ns-cloud-d1.googledomains.com. cloud-dns-hostmaster.google.com. 34 21600 3600 259200 300"
,,1720773133,1720773133,1,"stabble.org.","AAAA","stabble.org.","2606:4700:3030::6815:2ea4"
,,1720773133,1720773133,1,"stabble.org.","AAAA","stabble.org.","2606:4700:3037::ac43:8cb5"
,,1720777111,1720777111,1,"stabble.org.","AAAA","stabble.org.","2a06:98c1:3120::3"
,,1720777111,1720777111,1,"stabble.org.","AAAA","stabble.org.","2a06:98c1:3121::3"
,,1720789992,1720789992,1,"stabble.org.","HTTPS","stabble.org.","1 . alpn=\"h3,h2\" ipv4hint=104.21.46.164,172.67.140.181 ipv6hint=2606:4700:3030::6815:2ea4,2606:4700:3037::ac43:8cb5"
