zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1655676521,1720738701,,,750,"stcelo.xyz.","NS","xyz.","ns-cloud-d1.googledomains.com."
1655676521,1720738701,,,750,"stcelo.xyz.","NS","xyz.","ns-cloud-d2.googledomains.com."
1655676521,1720738701,,,750,"stcelo.xyz.","NS","xyz.","ns-cloud-d3.googledomains.com."
1655676521,1720738701,,,750,"stcelo.xyz.","NS","xyz.","ns-cloud-d4.googledomains.com."
,,1660662990,1720753129,2997,"stcelo.xyz.","A","stcelo.xyz.","76.76.21.21"
,,1655955912,1720786922,136955,"stcelo.xyz.","NS","xyz.","ns-cloud-d1.googledomains.com."
,,1655955912,1720786922,136955,"stcelo.xyz.","NS","xyz.","ns-cloud-d2.googledomains.com."
,,1655955912,1720786922,136955,"stcelo.xyz.","NS","xyz.","ns-cloud-d3.googledomains.com."
,,1655955912,1720786922,136955,"stcelo.xyz.","NS","xyz.","ns-cloud-d4.googledomains.com."
,,1663688207,1720684331,2880,"stcelo.xyz.","NS","stcelo.xyz.","ns-cloud-d1.googledomains.com."
,,1663688207,1720684331,2880,"stcelo.xyz.","NS","stcelo.xyz.","ns-cloud-d2.googledomains.com."
,,1663688207,1720684331,2880,"stcelo.xyz.","NS","stcelo.xyz.","ns-cloud-d3.googledomains.com."
,,1663688207,1720684331,2880,"stcelo.xyz.","NS","stcelo.xyz.","ns-cloud-d4.googledomains.com."
,,1716024622,1720786922,2270494,"stcelo.xyz.","SOA","stcelo.xyz.","ns-cloud-d1.googledomains.com. cloud-dns-hostmaster.google.com. 9 21600 3600 259200 300"
