zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1627432392,1720742292,,,1058,"steer.finance.","NS","finance.","ns-cloud-e1.googledomains.com."
1627432392,1720742292,,,1058,"steer.finance.","NS","finance.","ns-cloud-e2.googledomains.com."
1627432392,1720742292,,,1058,"steer.finance.","NS","finance.","ns-cloud-e3.googledomains.com."
1627432392,1720742292,,,1058,"steer.finance.","NS","finance.","ns-cloud-e4.googledomains.com."
,,1619641133,1720761074,5146,"steer.finance.","A","steer.finance.","104.131.188.172"
,,1617577487,1720784823,91896,"steer.finance.","NS","finance.","ns-cloud-e1.googledomains.com."
,,1617577487,1720784823,91896,"steer.finance.","NS","finance.","ns-cloud-e2.googledomains.com."
,,1617577487,1720784823,91896,"steer.finance.","NS","finance.","ns-cloud-e3.googledomains.com."
,,1617577487,1720784823,91896,"steer.finance.","NS","finance.","ns-cloud-e4.googledomains.com."
,,1628681666,1720052763,218,"steer.finance.","NS","steer.finance.","ns-cloud-e1.googledomains.com."
,,1628681666,1720052763,218,"steer.finance.","NS","steer.finance.","ns-cloud-e2.googledomains.com."
,,1628681666,1720052763,218,"steer.finance.","NS","steer.finance.","ns-cloud-e3.googledomains.com."
,,1628681666,1720052763,218,"steer.finance.","NS","steer.finance.","ns-cloud-e4.googledomains.com."
,,1717390753,1720770526,572,"steer.finance.","SOA","steer.finance.","ns-cloud-e1.googledomains.com. cloud-dns-hostmaster.google.com. 29 21600 3600 259200 300"
,,1629837178,1720052763,101,"steer.finance.","MX","steer.finance.","1 aspmx.l.google.com."
,,1629837178,1720052763,101,"steer.finance.","MX","steer.finance.","5 alt1.aspmx.l.google.com."
,,1629837178,1720052763,101,"steer.finance.","MX","steer.finance.","5 alt2.aspmx.l.google.com."
,,1629837178,1720052763,101,"steer.finance.","MX","steer.finance.","10 alt3.aspmx.l.google.com."
,,1629837178,1720052763,101,"steer.finance.","MX","steer.finance.","10 alt4.aspmx.l.google.com."
