zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1631832623,1720651820,,,915,"summitdefi.com.","NS","com.","ns-cloud-e1.googledomains.com."
1631832623,1720651820,,,915,"summitdefi.com.","NS","com.","ns-cloud-e2.googledomains.com."
1631832623,1720651820,,,915,"summitdefi.com.","NS","com.","ns-cloud-e3.googledomains.com."
1631832623,1720651820,,,915,"summitdefi.com.","NS","com.","ns-cloud-e4.googledomains.com."
,,1632433730,1720765900,2918,"summitdefi.com.","A","summitdefi.com.","199.36.158.100"
,,1631824686,1720736820,47507,"summitdefi.com.","NS","com.","ns-cloud-e1.googledomains.com."
,,1631824686,1720736820,47507,"summitdefi.com.","NS","com.","ns-cloud-e2.googledomains.com."
,,1631824686,1720736820,47507,"summitdefi.com.","NS","com.","ns-cloud-e3.googledomains.com."
,,1631824686,1720736820,47507,"summitdefi.com.","NS","com.","ns-cloud-e4.googledomains.com."
,,1632433911,1720346603,146,"summitdefi.com.","NS","summitdefi.com.","ns-cloud-e1.googledomains.com."
,,1632433911,1720346603,146,"summitdefi.com.","NS","summitdefi.com.","ns-cloud-e2.googledomains.com."
,,1632433911,1720346603,146,"summitdefi.com.","NS","summitdefi.com.","ns-cloud-e3.googledomains.com."
,,1632433911,1720346603,146,"summitdefi.com.","NS","summitdefi.com.","ns-cloud-e4.googledomains.com."
,,1716075145,1720768022,262,"summitdefi.com.","SOA","summitdefi.com.","ns-cloud-e1.googledomains.com. cloud-dns-hostmaster.google.com. 31 21600 3600 259200 300"
,,1632668257,1720690436,78,"summitdefi.com.","MX","summitdefi.com.","1 aspmx.l.google.com."
,,1632668257,1720690436,78,"summitdefi.com.","MX","summitdefi.com.","5 alt1.aspmx.l.google.com."
,,1632668257,1720690436,78,"summitdefi.com.","MX","summitdefi.com.","5 alt2.aspmx.l.google.com."
,,1632668257,1720690436,78,"summitdefi.com.","MX","summitdefi.com.","10 alt3.aspmx.l.google.com."
,,1632668257,1720690436,78,"summitdefi.com.","MX","summitdefi.com.","10 alt4.aspmx.l.google.com."
