zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1621551023,1720651820,,,1034,"syncbond.com.","NS","com.","sid.ns.cloudflare.com."
1621551023,1720651820,,,1034,"syncbond.com.","NS","com.","coco.ns.cloudflare.com."
,,1602533155,1719955166,13216,"syncbond.com.","A","syncbond.com.","104.26.0.96"
,,1602533155,1719955166,13216,"syncbond.com.","A","syncbond.com.","104.26.1.96"
,,1602533155,1719955166,13216,"syncbond.com.","A","syncbond.com.","172.67.71.146"
,,1678572553,1720768842,1017,"syncbond.com.","A","syncbond.com.","188.114.98.229"
,,1678572553,1720768842,1017,"syncbond.com.","A","syncbond.com.","188.114.99.229"
,,1598926089,1720768841,528064,"syncbond.com.","NS","com.","sid.ns.cloudflare.com."
,,1598926089,1720768841,528064,"syncbond.com.","NS","com.","coco.ns.cloudflare.com."
,,1599146327,1720512478,240,"syncbond.com.","NS","syncbond.com.","sid.ns.cloudflare.com."
,,1599146327,1720512478,240,"syncbond.com.","NS","syncbond.com.","coco.ns.cloudflare.com."
,,1720286037,1720286037,3,"syncbond.com.","SOA","syncbond.com.","coco.ns.cloudflare.com. dns.cloudflare.com. 2345114533 10000 2400 604800 1800"
,,1603032181,1720022964,164,"syncbond.com.","MX","syncbond.com.","10 mail.protonmail.ch."
,,1603032181,1720022964,164,"syncbond.com.","MX","syncbond.com.","20 mailsec.protonmail.ch."
,,1602533155,1720703416,7404,"syncbond.com.","AAAA","syncbond.com.","2606:4700:20::681a:60"
,,1602533155,1720703416,7404,"syncbond.com.","AAAA","syncbond.com.","2606:4700:20::681a:160"
,,1602533155,1720703416,7404,"syncbond.com.","AAAA","syncbond.com.","2606:4700:20::ac43:4792"
,,1678629533,1720440788,367,"syncbond.com.","AAAA","syncbond.com.","2a06:98c1:3122:e000::5"
,,1678629533,1720440788,367,"syncbond.com.","AAAA","syncbond.com.","2a06:98c1:3123:e000::5"
,,1685531249,1720440788,171,"syncbond.com.","HTTPS","syncbond.com.","1 . alpn=\"h3,h2\" ipv4hint=188.114.98.229,188.114.99.229 ipv6hint=2a06:98c1:3122:e000::5,2a06:98c1:3123:e000::5"
