zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1565915666,1720743021,,,1313,"tbtc.network.","NS","network.","nora.ns.cloudflare.com."
1565915666,1720743021,,,1313,"tbtc.network.","NS","network.","vick.ns.cloudflare.com."
,,1610676659,1720747285,8218,"tbtc.network.","A","tbtc.network.","104.21.49.71"
,,1610676659,1720747285,8218,"tbtc.network.","A","tbtc.network.","172.67.160.164"
,,1565912792,1720747285,34386,"tbtc.network.","NS","network.","nora.ns.cloudflare.com."
,,1565912792,1720747285,34386,"tbtc.network.","NS","network.","vick.ns.cloudflare.com."
,,1569474440,1720695898,327,"tbtc.network.","NS","tbtc.network.","nora.ns.cloudflare.com."
,,1569474440,1720695898,327,"tbtc.network.","NS","tbtc.network.","vick.ns.cloudflare.com."
,,1719625526,1720090621,43,"tbtc.network.","SOA","tbtc.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2345111222 10000 2400 604800 1800"
,,1720277436,1720667159,45,"tbtc.network.","SOA","tbtc.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2345730440 10000 2400 604800 1800"
,,1720697828,1720697828,1,"tbtc.network.","SOA","tbtc.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2346165728 10000 2400 604800 1800"
,,1720758703,1720758703,1,"tbtc.network.","SOA","tbtc.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2346239951 10000 2400 604800 1800"
,,1610676659,1720747285,4406,"tbtc.network.","AAAA","tbtc.network.","2606:4700:3035::6815:3147"
,,1610676659,1720747285,4406,"tbtc.network.","AAAA","tbtc.network.","2606:4700:3037::ac43:a0a4"
,,1685531878,1720747285,764,"tbtc.network.","HTTPS","tbtc.network.","1 . alpn=\"h3,h2\" ipv4hint=104.21.49.71,172.67.160.164 ipv6hint=2606:4700:3035::6815:3147,2606:4700:3037::ac43:a0a4"
