zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1684282079,1720742292,,,422,"term.finance.","NS","finance.","ns-144.awsdns-18.com."
1684282079,1720742292,,,422,"term.finance.","NS","finance.","ns-917.awsdns-50.net."
1684282079,1720742292,,,422,"term.finance.","NS","finance.","ns-1096.awsdns-09.org."
1684282079,1720742292,,,422,"term.finance.","NS","finance.","ns-1602.awsdns-08.co.uk."
,,1696530082,1720782516,838,"term.finance.","A","term.finance.","75.2.70.75"
,,1696530082,1720782516,838,"term.finance.","A","term.finance.","99.83.190.102"
,,1684275533,1720730127,4955,"term.finance.","NS","finance.","ns-144.awsdns-18.com."
,,1684275533,1720730127,4955,"term.finance.","NS","finance.","ns-917.awsdns-50.net."
,,1684275533,1720730127,4955,"term.finance.","NS","finance.","ns-1096.awsdns-09.org."
,,1684275533,1720730127,4955,"term.finance.","NS","finance.","ns-1602.awsdns-08.co.uk."
,,1684341017,1720782519,930,"term.finance.","NS","term.finance.","ns-144.awsdns-18.com."
,,1684341017,1720782519,930,"term.finance.","NS","term.finance.","ns-917.awsdns-50.net."
,,1684341017,1720782519,930,"term.finance.","NS","term.finance.","ns-1096.awsdns-09.org."
,,1684341017,1720782519,930,"term.finance.","NS","term.finance.","ns-1602.awsdns-08.co.uk."
,,1684275538,1720782538,1156,"term.finance.","SOA","term.finance.","ns-1096.awsdns-09.org. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400"
