zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1630370254,1720742283,,,1024,"thedragonslair.farm.","NS","farm.","dns1.p07.nsone.net."
1630370254,1720742283,,,1024,"thedragonslair.farm.","NS","farm.","dns2.p07.nsone.net."
1630370254,1720742283,,,1024,"thedragonslair.farm.","NS","farm.","dns3.p07.nsone.net."
1630370254,1720742283,,,1024,"thedragonslair.farm.","NS","farm.","dns4.p07.nsone.net."
,,1694456600,1720319381,26,"thedragonslair.farm.","A","thedragonslair.farm.","3.70.101.28"
,,1694456600,1720319381,26,"thedragonslair.farm.","A","thedragonslair.farm.","18.192.94.96"
,,1679901545,1720319460,23,"thedragonslair.farm.","A","thedragonslair.farm.","3.72.140.173"
,,1679901545,1720319460,23,"thedragonslair.farm.","A","thedragonslair.farm.","18.192.231.252"
,,1677752730,1720656025,32,"thedragonslair.farm.","A","thedragonslair.farm.","3.72.140.173"
,,1677752730,1720656025,32,"thedragonslair.farm.","A","thedragonslair.farm.","35.156.224.161"
,,1694222805,1720656027,18,"thedragonslair.farm.","A","thedragonslair.farm.","3.72.140.173"
,,1694222805,1720656027,18,"thedragonslair.farm.","A","thedragonslair.farm.","52.58.254.253"
,,1695060793,1720032948,10,"thedragonslair.farm.","A","thedragonslair.farm.","18.192.94.96"
,,1695060793,1720032948,10,"thedragonslair.farm.","A","thedragonslair.farm.","35.156.224.161"
,,1695042559,1720032948,28,"thedragonslair.farm.","A","thedragonslair.farm.","18.192.231.252"
,,1695042559,1720032948,28,"thedragonslair.farm.","A","thedragonslair.farm.","52.58.254.253"
,,1698654881,1720319377,9,"thedragonslair.farm.","A","thedragonslair.farm.","35.156.224.161"
,,1698654881,1720319377,9,"thedragonslair.farm.","A","thedragonslair.farm.","52.58.254.253"
,,1630293083,1720656027,15805,"thedragonslair.farm.","NS","farm.","dns1.p07.nsone.net."
,,1630293083,1720656027,15805,"thedragonslair.farm.","NS","farm.","dns2.p07.nsone.net."
,,1630293083,1720656027,15805,"thedragonslair.farm.","NS","farm.","dns3.p07.nsone.net."
,,1630293083,1720656027,15805,"thedragonslair.farm.","NS","farm.","dns4.p07.nsone.net."
,,1630474720,1720271700,61,"thedragonslair.farm.","NS","thedragonslair.farm.","dns1.p07.nsone.net."
,,1630474720,1720271700,61,"thedragonslair.farm.","NS","thedragonslair.farm.","dns2.p07.nsone.net."
,,1630474720,1720271700,61,"thedragonslair.farm.","NS","thedragonslair.farm.","dns3.p07.nsone.net."
,,1630474720,1720271700,61,"thedragonslair.farm.","NS","thedragonslair.farm.","dns4.p07.nsone.net."
,,1662587740,1720319460,3319,"thedragonslair.farm.","SOA","thedragonslair.farm.","dns1.p07.nsone.net. domains+netlify.netlify.com. 1662386515 43200 7200 1209600 3600"
,,1669155301,1720656025,37,"thedragonslair.farm.","AAAA","thedragonslair.farm.","2a05:d014:275:cb00::c8"
,,1669155301,1720656025,37,"thedragonslair.farm.","AAAA","thedragonslair.farm.","2a05:d014:275:cb02::c8"
,,1670192763,1720656025,40,"thedragonslair.farm.","AAAA","thedragonslair.farm.","2a05:d014:275:cb01::c8"
,,1670192763,1720656025,40,"thedragonslair.farm.","AAAA","thedragonslair.farm.","2a05:d014:275:cb02::c8"
,,1693687099,1720319381,6,"thedragonslair.farm.","AAAA","thedragonslair.farm.","2a05:d014:275:cb01::c8"
,,1693687099,1720319381,6,"thedragonslair.farm.","AAAA","thedragonslair.farm.","2a05:d014:58f:6200::64"
