zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1671231020,1720651820,,,474,"thegeniustoken.com.","NS","com.","ns1.a2hosting.com."
1671231020,1720651820,,,474,"thegeniustoken.com.","NS","com.","ns2.a2hosting.com."
1671231020,1720651820,,,474,"thegeniustoken.com.","NS","com.","ns3.a2hosting.com."
1671231020,1720651820,,,474,"thegeniustoken.com.","NS","com.","ns4.a2hosting.com."
,,1672415728,1720783742,1181,"thegeniustoken.com.","A","thegeniustoken.com.","106.0.62.73"
,,1671333612,1720783742,3196,"thegeniustoken.com.","NS","com.","ns1.a2hosting.com."
,,1671333612,1720783742,3196,"thegeniustoken.com.","NS","com.","ns2.a2hosting.com."
,,1671333612,1720783742,3196,"thegeniustoken.com.","NS","com.","ns3.a2hosting.com."
,,1671333612,1720783742,3196,"thegeniustoken.com.","NS","com.","ns4.a2hosting.com."
,,1671411947,1720346865,71,"thegeniustoken.com.","NS","thegeniustoken.com.","ns1.a2hosting.com."
,,1671411947,1720346865,71,"thegeniustoken.com.","NS","thegeniustoken.com.","ns2.a2hosting.com."
,,1671411947,1720346865,71,"thegeniustoken.com.","NS","thegeniustoken.com.","ns3.a2hosting.com."
,,1671411947,1720346865,71,"thegeniustoken.com.","NS","thegeniustoken.com.","ns4.a2hosting.com."
,,1719805659,1719823171,3,"thegeniustoken.com.","SOA","thegeniustoken.com.","ns1.a2hosting.com. root.az1-ts107.a2hosting.com. 2024070100 3600 1800 1209600 86400"
,,1719954568,1719976749,6,"thegeniustoken.com.","SOA","thegeniustoken.com.","ns1.a2hosting.com. root.az1-ts107.a2hosting.com. 2024070200 3600 1800 1209600 86400"
,,1720127230,1720155348,9,"thegeniustoken.com.","SOA","thegeniustoken.com.","ns1.a2hosting.com. root.az1-ts107.a2hosting.com. 2024070400 3600 1800 1209600 86400"
,,1720454949,1720521267,27,"thegeniustoken.com.","SOA","thegeniustoken.com.","ns1.a2hosting.com. root.az1-ts107.a2hosting.com. 2024070800 3600 1800 1209600 86400"
,,1720625046,1720625046,7,"thegeniustoken.com.","SOA","thegeniustoken.com.","ns1.a2hosting.com. root.az1-ts107.a2hosting.com. 2024071000 3600 1800 1209600 86400"
,,1720709772,1720709772,3,"thegeniustoken.com.","SOA","thegeniustoken.com.","ns1.a2hosting.com. root.az1-ts107.a2hosting.com. 2024071001 3600 1800 1209600 86400"
,,1720747147,1720747147,1,"thegeniustoken.com.","SOA","thegeniustoken.com.","ns1.a2hosting.com. root.az1-ts107.a2hosting.com. 2024071100 3600 1800 1209600 86400"
,,1673587741,1720367981,27,"thegeniustoken.com.","TXT","thegeniustoken.com.","\"v=spf1 ip4:106.0.62.73 include:spf.a2hosting.com +ip4:106.0.62.73 +a +mx +ip4:68.66.226.111 ~all\""
