zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1656543022,1720651820,,,655,"thorchain.com.","NS","com.","ns-cloud-c1.googledomains.com."
1656543022,1720651820,,,655,"thorchain.com.","NS","com.","ns-cloud-c2.googledomains.com."
1656543022,1720651820,,,655,"thorchain.com.","NS","com.","ns-cloud-c3.googledomains.com."
1656543022,1720651820,,,655,"thorchain.com.","NS","com.","ns-cloud-c4.googledomains.com."
,,1720733322,1720733322,1,"thorchain.com.","A","thorchain.com.","104.21.0.112"
,,1720733322,1720733322,1,"thorchain.com.","A","thorchain.com.","172.67.150.232"
,,1656537240,1720706758,2699,"thorchain.com.","A","thorchain.com.","216.239.32.21"
,,1656537240,1720706758,2699,"thorchain.com.","A","thorchain.com.","216.239.34.21"
,,1656537240,1720706758,2699,"thorchain.com.","A","thorchain.com.","216.239.36.21"
,,1656537240,1720706758,2699,"thorchain.com.","A","thorchain.com.","216.239.38.21"
,,1720706755,1720778776,29,"thorchain.com.","NS","com.","damon.ns.cloudflare.com."
,,1720706755,1720778776,29,"thorchain.com.","NS","com.","arushi.ns.cloudflare.com."
,,1656503175,1720705621,13146,"thorchain.com.","NS","com.","ns-cloud-c1.googledomains.com."
,,1656503175,1720705621,13146,"thorchain.com.","NS","com.","ns-cloud-c2.googledomains.com."
,,1656503175,1720705621,13146,"thorchain.com.","NS","com.","ns-cloud-c3.googledomains.com."
,,1656503175,1720705621,13146,"thorchain.com.","NS","com.","ns-cloud-c4.googledomains.com."
,,1720733463,1720733463,1,"thorchain.com.","NS","thorchain.com.","damon.ns.cloudflare.com."
,,1720733463,1720733463,1,"thorchain.com.","NS","thorchain.com.","arushi.ns.cloudflare.com."
,,1720706756,1720723043,104,"thorchain.com.","SOA","thorchain.com.","arushi.ns.cloudflare.com. dns.cloudflare.com. 2346190086 10000 2400 604800 1800"
,,1716054358,1720602128,72,"thorchain.com.","SOA","thorchain.com.","ns-cloud-c1.googledomains.com. cloud-dns-hostmaster.google.com. 5 21600 3600 259200 300"
,,1656537240,1720051381,937,"thorchain.com.","AAAA","thorchain.com.","2001:4860:4802:32::15"
,,1656537240,1720051381,937,"thorchain.com.","AAAA","thorchain.com.","2001:4860:4802:34::15"
,,1656537240,1720051381,937,"thorchain.com.","AAAA","thorchain.com.","2001:4860:4802:36::15"
,,1656537240,1720051381,937,"thorchain.com.","AAAA","thorchain.com.","2001:4860:4802:38::15"
,,1720733315,1720733315,1,"thorchain.com.","AAAA","thorchain.com.","2606:4700:3031::6815:70"
,,1720733315,1720733315,1,"thorchain.com.","AAAA","thorchain.com.","2606:4700:3037::ac43:96e8"
