zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1633395621,1720743021,,,988,"threshold.network.","NS","network.","nora.ns.cloudflare.com."
1633395621,1720743021,,,988,"threshold.network.","NS","network.","vick.ns.cloudflare.com."
,,1638459028,1720760434,5769,"threshold.network.","A","threshold.network.","104.21.0.199"
,,1638459028,1720760434,5769,"threshold.network.","A","threshold.network.","172.67.128.63"
,,1633361483,1720733981,323765,"threshold.network.","NS","network.","nora.ns.cloudflare.com."
,,1633361483,1720733981,323765,"threshold.network.","NS","network.","vick.ns.cloudflare.com."
,,1647244493,1720750900,4197,"threshold.network.","NS","threshold.network.","nora.ns.cloudflare.com."
,,1647244493,1720750900,4197,"threshold.network.","NS","threshold.network.","vick.ns.cloudflare.com."
,,1718385665,1719997456,283526,"threshold.network.","SOA","threshold.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2343865151 10000 2400 604800 1800"
,,1720020893,1720024945,97,"threshold.network.","SOA","threshold.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2345505956 10000 2400 604800 1800"
,,1720029936,1720029936,1,"threshold.network.","SOA","threshold.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2345514982 10000 2400 604800 1800"
,,1720033604,1720033604,1,"threshold.network.","SOA","threshold.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2345516039 10000 2400 604800 1800"
,,1720053817,1720053817,1,"threshold.network.","SOA","threshold.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2345531790 10000 2400 604800 1800"
,,1720097103,1720710632,42098,"threshold.network.","SOA","threshold.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2345542428 10000 2400 604800 1800"
,,1706916233,1720361205,33,"threshold.network.","TXT","threshold.network.","\"v=spf1 include:_spf.google.com -all\""
,,1706916233,1720361205,33,"threshold.network.","TXT","threshold.network.","\"_beehiiv-authentication=NdR2YEvtq1KcXJt6MefLVVhp\""
,,1706916233,1720361205,33,"threshold.network.","TXT","threshold.network.","\"google-site-verification=J84MjC3W52PsQqo4G5-7iZjOOZrPYY0H4NMCw1YKs2w\""
,,1706916233,1720361205,33,"threshold.network.","TXT","threshold.network.","\"google-site-verification=LbLnbSsWP0uDirLadw7V9eFULv7uZYBFnj813zqz7QA\""
,,1706916233,1720361205,33,"threshold.network.","TXT","threshold.network.","\"google-site-verification=Nu9TD2sbHbbAhTyzj6KEno8k22jS-yQq-gaXcCibbRM\""
,,1706916233,1720361205,33,"threshold.network.","TXT","threshold.network.","\"wallet-connect-dns-verification=d685bec8cefb08f9a671a646f8099e8bde0b142e5a3fb17bc66d08a05955e3e2\""
,,1638459028,1720733981,2107,"threshold.network.","AAAA","threshold.network.","2606:4700:3033::ac43:803f"
,,1638459028,1720733981,2107,"threshold.network.","AAAA","threshold.network.","2606:4700:3035::6815:c7"
,,1685135280,1720791363,1418,"threshold.network.","HTTPS","threshold.network.","1 . alpn=\"h3,h2\" ipv4hint=104.21.0.199,172.67.128.63 ipv6hint=2606:4700:3033::ac43:803f,2606:4700:3035::6815:c7"
