zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1629764198,1720742812,,,1031,"toucan.earth.","NS","earth.","ns-cloud-a1.googledomains.com."
1629764198,1720742812,,,1031,"toucan.earth.","NS","earth.","ns-cloud-a2.googledomains.com."
1629764198,1720742812,,,1031,"toucan.earth.","NS","earth.","ns-cloud-a3.googledomains.com."
1629764198,1720742812,,,1031,"toucan.earth.","NS","earth.","ns-cloud-a4.googledomains.com."
,,1682002228,1720716409,4080,"toucan.earth.","A","toucan.earth.","141.193.213.20"
,,1682002228,1720716409,4080,"toucan.earth.","A","toucan.earth.","141.193.213.21"
,,1629714893,1720779221,76933,"toucan.earth.","NS","earth.","ns-cloud-a1.googledomains.com."
,,1629714893,1720779221,76933,"toucan.earth.","NS","earth.","ns-cloud-a2.googledomains.com."
,,1629714893,1720779221,76933,"toucan.earth.","NS","earth.","ns-cloud-a3.googledomains.com."
,,1629714893,1720779221,76933,"toucan.earth.","NS","earth.","ns-cloud-a4.googledomains.com."
,,1631536822,1720562542,591,"toucan.earth.","NS","toucan.earth.","ns-cloud-a1.googledomains.com."
,,1631536822,1720562542,591,"toucan.earth.","NS","toucan.earth.","ns-cloud-a2.googledomains.com."
,,1631536822,1720562542,591,"toucan.earth.","NS","toucan.earth.","ns-cloud-a3.googledomains.com."
,,1631536822,1720562542,591,"toucan.earth.","NS","toucan.earth.","ns-cloud-a4.googledomains.com."
,,1709220042,1719862492,12758,"toucan.earth.","SOA","toucan.earth.","ns-cloud-a1.googledomains.com. cloud-dns-hostmaster.google.com. 89 21600 3600 259200 300"
,,1719870066,1720716409,174,"toucan.earth.","SOA","toucan.earth.","ns-cloud-a1.googledomains.com. cloud-dns-hostmaster.google.com. 90 21600 3600 259200 300"
