zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1621562525,1720742292,,,1092,"tranche.finance.","NS","finance.","ns-475.awsdns-59.com."
1621562525,1720742292,,,1092,"tranche.finance.","NS","finance.","ns-924.awsdns-51.net."
1621562525,1720742292,,,1092,"tranche.finance.","NS","finance.","ns-1323.awsdns-37.org."
1621562525,1720742292,,,1092,"tranche.finance.","NS","finance.","ns-1659.awsdns-15.co.uk."
,,1720774008,1720774008,1,"tranche.finance.","A","tranche.finance.","13.224.214.11"
,,1720774008,1720774008,1,"tranche.finance.","A","tranche.finance.","13.224.214.13"
,,1720774008,1720774008,1,"tranche.finance.","A","tranche.finance.","13.224.214.66"
,,1720774008,1720774008,1,"tranche.finance.","A","tranche.finance.","13.224.214.85"
,,1628404348,1720725481,1021,"tranche.finance.","A","tranche.finance.","13.225.78.8"
,,1628404348,1720725481,1021,"tranche.finance.","A","tranche.finance.","13.225.78.20"
,,1628404348,1720725481,1021,"tranche.finance.","A","tranche.finance.","13.225.78.26"
,,1628404348,1720725481,1021,"tranche.finance.","A","tranche.finance.","13.225.78.63"
,,1720689039,1720689039,1,"tranche.finance.","A","tranche.finance.","18.64.183.51"
,,1720689039,1720689039,1,"tranche.finance.","A","tranche.finance.","18.64.183.84"
,,1720689039,1720689039,1,"tranche.finance.","A","tranche.finance.","18.64.183.124"
,,1720689039,1720689039,1,"tranche.finance.","A","tranche.finance.","18.64.183.129"
,,1617698180,1720781742,502,"tranche.finance.","A","tranche.finance.","52.85.243.37"
,,1617698180,1720781742,502,"tranche.finance.","A","tranche.finance.","52.85.243.53"
,,1617698180,1720781742,502,"tranche.finance.","A","tranche.finance.","52.85.243.61"
,,1617698180,1720781742,502,"tranche.finance.","A","tranche.finance.","52.85.243.73"
,,1648220852,1720542855,79,"tranche.finance.","A","tranche.finance.","108.138.36.54"
,,1648220852,1720542855,79,"tranche.finance.","A","tranche.finance.","108.138.36.62"
,,1648220852,1720542855,79,"tranche.finance.","A","tranche.finance.","108.138.36.70"
,,1648220852,1720542855,79,"tranche.finance.","A","tranche.finance.","108.138.36.113"
,,1662603813,1720543772,192,"tranche.finance.","A","tranche.finance.","108.157.229.29"
,,1662603813,1720543772,192,"tranche.finance.","A","tranche.finance.","108.157.229.41"
,,1662603813,1720543772,192,"tranche.finance.","A","tranche.finance.","108.157.229.49"
,,1662603813,1720543772,192,"tranche.finance.","A","tranche.finance.","108.157.229.55"
,,1602669743,1720778340,804482,"tranche.finance.","NS","finance.","ns-475.awsdns-59.com."
,,1602669743,1720778340,804482,"tranche.finance.","NS","finance.","ns-924.awsdns-51.net."
,,1602669743,1720778340,804482,"tranche.finance.","NS","finance.","ns-1323.awsdns-37.org."
,,1602669743,1720778340,804482,"tranche.finance.","NS","finance.","ns-1659.awsdns-15.co.uk."
,,1602669720,1720733188,185689,"tranche.finance.","NS","tranche.finance.","ns-475.awsdns-59.com."
,,1602669720,1720733188,185689,"tranche.finance.","NS","tranche.finance.","ns-924.awsdns-51.net."
,,1602669720,1720733188,185689,"tranche.finance.","NS","tranche.finance.","ns-1323.awsdns-37.org."
,,1602669720,1720733188,185689,"tranche.finance.","NS","tranche.finance.","ns-1659.awsdns-15.co.uk."
,,1602669719,1720733189,37004489,"tranche.finance.","SOA","tranche.finance.","ns-924.awsdns-51.net. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400"
,,1626379697,1720660640,54,"tranche.finance.","TXT","tranche.finance.","\"v=spf1 include:_spf.google.com include:sendgrid.net -all\""
