zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1673993157,1720738701,,,541,"unsheth.xyz.","NS","xyz.","ns-279.awsdns-34.com."
1673993157,1720738701,,,541,"unsheth.xyz.","NS","xyz.","ns-965.awsdns-56.net."
1673993157,1720738701,,,541,"unsheth.xyz.","NS","xyz.","ns-1151.awsdns-15.org."
1673993157,1720738701,,,541,"unsheth.xyz.","NS","xyz.","ns-1842.awsdns-38.co.uk."
,,1674596052,1720667218,3684,"unsheth.xyz.","A","unsheth.xyz.","13.33.21.3"
,,1674596052,1720667218,3684,"unsheth.xyz.","A","unsheth.xyz.","13.33.21.80"
,,1674596052,1720667218,3684,"unsheth.xyz.","A","unsheth.xyz.","13.33.21.103"
,,1674596052,1720667218,3684,"unsheth.xyz.","A","unsheth.xyz.","13.33.21.120"
,,1714840006,1720675301,23,"unsheth.xyz.","A","unsheth.xyz.","18.238.109.45"
,,1714840006,1720675301,23,"unsheth.xyz.","A","unsheth.xyz.","18.238.109.47"
,,1714840006,1720675301,23,"unsheth.xyz.","A","unsheth.xyz.","18.238.109.75"
,,1714840006,1720675301,23,"unsheth.xyz.","A","unsheth.xyz.","18.238.109.129"
,,1678511003,1720146701,215,"unsheth.xyz.","A","unsheth.xyz.","108.157.142.15"
,,1678511003,1720146701,215,"unsheth.xyz.","A","unsheth.xyz.","108.157.142.104"
,,1678511003,1720146701,215,"unsheth.xyz.","A","unsheth.xyz.","108.157.142.106"
,,1678511003,1720146701,215,"unsheth.xyz.","A","unsheth.xyz.","108.157.142.113"
,,1675087544,1720729743,3488,"unsheth.xyz.","A","unsheth.xyz.","108.157.214.11"
,,1675087544,1720729743,3488,"unsheth.xyz.","A","unsheth.xyz.","108.157.214.25"
,,1675087544,1720729743,3488,"unsheth.xyz.","A","unsheth.xyz.","108.157.214.41"
,,1675087544,1720729743,3488,"unsheth.xyz.","A","unsheth.xyz.","108.157.214.88"
,,1673993785,1720796978,37655,"unsheth.xyz.","NS","xyz.","ns-279.awsdns-34.com."
,,1673993785,1720796978,37655,"unsheth.xyz.","NS","xyz.","ns-965.awsdns-56.net."
,,1673993785,1720796978,37655,"unsheth.xyz.","NS","xyz.","ns-1151.awsdns-15.org."
,,1673993785,1720796978,37655,"unsheth.xyz.","NS","xyz.","ns-1842.awsdns-38.co.uk."
,,1674013036,1720796978,35137,"unsheth.xyz.","NS","unsheth.xyz.","ns-279.awsdns-34.com."
,,1674013036,1720796978,35137,"unsheth.xyz.","NS","unsheth.xyz.","ns-965.awsdns-56.net."
,,1674013036,1720796978,35137,"unsheth.xyz.","NS","unsheth.xyz.","ns-1151.awsdns-15.org."
,,1674013036,1720796978,35137,"unsheth.xyz.","NS","unsheth.xyz.","ns-1842.awsdns-38.co.uk."
,,1673993785,1720729744,21725,"unsheth.xyz.","SOA","unsheth.xyz.","ns-1151.awsdns-15.org. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400"
