zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1681512620,1720651820,,,374,"wrapped.com.","NS","com.","ns-cloud-d1.googledomains.com."
1681512620,1720651820,,,374,"wrapped.com.","NS","com.","ns-cloud-d2.googledomains.com."
1681512620,1720651820,,,374,"wrapped.com.","NS","com.","ns-cloud-d3.googledomains.com."
1681512620,1720651820,,,374,"wrapped.com.","NS","com.","ns-cloud-d4.googledomains.com."
,,1661467042,1720761328,15949,"wrapped.com.","A","wrapped.com.","216.24.57.1"
,,1681490080,1720759688,53420,"wrapped.com.","NS","com.","ns-cloud-d1.googledomains.com."
,,1681490080,1720759688,53420,"wrapped.com.","NS","com.","ns-cloud-d2.googledomains.com."
,,1681490080,1720759688,53420,"wrapped.com.","NS","com.","ns-cloud-d3.googledomains.com."
,,1681490080,1720759688,53420,"wrapped.com.","NS","com.","ns-cloud-d4.googledomains.com."
,,1681540579,1720779725,178,"wrapped.com.","NS","wrapped.com.","ns-cloud-d1.googledomains.com."
,,1681540579,1720779725,178,"wrapped.com.","NS","wrapped.com.","ns-cloud-d2.googledomains.com."
,,1681540579,1720779725,178,"wrapped.com.","NS","wrapped.com.","ns-cloud-d3.googledomains.com."
,,1681540579,1720779725,178,"wrapped.com.","NS","wrapped.com.","ns-cloud-d4.googledomains.com."
,,1703018552,1719836901,14287,"wrapped.com.","SOA","wrapped.com.","ns-cloud-d1.googledomains.com. cloud-dns-hostmaster.google.com. 28 21600 3600 259200 300"
,,1719925910,1720796571,99,"wrapped.com.","SOA","wrapped.com.","ns-cloud-d1.googledomains.com. cloud-dns-hostmaster.google.com. 29 21600 3600 259200 300"
,,1480376206,1720617447,369,"wrapped.com.","MX","wrapped.com.","1 aspmx.l.google.com."
,,1480376206,1720617447,369,"wrapped.com.","MX","wrapped.com.","5 alt1.aspmx.l.google.com."
,,1480376206,1720617447,369,"wrapped.com.","MX","wrapped.com.","5 alt2.aspmx.l.google.com."
,,1480376206,1720617447,369,"wrapped.com.","MX","wrapped.com.","10 alt3.aspmx.l.google.com."
,,1480376206,1720617447,369,"wrapped.com.","MX","wrapped.com.","10 alt4.aspmx.l.google.com."
,,1681691081,1720685681,18,"wrapped.com.","TXT","wrapped.com.","\"v=spf1 include:_spf.google.com ~all\""
