zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2019-10-03 04:57:07","2024-07-10 12:03:32",,,1222,"88mph.app.","NS","app.","ns-cloud-e1.googledomains.com."
"2019-10-03 04:57:07","2024-07-10 12:03:32",,,1222,"88mph.app.","NS","app.","ns-cloud-e2.googledomains.com."
"2019-10-03 04:57:07","2024-07-10 12:03:32",,,1222,"88mph.app.","NS","app.","ns-cloud-e3.googledomains.com."
"2019-10-03 04:57:07","2024-07-10 12:03:32",,,1222,"88mph.app.","NS","app.","ns-cloud-e4.googledomains.com."
,,"2019-10-30 03:53:49","2024-07-13 02:55:50",28971,"88mph.app.","A","88mph.app.","185.199.108.153"
,,"2019-10-30 03:53:49","2024-07-13 02:55:50",28971,"88mph.app.","A","88mph.app.","185.199.109.153"
,,"2019-10-30 03:53:49","2024-07-13 02:55:50",28971,"88mph.app.","A","88mph.app.","185.199.110.153"
,,"2019-10-30 03:53:49","2024-07-13 02:55:50",28971,"88mph.app.","A","88mph.app.","185.199.111.153"
,,"2019-10-08 08:09:45","2024-07-13 09:43:16",93735,"88mph.app.","NS","app.","ns-cloud-e1.googledomains.com."
,,"2019-10-08 08:09:45","2024-07-13 09:43:16",93735,"88mph.app.","NS","app.","ns-cloud-e2.googledomains.com."
,,"2019-10-08 08:09:45","2024-07-13 09:43:16",93735,"88mph.app.","NS","app.","ns-cloud-e3.googledomains.com."
,,"2019-10-08 08:09:45","2024-07-13 09:43:16",93735,"88mph.app.","NS","app.","ns-cloud-e4.googledomains.com."
,,"2019-11-11 09:19:09","2024-07-07 09:12:09",409,"88mph.app.","NS","88mph.app.","ns-cloud-e1.googledomains.com."
,,"2019-11-11 09:19:09","2024-07-07 09:12:09",409,"88mph.app.","NS","88mph.app.","ns-cloud-e2.googledomains.com."
,,"2019-11-11 09:19:09","2024-07-07 09:12:09",409,"88mph.app.","NS","88mph.app.","ns-cloud-e3.googledomains.com."
,,"2019-11-11 09:19:09","2024-07-07 09:12:09",409,"88mph.app.","NS","88mph.app.","ns-cloud-e4.googledomains.com."
,,"2024-06-17 22:55:45","2024-07-12 18:05:38",277,"88mph.app.","SOA","88mph.app.","ns-cloud-e1.googledomains.com. cloud-dns-hostmaster.google.com. 55 21600 3600 259200 300"
,,"2021-01-08 11:49:07","2024-07-01 08:45:39",174,"88mph.app.","MX","88mph.app.","1 aspmx.l.google.com."
,,"2021-01-08 11:49:07","2024-07-01 08:45:39",174,"88mph.app.","MX","88mph.app.","5 alt1.aspmx.l.google.com."
,,"2021-01-08 11:49:07","2024-07-01 08:45:39",174,"88mph.app.","MX","88mph.app.","5 alt2.aspmx.l.google.com."
,,"2021-01-08 11:49:07","2024-07-01 08:45:39",174,"88mph.app.","MX","88mph.app.","10 alt3.aspmx.l.google.com."
,,"2021-01-08 11:49:07","2024-07-01 08:45:39",174,"88mph.app.","MX","88mph.app.","10 alt4.aspmx.l.google.com."
