zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2024-01-28 00:15:04","2024-07-11 23:58:12",,,166,"aftermath.finance.","NS","finance.","mike.ns.cloudflare.com."
"2024-01-28 00:15:04","2024-07-11 23:58:12",,,166,"aftermath.finance.","NS","finance.","jacqueline.ns.cloudflare.com."
,,"2024-05-10 17:37:31","2024-07-13 00:55:15",7908,"aftermath.finance.","A","aftermath.finance.","104.26.6.96"
,,"2024-05-10 17:37:31","2024-07-13 00:55:15",7908,"aftermath.finance.","A","aftermath.finance.","104.26.7.96"
,,"2024-05-10 17:37:31","2024-07-13 00:55:15",7908,"aftermath.finance.","A","aftermath.finance.","172.67.72.75"
,,"2024-05-10 18:07:24","2024-07-13 04:08:08",24756,"aftermath.finance.","A","aftermath.finance.","188.114.98.229"
,,"2024-05-10 18:07:24","2024-07-13 04:08:08",24756,"aftermath.finance.","A","aftermath.finance.","188.114.99.229"
,,"2024-01-27 19:05:15","2024-07-12 22:37:55",103502,"aftermath.finance.","NS","finance.","mike.ns.cloudflare.com."
,,"2024-01-27 19:05:15","2024-07-12 22:37:55",103502,"aftermath.finance.","NS","finance.","jacqueline.ns.cloudflare.com."
,,"2024-01-31 18:31:00","2024-07-09 17:20:13",90,"aftermath.finance.","NS","aftermath.finance.","mike.ns.cloudflare.com."
,,"2024-01-31 18:31:00","2024-07-09 17:20:13",90,"aftermath.finance.","NS","aftermath.finance.","jacqueline.ns.cloudflare.com."
,,"2024-06-25 20:52:57","2024-07-12 17:53:28",1996,"aftermath.finance.","SOA","aftermath.finance.","jacqueline.ns.cloudflare.com. dns.cloudflare.com. 2344834080 10000 2400 604800 1800"
,,"2023-01-17 17:32:33","2024-07-04 01:12:02",72,"aftermath.finance.","MX","aftermath.finance.","1 aspmx.l.google.com."
,,"2023-01-17 17:32:33","2024-07-04 01:12:02",72,"aftermath.finance.","MX","aftermath.finance.","5 alt1.aspmx.l.google.com."
,,"2023-01-17 17:32:33","2024-07-04 01:12:02",72,"aftermath.finance.","MX","aftermath.finance.","5 alt2.aspmx.l.google.com."
,,"2023-01-17 17:32:33","2024-07-04 01:12:02",72,"aftermath.finance.","MX","aftermath.finance.","10 alt3.aspmx.l.google.com."
,,"2023-01-17 17:32:33","2024-07-04 01:12:02",72,"aftermath.finance.","MX","aftermath.finance.","10 alt4.aspmx.l.google.com."
,,"2024-05-10 17:37:56","2024-07-12 20:46:11",4069,"aftermath.finance.","AAAA","aftermath.finance.","2606:4700:20::681a:660"
,,"2024-05-10 17:37:56","2024-07-12 20:46:11",4069,"aftermath.finance.","AAAA","aftermath.finance.","2606:4700:20::681a:760"
,,"2024-05-10 17:37:56","2024-07-12 20:46:11",4069,"aftermath.finance.","AAAA","aftermath.finance.","2606:4700:20::ac43:484b"
,,"2024-05-10 18:23:45","2024-07-12 13:51:57",1659,"aftermath.finance.","AAAA","aftermath.finance.","2a06:98c1:3122:e000::5"
,,"2024-05-10 18:23:45","2024-07-12 13:51:57",1659,"aftermath.finance.","AAAA","aftermath.finance.","2a06:98c1:3123:e000::5"
,,"2024-05-10 18:23:45","2024-07-13 05:54:02",5560,"aftermath.finance.","HTTPS","aftermath.finance.","1 . alpn=\"h2\" ipv4hint=188.114.98.229,188.114.99.229 ipv6hint=2a06:98c1:3122:e000::5,2a06:98c1:3123:e000::5"
,,"2024-05-10 17:37:31","2024-07-12 23:48:39",5885,"aftermath.finance.","HTTPS","aftermath.finance.","1 . alpn=\"h2\" ipv4hint=104.26.6.96,104.26.7.96,172.67.72.75 ipv6hint=2606:4700:20::681a:660,2606:4700:20::681a:760,2606:4700:20::ac43:484b"
