zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2023-08-10 00:06:02","2024-07-11 23:58:12",,,337,"amnis.finance.","NS","finance.","dorthy.ns.cloudflare.com."
"2023-08-10 00:06:02","2024-07-11 23:58:12",,,337,"amnis.finance.","NS","finance.","razvan.ns.cloudflare.com."
,,"2023-08-02 12:31:05","2024-07-12 20:46:13",10410,"amnis.finance.","A","amnis.finance.","104.21.84.101"
,,"2023-08-02 12:31:05","2024-07-12 20:46:13",10410,"amnis.finance.","A","amnis.finance.","172.67.191.14"
,,"2023-08-09 05:08:16","2024-07-13 02:46:16",89861,"amnis.finance.","NS","finance.","dorthy.ns.cloudflare.com."
,,"2023-08-09 05:08:16","2024-07-13 02:46:16",89861,"amnis.finance.","NS","finance.","razvan.ns.cloudflare.com."
,,"2023-08-10 05:38:01","2024-07-12 00:55:15",190,"amnis.finance.","NS","amnis.finance.","dorthy.ns.cloudflare.com."
,,"2023-08-10 05:38:01","2024-07-12 00:55:15",190,"amnis.finance.","NS","amnis.finance.","razvan.ns.cloudflare.com."
,,"2024-06-29 22:16:05","2024-07-01 17:03:57",7,"amnis.finance.","SOA","amnis.finance.","dorthy.ns.cloudflare.com. dns.cloudflare.com. 2345053294 10000 2400 604800 1800"
,,"2024-07-06 14:58:12","2024-07-12 06:24:55",22,"amnis.finance.","SOA","amnis.finance.","dorthy.ns.cloudflare.com. dns.cloudflare.com. 2345401647 10000 2400 604800 1800"
,,"2023-08-14 19:58:53","2024-07-12 15:07:25",1725,"amnis.finance.","AAAA","amnis.finance.","2606:4700:3033::ac43:bf0e"
,,"2023-08-14 19:58:53","2024-07-12 15:07:25",1725,"amnis.finance.","AAAA","amnis.finance.","2606:4700:3034::6815:5465"
,,"2023-08-23 07:32:37","2024-07-12 20:46:13",3368,"amnis.finance.","HTTPS","amnis.finance.","1 . alpn=\"h3,h2\" ipv4hint=104.21.84.101,172.67.191.14 ipv6hint=2606:4700:3033::ac43:bf0e,2606:4700:3034::6815:5465"
