zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-06-07 00:13:57","2024-07-11 23:58:12",,,762,"antfarm.finance.","NS","finance.","ns-cloud-a1.googledomains.com."
"2022-06-07 00:13:57","2024-07-11 23:58:12",,,762,"antfarm.finance.","NS","finance.","ns-cloud-a2.googledomains.com."
"2022-06-07 00:13:57","2024-07-11 23:58:12",,,762,"antfarm.finance.","NS","finance.","ns-cloud-a3.googledomains.com."
"2022-06-07 00:13:57","2024-07-11 23:58:12",,,762,"antfarm.finance.","NS","finance.","ns-cloud-a4.googledomains.com."
,,"2023-01-04 11:36:45","2024-07-13 07:46:58",42200,"antfarm.finance.","A","antfarm.finance.","80.65.211.78"
,,"2022-06-08 12:27:43","2024-07-13 07:46:58",28232,"antfarm.finance.","NS","finance.","ns-cloud-a1.googledomains.com."
,,"2022-06-08 12:27:43","2024-07-13 07:46:58",28232,"antfarm.finance.","NS","finance.","ns-cloud-a2.googledomains.com."
,,"2022-06-08 12:27:43","2024-07-13 07:46:58",28232,"antfarm.finance.","NS","finance.","ns-cloud-a3.googledomains.com."
,,"2022-06-08 12:27:43","2024-07-13 07:46:58",28232,"antfarm.finance.","NS","finance.","ns-cloud-a4.googledomains.com."
,,"2022-06-19 12:32:54","2024-07-06 00:46:48",229,"antfarm.finance.","NS","antfarm.finance.","ns-cloud-a1.googledomains.com."
,,"2022-06-19 12:32:54","2024-07-06 00:46:48",229,"antfarm.finance.","NS","antfarm.finance.","ns-cloud-a2.googledomains.com."
,,"2022-06-19 12:32:54","2024-07-06 00:46:48",229,"antfarm.finance.","NS","antfarm.finance.","ns-cloud-a3.googledomains.com."
,,"2022-06-19 12:32:54","2024-07-06 00:46:48",229,"antfarm.finance.","NS","antfarm.finance.","ns-cloud-a4.googledomains.com."
,,"2024-06-07 15:06:37","2024-07-13 11:10:29",285,"antfarm.finance.","SOA","antfarm.finance.","ns-cloud-a1.googledomains.com. cloud-dns-hostmaster.google.com. 31 21600 3600 259200 300"
,,"2023-12-20 06:37:21","2024-07-07 14:18:33",45,"antfarm.finance.","TXT","antfarm.finance.","\"v=spf1 include:_spf.google.com ~all\""
,,"2023-12-20 06:37:21","2024-07-07 14:18:33",45,"antfarm.finance.","TXT","antfarm.finance.","\"google-site-verification=46BQPEymD-MDNy8uEmBYBjmR-fwkJtz1HYWeTSNdF1g\""
,,"2023-12-20 06:37:21","2024-07-07 14:18:33",45,"antfarm.finance.","TXT","antfarm.finance.","\"wallet-connect-dns-verification=add280f80c3b2258759e31d90bd6ec1e52710b2a425e7b064eca9efc62cedcee\""
