zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-07-18 00:19:20","2024-07-12 00:16:29",,,716,"apricot.one.","NS","one.","jacob.ns.cloudflare.com."
"2022-07-18 00:19:20","2024-07-12 00:16:29",,,716,"apricot.one.","NS","one.","harlee.ns.cloudflare.com."
,,"2022-07-18 13:33:38","2024-07-12 23:21:01",9945,"apricot.one.","A","apricot.one.","104.21.14.63"
,,"2022-07-18 13:33:38","2024-07-12 23:21:01",9945,"apricot.one.","A","apricot.one.","172.67.158.33"
,,"2022-07-17 14:54:10","2024-07-13 07:43:38",40972,"apricot.one.","NS","one.","jacob.ns.cloudflare.com."
,,"2022-07-17 14:54:10","2024-07-13 07:43:38",40972,"apricot.one.","NS","one.","harlee.ns.cloudflare.com."
,,"2024-06-27 10:33:15","2024-07-13 08:31:03",39,"apricot.one.","SOA","apricot.one.","harlee.ns.cloudflare.com. dns.cloudflare.com. 2344957100 10000 2400 604800 1800"
,,"2021-04-26 05:51:21","2024-07-13 07:43:38",166,"apricot.one.","MX","apricot.one.","1 aspmx.l.google.com."
,,"2021-04-26 05:51:21","2024-07-13 07:43:38",166,"apricot.one.","MX","apricot.one.","5 alt1.aspmx.l.google.com."
,,"2021-04-26 05:51:21","2024-07-13 07:43:38",166,"apricot.one.","MX","apricot.one.","5 alt2.aspmx.l.google.com."
,,"2021-04-26 05:51:21","2024-07-13 07:43:38",166,"apricot.one.","MX","apricot.one.","10 alt3.aspmx.l.google.com."
,,"2021-04-26 05:51:21","2024-07-13 07:43:38",166,"apricot.one.","MX","apricot.one.","10 alt4.aspmx.l.google.com."
,,"2022-07-18 13:34:46","2024-07-12 15:04:22",8053,"apricot.one.","AAAA","apricot.one.","2606:4700:3033::6815:e3f"
,,"2022-07-18 13:34:46","2024-07-12 15:04:22",8053,"apricot.one.","AAAA","apricot.one.","2606:4700:3035::ac43:9e21"
,,"2023-06-08 21:33:26","2024-07-12 23:21:01",352,"apricot.one.","HTTPS","apricot.one.","1 . alpn=\"h3,h2\" ipv4hint=104.21.14.63,172.67.158.33 ipv6hint=2606:4700:3033::6815:e3f,2606:4700:3035::ac43:9e21"
