zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-08-10 22:50:21","2024-07-11 22:50:20",,,635,"archimedesfi.com.","NS","com.","dns1.p02.nsone.net."
"2022-08-10 22:50:21","2024-07-11 22:50:20",,,635,"archimedesfi.com.","NS","com.","dns2.p02.nsone.net."
"2022-08-10 22:50:21","2024-07-11 22:50:20",,,635,"archimedesfi.com.","NS","com.","dns3.p02.nsone.net."
"2022-08-10 22:50:21","2024-07-11 22:50:20",,,635,"archimedesfi.com.","NS","com.","dns4.p02.nsone.net."
,,"2023-11-16 14:55:40","2024-07-13 04:39:55",19,"archimedesfi.com.","A","archimedesfi.com.","3.79.76.132"
,,"2023-11-16 14:55:40","2024-07-13 04:39:55",19,"archimedesfi.com.","A","archimedesfi.com.","3.121.122.184"
,,"2023-11-14 14:55:26","2024-07-11 22:07:06",195,"archimedesfi.com.","A","archimedesfi.com.","13.50.29.134"
,,"2023-11-14 14:55:26","2024-07-11 22:07:06",195,"archimedesfi.com.","A","archimedesfi.com.","16.170.147.194"
,,"2023-11-15 21:18:27","2024-07-11 01:59:13",170,"archimedesfi.com.","A","archimedesfi.com.","13.50.29.134"
,,"2023-11-15 21:18:27","2024-07-11 01:59:13",170,"archimedesfi.com.","A","archimedesfi.com.","51.20.17.59"
,,"2023-11-16 12:19:19","2024-07-11 05:40:31",159,"archimedesfi.com.","A","archimedesfi.com.","16.170.147.194"
,,"2023-11-16 12:19:19","2024-07-11 05:40:31",159,"archimedesfi.com.","A","archimedesfi.com.","51.20.17.59"
,,"2023-11-16 19:16:09","2024-07-08 09:53:38",26,"archimedesfi.com.","A","archimedesfi.com.","54.67.4.46"
,,"2023-11-16 19:16:09","2024-07-08 09:53:38",26,"archimedesfi.com.","A","archimedesfi.com.","54.177.145.149"
,,"2022-08-10 22:00:19","2024-07-12 18:30:20",30938,"archimedesfi.com.","NS","com.","dns1.p02.nsone.net."
,,"2022-08-10 22:00:19","2024-07-12 18:30:20",30938,"archimedesfi.com.","NS","com.","dns2.p02.nsone.net."
,,"2022-08-10 22:00:19","2024-07-12 18:30:20",30938,"archimedesfi.com.","NS","com.","dns3.p02.nsone.net."
,,"2022-08-10 22:00:19","2024-07-12 18:30:20",30938,"archimedesfi.com.","NS","com.","dns4.p02.nsone.net."
,,"2022-08-11 02:44:08","2024-07-07 07:54:06",777,"archimedesfi.com.","NS","archimedesfi.com.","dns1.p02.nsone.net."
,,"2022-08-11 02:44:08","2024-07-07 07:54:06",777,"archimedesfi.com.","NS","archimedesfi.com.","dns2.p02.nsone.net."
,,"2022-08-11 02:44:08","2024-07-07 07:54:06",777,"archimedesfi.com.","NS","archimedesfi.com.","dns3.p02.nsone.net."
,,"2022-08-11 02:44:08","2024-07-07 07:54:06",777,"archimedesfi.com.","NS","archimedesfi.com.","dns4.p02.nsone.net."
,,"2022-09-07 17:07:53","2024-07-12 21:36:56",1080996,"archimedesfi.com.","SOA","archimedesfi.com.","dns1.p02.nsone.net. domains+netlify.netlify.com. 1662487653 43200 7200 1209600 3600"
,,"2022-01-16 07:31:12","2024-07-10 00:54:01",207,"archimedesfi.com.","MX","archimedesfi.com.","1 aspmx.l.google.com."
,,"2022-01-16 07:31:12","2024-07-10 00:54:01",207,"archimedesfi.com.","MX","archimedesfi.com.","5 alt1.aspmx.l.google.com."
,,"2022-01-16 07:31:12","2024-07-10 00:54:01",207,"archimedesfi.com.","MX","archimedesfi.com.","5 alt2.aspmx.l.google.com."
,,"2022-01-16 07:31:12","2024-07-10 00:54:01",207,"archimedesfi.com.","MX","archimedesfi.com.","10 alt3.aspmx.l.google.com."
,,"2022-01-16 07:31:12","2024-07-10 00:54:01",207,"archimedesfi.com.","MX","archimedesfi.com.","10 alt4.aspmx.l.google.com."
