zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-07-18 22:05:09","2024-07-11 22:58:21",,,723,"ariesmarkets.xyz.","NS","xyz.","ns-cloud-d1.googledomains.com."
"2022-07-18 22:05:09","2024-07-11 22:58:21",,,723,"ariesmarkets.xyz.","NS","xyz.","ns-cloud-d2.googledomains.com."
"2022-07-18 22:05:09","2024-07-11 22:58:21",,,723,"ariesmarkets.xyz.","NS","xyz.","ns-cloud-d3.googledomains.com."
"2022-07-18 22:05:09","2024-07-11 22:58:21",,,723,"ariesmarkets.xyz.","NS","xyz.","ns-cloud-d4.googledomains.com."
,,"2022-07-22 05:17:08","2024-07-12 17:43:45",4512,"ariesmarkets.xyz.","A","ariesmarkets.xyz.","185.199.108.153"
,,"2022-07-22 05:17:08","2024-07-12 17:43:45",4512,"ariesmarkets.xyz.","A","ariesmarkets.xyz.","185.199.109.153"
,,"2022-07-22 05:17:08","2024-07-12 17:43:45",4512,"ariesmarkets.xyz.","A","ariesmarkets.xyz.","185.199.110.153"
,,"2022-07-22 05:17:08","2024-07-12 17:43:45",4512,"ariesmarkets.xyz.","A","ariesmarkets.xyz.","185.199.111.153"
,,"2022-07-20 10:45:37","2024-07-12 23:28:21",292823,"ariesmarkets.xyz.","NS","xyz.","ns-cloud-d1.googledomains.com."
,,"2022-07-20 10:45:37","2024-07-12 23:28:21",292823,"ariesmarkets.xyz.","NS","xyz.","ns-cloud-d2.googledomains.com."
,,"2022-07-20 10:45:37","2024-07-12 23:28:21",292823,"ariesmarkets.xyz.","NS","xyz.","ns-cloud-d3.googledomains.com."
,,"2022-07-20 10:45:37","2024-07-12 23:28:21",292823,"ariesmarkets.xyz.","NS","xyz.","ns-cloud-d4.googledomains.com."
,,"2024-03-19 08:10:25","2024-07-02 14:41:16",1303,"ariesmarkets.xyz.","SOA","ariesmarkets.xyz.","ns-cloud-d1.googledomains.com. cloud-dns-hostmaster.google.com. 35 21600 3600 259200 300"
,,"2024-07-03 17:25:05","2024-07-12 17:43:51",89,"ariesmarkets.xyz.","SOA","ariesmarkets.xyz.","ns-cloud-d1.googledomains.com. cloud-dns-hostmaster.google.com. 36 21600 3600 259200 300"
