zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2023-03-16 00:08:40","2024-07-11 23:58:12",,,484,"auragi.finance.","NS","finance.","ivan.ns.cloudflare.com."
"2023-03-16 00:08:40","2024-07-11 23:58:12",,,484,"auragi.finance.","NS","finance.","reza.ns.cloudflare.com."
,,"2023-03-15 05:04:01","2024-07-12 05:10:50",5426,"auragi.finance.","A","auragi.finance.","104.21.83.85"
,,"2023-03-15 05:04:01","2024-07-12 05:10:50",5426,"auragi.finance.","A","auragi.finance.","172.67.218.61"
,,"2023-03-15 03:59:41","2024-07-12 12:58:40",15754,"auragi.finance.","NS","finance.","ivan.ns.cloudflare.com."
,,"2023-03-15 03:59:41","2024-07-12 12:58:40",15754,"auragi.finance.","NS","finance.","reza.ns.cloudflare.com."
,,"2023-03-15 16:35:14","2024-07-07 08:43:21",138,"auragi.finance.","NS","auragi.finance.","ivan.ns.cloudflare.com."
,,"2023-03-15 16:35:14","2024-07-07 08:43:21",138,"auragi.finance.","NS","auragi.finance.","reza.ns.cloudflare.com."
,,"2024-06-16 15:21:35","2024-07-06 02:46:24",4,"auragi.finance.","SOA","auragi.finance.","ivan.ns.cloudflare.com. dns.cloudflare.com. 2343738535 10000 2400 604800 1800"
,,"2024-07-07 05:32:58","2024-07-09 11:13:35",5,"auragi.finance.","SOA","auragi.finance.","ivan.ns.cloudflare.com. dns.cloudflare.com. 2345812139 10000 2400 604800 1800"
,,"2023-05-27 00:24:11","2024-07-11 09:17:24",21,"auragi.finance.","TXT","auragi.finance.","\"v=spf1 ip4:3.227.244.119 include:_spf.google.com -all\""
,,"2023-04-01 17:03:32","2024-07-12 12:58:40",1060,"auragi.finance.","AAAA","auragi.finance.","2606:4700:3030::ac43:da3d"
,,"2023-04-01 17:03:32","2024-07-12 12:58:40",1060,"auragi.finance.","AAAA","auragi.finance.","2606:4700:3036::6815:5355"
