zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-09-20 00:12:38","2024-07-12 00:08:40",,,661,"aux.exchange.","NS","exchange.","ns-cloud-d1.googledomains.com."
"2022-09-20 00:12:38","2024-07-12 00:08:40",,,661,"aux.exchange.","NS","exchange.","ns-cloud-d2.googledomains.com."
"2022-09-20 00:12:38","2024-07-12 00:08:40",,,661,"aux.exchange.","NS","exchange.","ns-cloud-d3.googledomains.com."
"2022-09-20 00:12:38","2024-07-12 00:08:40",,,661,"aux.exchange.","NS","exchange.","ns-cloud-d4.googledomains.com."
,,"2023-03-07 01:08:17","2024-07-13 09:21:22",1025,"aux.exchange.","A","aux.exchange.","199.36.158.100"
,,"2022-09-20 11:25:54","2024-07-13 04:31:03",11992,"aux.exchange.","NS","exchange.","ns-cloud-d1.googledomains.com."
,,"2022-09-20 11:25:54","2024-07-13 04:31:03",11992,"aux.exchange.","NS","exchange.","ns-cloud-d2.googledomains.com."
,,"2022-09-20 11:25:54","2024-07-13 04:31:03",11992,"aux.exchange.","NS","exchange.","ns-cloud-d3.googledomains.com."
,,"2022-09-20 11:25:54","2024-07-13 04:31:03",11992,"aux.exchange.","NS","exchange.","ns-cloud-d4.googledomains.com."
,,"2024-05-22 20:39:44","2024-07-13 09:21:22",281,"aux.exchange.","SOA","aux.exchange.","ns-cloud-d1.googledomains.com. cloud-dns-hostmaster.google.com. 24 21600 3600 259200 300"
,,"2022-10-24 05:46:51","2024-07-07 12:51:44",86,"aux.exchange.","MX","aux.exchange.","1 aspmx.l.google.com."
,,"2022-10-24 05:46:51","2024-07-07 12:51:44",86,"aux.exchange.","MX","aux.exchange.","5 alt1.aspmx.l.google.com."
,,"2022-10-24 05:46:51","2024-07-07 12:51:44",86,"aux.exchange.","MX","aux.exchange.","5 alt2.aspmx.l.google.com."
,,"2022-10-24 05:46:51","2024-07-07 12:51:44",86,"aux.exchange.","MX","aux.exchange.","10 alt3.aspmx.l.google.com."
,,"2022-10-24 05:46:51","2024-07-07 12:51:44",86,"aux.exchange.","MX","aux.exchange.","10 alt4.aspmx.l.google.com."
