zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-11-09 00:54:16","2024-07-12 00:10:21",,,954,"axelar.network.","NS","network.","elle.ns.cloudflare.com."
"2021-11-09 00:54:16","2024-07-12 00:10:21",,,954,"axelar.network.","NS","network.","frank.ns.cloudflare.com."
,,"2023-04-07 02:15:26","2024-07-13 01:00:47",7188,"axelar.network.","A","axelar.network.","104.18.18.49"
,,"2023-04-07 02:15:26","2024-07-13 01:00:47",7188,"axelar.network.","A","axelar.network.","104.18.19.49"
,,"2023-02-06 18:02:28","2024-07-12 17:45:16",5182,"axelar.network.","A","axelar.network.","188.114.98.229"
,,"2023-02-06 18:02:28","2024-07-12 17:45:16",5182,"axelar.network.","A","axelar.network.","188.114.99.229"
,,"2021-11-08 20:18:55","2024-07-12 19:00:29",146035,"axelar.network.","NS","network.","elle.ns.cloudflare.com."
,,"2021-11-08 20:18:55","2024-07-12 19:00:29",146035,"axelar.network.","NS","network.","frank.ns.cloudflare.com."
,,"2021-11-18 11:52:56","2024-07-13 00:46:58",649,"axelar.network.","NS","axelar.network.","elle.ns.cloudflare.com."
,,"2021-11-18 11:52:56","2024-07-13 00:46:58",649,"axelar.network.","NS","axelar.network.","frank.ns.cloudflare.com."
,,"2024-06-23 10:36:21","2024-07-01 01:36:23",25,"axelar.network.","SOA","axelar.network.","elle.ns.cloudflare.com. dns.cloudflare.com. 2344516911 10000 2400 604800 1800"
,,"2024-07-06 23:55:23","2024-07-06 23:55:23",2,"axelar.network.","SOA","axelar.network.","elle.ns.cloudflare.com. dns.cloudflare.com. 2345724292 10000 2400 604800 1800"
,,"2024-07-08 01:49:21","2024-07-11 14:51:59",6,"axelar.network.","SOA","axelar.network.","elle.ns.cloudflare.com. dns.cloudflare.com. 2345864918 10000 2400 604800 1800"
,,"2023-04-07 02:15:26","2024-07-13 01:44:30",4330,"axelar.network.","AAAA","axelar.network.","2606:4700::6812:1231"
,,"2023-04-07 02:15:26","2024-07-13 01:44:30",4330,"axelar.network.","AAAA","axelar.network.","2606:4700::6812:1331"
,,"2023-03-12 12:43:08","2024-07-12 20:28:48",1918,"axelar.network.","AAAA","axelar.network.","2a06:98c1:3122:e000::5"
,,"2023-03-12 12:43:08","2024-07-12 20:28:48",1918,"axelar.network.","AAAA","axelar.network.","2a06:98c1:3123:e000::5"
,,"2024-03-11 17:11:29","2024-07-12 21:35:30",1161,"axelar.network.","HTTPS","axelar.network.","1 . alpn=\"h3,h2\" ipv4hint=104.18.18.49,104.18.19.49 ipv6hint=2606:4700::6812:1231,2606:4700::6812:1331"
,,"2024-03-11 15:50:16","2024-07-11 16:18:37",716,"axelar.network.","HTTPS","axelar.network.","1 . alpn=\"h3,h2\" ipv4hint=188.114.98.229,188.114.99.229 ipv6hint=2a06:98c1:3122:e000::5,2a06:98c1:3123:e000::5"
