zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2024-03-26 22:48:11","2024-07-11 22:58:21",,,107,"bitcow.xyz.","NS","xyz.","pat.ns.cloudflare.com."
"2024-03-26 22:48:11","2024-07-11 22:58:21",,,107,"bitcow.xyz.","NS","xyz.","harley.ns.cloudflare.com."
,,"2024-03-26 06:28:40","2024-07-12 19:50:24",24169,"bitcow.xyz.","A","bitcow.xyz.","104.21.2.65"
,,"2024-03-26 06:28:40","2024-07-12 19:50:24",24169,"bitcow.xyz.","A","bitcow.xyz.","172.67.128.216"
,,"2024-05-07 02:23:11","2024-07-07 23:19:25",2,"bitcow.xyz.","A","bitcow.xyz.","172.64.80.1"
,,"2024-03-26 06:28:40","2024-07-13 10:32:20",33116,"bitcow.xyz.","NS","xyz.","pat.ns.cloudflare.com."
,,"2024-03-26 06:28:40","2024-07-13 10:32:20",33116,"bitcow.xyz.","NS","xyz.","harley.ns.cloudflare.com."
,,"2024-03-26 06:30:48","2024-07-10 07:13:43",22,"bitcow.xyz.","NS","bitcow.xyz.","pat.ns.cloudflare.com."
,,"2024-03-26 06:30:48","2024-07-10 07:13:43",22,"bitcow.xyz.","NS","bitcow.xyz.","harley.ns.cloudflare.com."
,,"2024-07-10 02:09:49","2024-07-10 02:09:49",2,"bitcow.xyz.","SOA","bitcow.xyz.","harley.ns.cloudflare.com. dns.cloudflare.com. 2342893592 10000 2400 604800 1800"
,,"2024-03-26 06:28:40","2024-07-13 00:05:03",3854,"bitcow.xyz.","AAAA","bitcow.xyz.","2606:4700:3033::ac43:80d8"
,,"2024-03-26 06:28:40","2024-07-13 00:05:03",3854,"bitcow.xyz.","AAAA","bitcow.xyz.","2606:4700:3036::6815:241"
,,"2024-04-07 11:51:43","2024-07-12 19:50:24",8111,"bitcow.xyz.","HTTPS","bitcow.xyz.","1 . alpn=\"h3,h2\" ipv4hint=104.21.2.65,172.67.128.216 ipv6hint=2606:4700:3033::ac43:80d8,2606:4700:3036::6815:241"
