zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2019-08-09 00:31:50","2024-07-12 00:10:21",,,1317,"celer.network.","NS","network.","ns-cloud-e1.googledomains.com."
"2019-08-09 00:31:50","2024-07-12 00:10:21",,,1317,"celer.network.","NS","network.","ns-cloud-e2.googledomains.com."
"2019-08-09 00:31:50","2024-07-12 00:10:21",,,1317,"celer.network.","NS","network.","ns-cloud-e3.googledomains.com."
"2019-08-09 00:31:50","2024-07-12 00:10:21",,,1317,"celer.network.","NS","network.","ns-cloud-e4.googledomains.com."
,,"2023-02-15 03:28:06","2024-07-12 20:36:11",20433,"celer.network.","A","celer.network.","75.2.60.5"
,,"2024-07-11 11:08:03","2024-07-11 11:08:03",2,"celer.network.","A","celer.network.","185.196.9.153"
,,"2024-07-11 09:26:27","2024-07-11 10:42:41",32,"celer.network.","NS","network.","megan.ns.cloudflare.com."
,,"2024-07-11 09:26:27","2024-07-11 10:42:41",32,"celer.network.","NS","network.","scott.ns.cloudflare.com."
,,"2018-01-27 09:39:16","2024-07-12 22:02:57",2222619,"celer.network.","NS","network.","ns-cloud-e1.googledomains.com."
,,"2018-01-27 09:39:16","2024-07-12 22:02:57",2222619,"celer.network.","NS","network.","ns-cloud-e2.googledomains.com."
,,"2018-01-27 09:39:16","2024-07-12 22:02:57",2222619,"celer.network.","NS","network.","ns-cloud-e3.googledomains.com."
,,"2018-01-27 09:39:16","2024-07-12 22:02:57",2222619,"celer.network.","NS","network.","ns-cloud-e4.googledomains.com."
,,"2018-01-31 11:50:54","2024-07-13 09:37:04",6865,"celer.network.","NS","celer.network.","ns-cloud-e1.googledomains.com."
,,"2018-01-31 11:50:54","2024-07-13 09:37:04",6865,"celer.network.","NS","celer.network.","ns-cloud-e2.googledomains.com."
,,"2018-01-31 11:50:54","2024-07-13 09:37:04",6865,"celer.network.","NS","celer.network.","ns-cloud-e3.googledomains.com."
,,"2018-01-31 11:50:54","2024-07-13 09:37:04",6865,"celer.network.","NS","celer.network.","ns-cloud-e4.googledomains.com."
,,"2024-07-11 09:26:28","2024-07-11 10:42:41",344,"celer.network.","SOA","celer.network.","megan.ns.cloudflare.com. dns.cloudflare.com. 2346174817 10000 2400 604800 1800"
,,"2024-05-24 01:26:29","2024-07-12 20:11:25",272666,"celer.network.","SOA","celer.network.","ns-cloud-e1.googledomains.com. cloud-dns-hostmaster.google.com. 161 21600 3600 259200 300"
,,"2018-03-04 04:47:18","2024-07-13 00:32:26",2487,"celer.network.","MX","celer.network.","1 aspmx.l.google.com."
,,"2018-03-04 04:47:18","2024-07-13 00:32:26",2487,"celer.network.","MX","celer.network.","5 alt1.aspmx.l.google.com."
,,"2018-03-04 04:47:18","2024-07-13 00:32:26",2487,"celer.network.","MX","celer.network.","5 alt2.aspmx.l.google.com."
,,"2018-03-04 04:47:18","2024-07-13 00:32:26",2487,"celer.network.","MX","celer.network.","10 alt3.aspmx.l.google.com."
,,"2018-03-04 04:47:18","2024-07-13 00:32:26",2487,"celer.network.","MX","celer.network.","10 alt4.aspmx.l.google.com."
