zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2023-07-21 00:05:35","2024-07-11 23:58:12",,,357,"cellana.finance.","NS","finance.","ivan.ns.cloudflare.com."
"2023-07-21 00:05:35","2024-07-11 23:58:12",,,357,"cellana.finance.","NS","finance.","reza.ns.cloudflare.com."
,,"2023-07-20 12:48:15","2024-07-12 20:42:59",5645,"cellana.finance.","A","cellana.finance.","104.21.73.124"
,,"2023-07-20 12:48:15","2024-07-12 20:42:59",5645,"cellana.finance.","A","cellana.finance.","172.67.190.7"
,,"2023-11-16 02:30:53","2024-07-12 20:46:46",98,"cellana.finance.","A","cellana.finance.","188.114.96.0"
,,"2023-11-16 02:30:53","2024-07-12 20:46:46",98,"cellana.finance.","A","cellana.finance.","188.114.97.0"
,,"2023-07-20 11:35:03","2024-07-12 21:19:39",350221,"cellana.finance.","NS","finance.","ivan.ns.cloudflare.com."
,,"2023-07-20 11:35:03","2024-07-12 21:19:39",350221,"cellana.finance.","NS","finance.","reza.ns.cloudflare.com."
,,"2023-07-20 11:35:03","2024-07-12 01:09:14",368,"cellana.finance.","NS","cellana.finance.","ivan.ns.cloudflare.com."
,,"2023-07-20 11:35:03","2024-07-12 01:09:14",368,"cellana.finance.","NS","cellana.finance.","reza.ns.cloudflare.com."
,,"2024-06-27 08:55:22","2024-07-02 01:23:59",17,"cellana.finance.","SOA","cellana.finance.","ivan.ns.cloudflare.com. dns.cloudflare.com. 2344958630 10000 2400 604800 1800"
,,"2024-07-03 04:26:11","2024-07-04 07:57:15",11,"cellana.finance.","SOA","cellana.finance.","ivan.ns.cloudflare.com. dns.cloudflare.com. 2345465703 10000 2400 604800 1800"
,,"2024-07-06 07:51:28","2024-07-08 09:31:30",6,"cellana.finance.","SOA","cellana.finance.","ivan.ns.cloudflare.com. dns.cloudflare.com. 2345709300 10000 2400 604800 1800"
,,"2024-07-08 10:49:42","2024-07-08 10:49:42",1,"cellana.finance.","SOA","cellana.finance.","ivan.ns.cloudflare.com. dns.cloudflare.com. 2345921163 10000 2400 604800 1800"
,,"2024-07-08 17:55:31","2024-07-09 10:49:28",5,"cellana.finance.","SOA","cellana.finance.","ivan.ns.cloudflare.com. dns.cloudflare.com. 2345946913 10000 2400 604800 1800"
,,"2024-02-12 03:04:07","2024-07-07 22:00:28",18,"cellana.finance.","MX","cellana.finance.","1 aspmx.l.google.com."
,,"2024-02-12 03:04:07","2024-07-07 22:00:28",18,"cellana.finance.","MX","cellana.finance.","5 alt1.aspmx.l.google.com."
,,"2024-02-12 03:04:07","2024-07-07 22:00:28",18,"cellana.finance.","MX","cellana.finance.","5 alt2.aspmx.l.google.com."
,,"2024-02-12 03:04:07","2024-07-07 22:00:28",18,"cellana.finance.","MX","cellana.finance.","10 alt3.aspmx.l.google.com."
,,"2024-02-12 03:04:07","2024-07-07 22:00:28",18,"cellana.finance.","MX","cellana.finance.","10 alt4.aspmx.l.google.com."
,,"2023-07-28 20:50:18","2024-07-12 21:45:43",1401,"cellana.finance.","AAAA","cellana.finance.","2606:4700:3034::ac43:be07"
,,"2023-07-28 20:50:18","2024-07-12 21:45:43",1401,"cellana.finance.","AAAA","cellana.finance.","2606:4700:3036::6815:497c"
,,"2024-02-11 02:29:49","2024-07-13 05:28:19",1950,"cellana.finance.","HTTPS","cellana.finance.","1 . alpn=\"h3,h2\" ipv4hint=104.21.73.124,172.67.190.7 ipv6hint=2606:4700:3034::ac43:be07,2606:4700:3036::6815:497c"
