zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2024-07-11 23:09:27","2024-07-11 23:09:27",,,1,"chainlist.org.","NS","org.","ken.ns.cloudflare.com."
"2024-07-11 23:09:27","2024-07-11 23:09:27",,,1,"chainlist.org.","NS","org.","davina.ns.cloudflare.com."
"2022-12-22 23:16:46","2024-07-10 23:13:34",,,566,"chainlist.org.","NS","org.","zeus.ns.cloudflare.com."
"2022-12-22 23:16:46","2024-07-10 23:13:34",,,566,"chainlist.org.","NS","org.","arushi.ns.cloudflare.com."
,,"2024-07-11 21:25:04","2024-07-11 21:25:04",1,"chainlist.org.","A","chainlist.org.","65.108.238.34"
,,"2024-07-11 21:27:13","2024-07-13 06:43:44",232,"chainlist.org.","A","chainlist.org.","104.21.39.14"
,,"2024-07-11 21:27:13","2024-07-13 06:43:44",232,"chainlist.org.","A","chainlist.org.","172.67.142.29"
,,"2022-12-22 16:37:48","2024-07-11 23:54:48",113166,"chainlist.org.","A","chainlist.org.","104.26.2.96"
,,"2022-12-22 16:37:48","2024-07-11 23:54:48",113166,"chainlist.org.","A","chainlist.org.","104.26.3.96"
,,"2022-12-22 16:37:48","2024-07-11 23:54:48",113166,"chainlist.org.","A","chainlist.org.","172.67.74.179"
,,"2023-04-24 14:20:59","2024-07-04 11:32:30",40,"chainlist.org.","A","chainlist.org.","188.114.98.229"
,,"2023-04-24 14:20:59","2024-07-04 11:32:30",40,"chainlist.org.","A","chainlist.org.","188.114.99.229"
,,"2024-04-26 12:30:57","2024-07-09 23:23:34",31,"chainlist.org.","A","chainlist.org.","188.114.98.235"
,,"2024-04-26 12:30:57","2024-07-09 23:23:34",31,"chainlist.org.","A","chainlist.org.","188.114.99.235"
,,"2024-07-11 21:25:04","2024-07-13 10:03:42",640,"chainlist.org.","NS","org.","ken.ns.cloudflare.com."
,,"2024-07-11 21:25:04","2024-07-13 10:03:42",640,"chainlist.org.","NS","org.","davina.ns.cloudflare.com."
,,"2022-12-22 16:28:38","2024-07-11 21:17:40",294884,"chainlist.org.","NS","org.","zeus.ns.cloudflare.com."
,,"2022-12-22 16:28:38","2024-07-11 21:17:40",294884,"chainlist.org.","NS","org.","arushi.ns.cloudflare.com."
,,"2024-07-13 10:03:42","2024-07-13 10:03:42",1,"chainlist.org.","NS","chainlist.org.","ken.ns.cloudflare.com."
,,"2024-07-13 10:03:42","2024-07-13 10:03:42",1,"chainlist.org.","NS","chainlist.org.","davina.ns.cloudflare.com."
,,"2023-01-26 00:06:06","2024-07-10 10:13:24",54,"chainlist.org.","NS","chainlist.org.","zeus.ns.cloudflare.com."
,,"2023-01-26 00:06:06","2024-07-10 10:13:24",54,"chainlist.org.","NS","chainlist.org.","arushi.ns.cloudflare.com."
,,"2024-07-11 21:25:04","2024-07-11 21:25:04",3,"chainlist.org.","SOA","chainlist.org.","davina.ns.cloudflare.com. dns.cloudflare.com. 2346218399 10000 2400 604800 1800"
,,"2022-12-22 16:45:09","2024-07-12 01:57:40",77828,"chainlist.org.","AAAA","chainlist.org.","2606:4700:20::681a:260"
,,"2022-12-22 16:45:09","2024-07-12 01:57:40",77828,"chainlist.org.","AAAA","chainlist.org.","2606:4700:20::681a:360"
,,"2022-12-22 16:45:09","2024-07-12 01:57:40",77828,"chainlist.org.","AAAA","chainlist.org.","2606:4700:20::ac43:4ab3"
,,"2024-07-11 21:27:13","2024-07-13 06:43:45",156,"chainlist.org.","AAAA","chainlist.org.","2606:4700:3032::ac43:8e1d"
,,"2024-07-11 21:27:13","2024-07-13 06:43:45",156,"chainlist.org.","AAAA","chainlist.org.","2606:4700:3037::6815:270e"
,,"2024-04-26 12:30:57","2024-07-09 19:38:54",10,"chainlist.org.","HTTPS","chainlist.org.","1 . alpn=\"h2\" ipv4hint=188.114.98.235,188.114.99.235 ipv6hint=2a06:98c1:3122:e000::b,2a06:98c1:3123:e000::b"
,,"2024-07-11 21:27:13","2024-07-13 08:45:35",145,"chainlist.org.","HTTPS","chainlist.org.","1 . alpn=\"h3,h2\" ipv4hint=104.21.39.14,172.67.142.29 ipv6hint=2606:4700:3032::ac43:8e1d,2606:4700:3037::6815:270e"
,,"2022-12-22 16:28:38","2024-07-11 22:59:18",79064,"chainlist.org.","HTTPS","chainlist.org.","1 . alpn=\"h2\" ipv4hint=104.26.2.96,104.26.3.96,172.67.74.179 ipv6hint=2606:4700:20::681a:260,2606:4700:20::681a:360,2606:4700:20::ac43:4ab3"
