zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2019-08-09 00:18:41","2024-07-11 23:58:12",,,1318,"compound.finance.","NS","finance.","karl.ns.cloudflare.com."
"2019-08-09 00:18:41","2024-07-11 23:58:12",,,1318,"compound.finance.","NS","finance.","sharon.ns.cloudflare.com."
,,"2022-03-14 17:21:59","2024-07-13 10:55:35",58777,"compound.finance.","A","compound.finance.","104.18.28.126"
,,"2022-03-14 17:21:59","2024-07-13 10:55:35",58777,"compound.finance.","A","compound.finance.","104.18.29.126"
,,"2024-07-11 12:56:15","2024-07-11 20:36:37",397,"compound.finance.","A","compound.finance.","185.196.9.29"
,,"2024-07-11 12:56:15","2024-07-11 20:36:37",397,"compound.finance.","A","compound.finance.","198.185.159.144"
,,"2023-02-06 15:04:07","2024-07-12 17:57:23",28671,"compound.finance.","A","compound.finance.","188.114.98.229"
,,"2023-02-06 15:04:07","2024-07-12 17:57:23",28671,"compound.finance.","A","compound.finance.","188.114.99.229"
,,"2024-07-11 05:28:35","2024-07-11 12:43:28",159,"compound.finance.","A","compound.finance.","198.185.159.144"
,,"2018-01-27 00:54:27","2024-07-12 21:33:45",5950013,"compound.finance.","NS","finance.","karl.ns.cloudflare.com."
,,"2018-01-27 00:54:27","2024-07-12 21:33:45",5950013,"compound.finance.","NS","finance.","sharon.ns.cloudflare.com."
,,"2017-10-10 14:48:56","2024-07-11 20:55:56",1979,"compound.finance.","NS","finance.","ns-cloud-e1.googledomains.com."
,,"2017-10-10 14:48:56","2024-07-11 20:55:56",1979,"compound.finance.","NS","finance.","ns-cloud-e2.googledomains.com."
,,"2017-10-10 14:48:56","2024-07-11 20:55:56",1979,"compound.finance.","NS","finance.","ns-cloud-e3.googledomains.com."
,,"2017-10-10 14:48:56","2024-07-11 20:55:56",1979,"compound.finance.","NS","finance.","ns-cloud-e4.googledomains.com."
,,"2018-02-02 07:25:37","2024-07-13 03:57:22",11629,"compound.finance.","NS","compound.finance.","karl.ns.cloudflare.com."
,,"2018-02-02 07:25:37","2024-07-13 03:57:22",11629,"compound.finance.","NS","compound.finance.","sharon.ns.cloudflare.com."
,,"2017-10-10 14:49:31","2024-07-11 17:15:25",17,"compound.finance.","NS","compound.finance.","ns-cloud-e1.googledomains.com."
,,"2017-10-10 14:49:31","2024-07-11 17:15:25",17,"compound.finance.","NS","compound.finance.","ns-cloud-e2.googledomains.com."
,,"2017-10-10 14:49:31","2024-07-11 17:15:25",17,"compound.finance.","NS","compound.finance.","ns-cloud-e3.googledomains.com."
