zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-05-20 22:50:23","2024-07-11 22:50:20",,,1048,"definix.com.","NS","com.","ns-449.awsdns-56.com."
"2021-05-20 22:50:23","2024-07-11 22:50:20",,,1048,"definix.com.","NS","com.","ns-785.awsdns-34.net."
"2021-05-20 22:50:23","2024-07-11 22:50:20",,,1048,"definix.com.","NS","com.","ns-1177.awsdns-19.org."
"2021-05-20 22:50:23","2024-07-11 22:50:20",,,1048,"definix.com.","NS","com.","ns-1858.awsdns-40.co.uk."
,,"2024-04-13 08:15:51","2024-07-13 06:13:13",358,"definix.com.","A","definix.com.","3.164.240.11"
,,"2024-04-13 08:15:51","2024-07-13 06:13:13",358,"definix.com.","A","definix.com.","3.164.240.64"
,,"2024-04-13 08:15:51","2024-07-13 06:13:13",358,"definix.com.","A","definix.com.","3.164.240.73"
,,"2024-04-13 08:15:51","2024-07-13 06:13:13",358,"definix.com.","A","definix.com.","3.164.240.102"
,,"2024-07-11 09:25:32","2024-07-11 09:25:32",1,"definix.com.","A","definix.com.","18.165.160.7"
,,"2024-07-11 09:25:32","2024-07-11 09:25:32",1,"definix.com.","A","definix.com.","18.165.160.51"
,,"2024-07-11 09:25:32","2024-07-11 09:25:32",1,"definix.com.","A","definix.com.","18.165.160.100"
,,"2024-07-11 09:25:32","2024-07-11 09:25:32",1,"definix.com.","A","definix.com.","18.165.160.113"
,,"2021-01-29 00:37:38","2024-07-13 04:47:54",37330,"definix.com.","NS","com.","ns-449.awsdns-56.com."
,,"2021-01-29 00:37:38","2024-07-13 04:47:54",37330,"definix.com.","NS","com.","ns-785.awsdns-34.net."
,,"2021-01-29 00:37:38","2024-07-13 04:47:54",37330,"definix.com.","NS","com.","ns-1177.awsdns-19.org."
,,"2021-01-29 00:37:38","2024-07-13 04:47:54",37330,"definix.com.","NS","com.","ns-1858.awsdns-40.co.uk."
,,"2021-02-16 07:58:52","2024-07-13 04:47:54",24983,"definix.com.","NS","definix.com.","ns-449.awsdns-56.com."
,,"2021-02-16 07:58:52","2024-07-13 04:47:54",24983,"definix.com.","NS","definix.com.","ns-785.awsdns-34.net."
,,"2021-02-16 07:58:52","2024-07-13 04:47:54",24983,"definix.com.","NS","definix.com.","ns-1177.awsdns-19.org."
,,"2021-02-16 07:58:52","2024-07-13 04:47:54",24983,"definix.com.","NS","definix.com.","ns-1858.awsdns-40.co.uk."
,,"2021-01-29 05:24:10","2024-07-12 07:01:17",28205,"definix.com.","SOA","definix.com.","ns-785.awsdns-34.net. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400"
