zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2023-08-16 00:04:05","2024-07-11 23:58:12",,,331,"dirac.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
"2023-08-16 00:04:05","2024-07-11 23:58:12",,,331,"dirac.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
"2023-08-16 00:04:05","2024-07-11 23:58:12",,,331,"dirac.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
"2023-08-16 00:04:05","2024-07-11 23:58:12",,,331,"dirac.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,"2023-08-25 18:59:59","2024-07-12 22:20:26",511,"dirac.finance.","A","dirac.finance.","76.76.21.21"
,,"2023-08-16 08:41:29","2024-07-12 15:51:48",5251,"dirac.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
,,"2023-08-16 08:41:29","2024-07-12 15:51:48",5251,"dirac.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
,,"2023-08-16 08:41:29","2024-07-12 15:51:48",5251,"dirac.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
,,"2023-08-16 08:41:29","2024-07-12 15:51:48",5251,"dirac.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,"2023-08-16 08:41:29","2024-07-11 00:36:04",67,"dirac.finance.","NS","dirac.finance.","ns-cloud-b1.googledomains.com."
,,"2023-08-16 08:41:29","2024-07-11 00:36:04",67,"dirac.finance.","NS","dirac.finance.","ns-cloud-b2.googledomains.com."
,,"2023-08-16 08:41:29","2024-07-11 00:36:04",67,"dirac.finance.","NS","dirac.finance.","ns-cloud-b3.googledomains.com."
,,"2023-08-16 08:41:29","2024-07-11 00:36:04",67,"dirac.finance.","NS","dirac.finance.","ns-cloud-b4.googledomains.com."
,,"2024-06-07 16:53:17","2024-07-12 22:40:41",395,"dirac.finance.","SOA","dirac.finance.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 21 21600 3600 259200 300"
