zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2019-08-09 00:12:47","2024-07-12 00:08:40",,,1317,"dydx.exchange.","NS","exchange.","kate.ns.cloudflare.com."
"2019-08-09 00:12:47","2024-07-12 00:08:40",,,1317,"dydx.exchange.","NS","exchange.","pete.ns.cloudflare.com."
,,"2021-02-24 14:45:15","2024-07-12 12:45:55",228576,"dydx.exchange.","A","dydx.exchange.","76.76.21.21"
,,"2024-07-09 22:16:48","2024-07-10 00:34:09",32,"dydx.exchange.","A","dydx.exchange.","91.215.43.127"
,,"2024-07-09 21:45:16","2024-07-10 00:42:52",426,"dydx.exchange.","NS","exchange.","ns1.ddos-guard.net."
,,"2024-07-09 21:45:16","2024-07-10 00:42:52",426,"dydx.exchange.","NS","exchange.","ns2.ddos-guard.net."
,,"2017-09-19 19:14:53","2024-07-12 18:05:05",3378394,"dydx.exchange.","NS","exchange.","kate.ns.cloudflare.com."
,,"2017-09-19 19:14:53","2024-07-12 18:05:05",3378394,"dydx.exchange.","NS","exchange.","pete.ns.cloudflare.com."
,,"2024-07-09 22:13:46","2024-07-10 00:36:41",9,"dydx.exchange.","NS","dydx.exchange.","ns1.ddos-guard.net."
,,"2024-07-09 22:13:46","2024-07-10 00:36:41",9,"dydx.exchange.","NS","dydx.exchange.","ns2.ddos-guard.net."
,,"2017-09-23 01:46:14","2024-07-12 00:32:21",7041,"dydx.exchange.","NS","dydx.exchange.","kate.ns.cloudflare.com."
,,"2017-09-23 01:46:14","2024-07-12 00:32:21",7041,"dydx.exchange.","NS","dydx.exchange.","pete.ns.cloudflare.com."
,,"2024-07-09 21:45:16","2024-07-09 22:19:39",967,"dydx.exchange.","SOA","dydx.exchange.","ns1.ddos-guard.net. support.ddos-guard.net. 1720561325 10800 3600 604800 3600"
,,"2024-07-09 22:15:48","2024-07-09 22:51:22",2082,"dydx.exchange.","SOA","dydx.exchange.","ns1.ddos-guard.net. support.ddos-guard.net. 1720563018 10800 3600 604800 3600"
,,"2024-07-09 22:46:02","2024-07-09 23:21:46",2928,"dydx.exchange.","SOA","dydx.exchange.","ns1.ddos-guard.net. support.ddos-guard.net. 1720564742 10800 3600 604800 3600"
,,"2024-07-09 23:15:56","2024-07-09 23:52:31",2491,"dydx.exchange.","SOA","dydx.exchange.","ns1.ddos-guard.net. support.ddos-guard.net. 1720566327 10800 3600 604800 3600"
,,"2024-07-09 23:46:31","2024-07-10 00:23:45",1939,"dydx.exchange.","SOA","dydx.exchange.","ns1.ddos-guard.net. support.ddos-guard.net. 1720568576 10800 3600 604800 3600"
,,"2024-07-09 23:47:41","2024-07-10 00:52:46",3223,"dydx.exchange.","SOA","dydx.exchange.","ns1.ddos-guard.net. support.ddos-guard.net. 1720568758 10800 3600 604800 3600"
,,"2024-07-10 00:46:55","2024-07-10 01:39:21",1475,"dydx.exchange.","SOA","dydx.exchange.","ns1.ddos-guard.net. support.ddos-guard.net. 1720570914 10800 3600 604800 3600"
,,"2024-06-25 19:28:17","2024-07-03 00:57:41",2430,"dydx.exchange.","SOA","dydx.exchange.","kate.ns.cloudflare.com. dns.cloudflare.com. 2344829338 10000 2400 604800 1800"
,,"2024-07-03 02:45:02","2024-07-03 02:45:02",1,"dydx.exchange.","SOA","dydx.exchange.","kate.ns.cloudflare.com. dns.cloudflare.com. 2345460398 10000 2400 604800 1800"
,,"2024-07-03 02:49:08","2024-07-13 00:41:59",10441,"dydx.exchange.","SOA","dydx.exchange.","kate.ns.cloudflare.com. dns.cloudflare.com. 2345460566 10000 2400 604800 1800"
,,"2024-06-19 01:42:37","2024-07-13 04:16:32",77,"dydx.exchange.","MX","dydx.exchange.","10 mxa.mailgun.org."
,,"2024-06-19 01:42:37","2024-07-13 04:16:32",77,"dydx.exchange.","MX","dydx.exchange.","10 mxb.mailgun.org."
,,"2024-06-19 01:42:37","2024-07-13 04:16:32",77,"dydx.exchange.","MX","dydx.exchange.","1 aspmx.l.google.com."
,,"2024-06-19 01:42:37","2024-07-13 04:16:32",77,"dydx.exchange.","MX","dydx.exchange.","5 alt1.aspmx.l.google.com."
,,"2024-06-19 01:42:37","2024-07-13 04:16:32",77,"dydx.exchange.","MX","dydx.exchange.","5 alt2.aspmx.l.google.com."
,,"2024-06-19 01:42:37","2024-07-13 04:16:32",77,"dydx.exchange.","MX","dydx.exchange.","10 alt3.aspmx.l.google.com."
,,"2024-06-19 01:42:37","2024-07-13 04:16:32",77,"dydx.exchange.","MX","dydx.exchange.","10 alt4.aspmx.l.google.com."
,,"2024-06-19 01:42:37","2024-07-13 04:16:32",77,"dydx.exchange.","MX","dydx.exchange.","15 5y4uquoz3jxha3w6o5yq4oondqvzb5fa6gzx4isnhsfi67cspp6a.mx-verification.google.com."
,,"2024-06-25 23:37:25","2024-07-09 15:05:06",8,"dydx.exchange.","TXT","dydx.exchange.","\"google-site-verification=JPvDBEjhBxK3pow_d1lB3WH8qtNoCgq4CJUpUvEsemo\""
,,"2024-06-25 23:37:25","2024-07-09 15:05:06",8,"dydx.exchange.","TXT","dydx.exchange.","\"google-site-verification=hLONgfNm6zX1ycBl1w-MAgY_ywnvQTQe7F6-O2qAMDg\""
,,"2024-06-25 23:37:25","2024-07-09 15:05:06",8,"dydx.exchange.","TXT","dydx.exchange.","\"v=spf1 include:_spf.google.com include:servers.mcsv.net include:mg-spf.greenhouse.io -all include:mailgun.org ~all\""
