zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-06-23 04:23:05","2024-07-12 00:10:21",,,1092,"ferrum.network.","NS","network.","ns-cloud-b1.googledomains.com."
"2021-06-23 04:23:05","2024-07-12 00:10:21",,,1092,"ferrum.network.","NS","network.","ns-cloud-b2.googledomains.com."
"2021-06-23 04:23:05","2024-07-12 00:10:21",,,1092,"ferrum.network.","NS","network.","ns-cloud-b3.googledomains.com."
"2021-06-23 04:23:05","2024-07-12 00:10:21",,,1092,"ferrum.network.","NS","network.","ns-cloud-b4.googledomains.com."
,,"2023-07-07 15:09:55","2024-07-13 09:30:10",4268,"ferrum.network.","A","ferrum.network.","34.174.232.67"
,,"2021-06-23 02:38:10","2024-07-12 15:35:45",83591,"ferrum.network.","NS","network.","ns-cloud-b1.googledomains.com."
,,"2021-06-23 02:38:10","2024-07-12 15:35:45",83591,"ferrum.network.","NS","network.","ns-cloud-b2.googledomains.com."
,,"2021-06-23 02:38:10","2024-07-12 15:35:45",83591,"ferrum.network.","NS","network.","ns-cloud-b3.googledomains.com."
,,"2021-06-23 02:38:10","2024-07-12 15:35:45",83591,"ferrum.network.","NS","network.","ns-cloud-b4.googledomains.com."
,,"2021-06-23 02:38:10","2024-07-11 00:46:09",527,"ferrum.network.","NS","ferrum.network.","ns-cloud-b1.googledomains.com."
,,"2021-06-23 02:38:10","2024-07-11 00:46:09",527,"ferrum.network.","NS","ferrum.network.","ns-cloud-b2.googledomains.com."
,,"2021-06-23 02:38:10","2024-07-11 00:46:09",527,"ferrum.network.","NS","ferrum.network.","ns-cloud-b3.googledomains.com."
,,"2021-06-23 02:38:10","2024-07-11 00:46:09",527,"ferrum.network.","NS","ferrum.network.","ns-cloud-b4.googledomains.com."
,,"2024-05-16 19:38:25","2024-07-13 06:59:18",1187,"ferrum.network.","SOA","ferrum.network.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 76 21600 3600 259200 300"
,,"2021-06-21 12:29:08","2024-07-13 06:57:52",413,"ferrum.network.","MX","ferrum.network.","1 aspmx.l.google.com."
,,"2021-06-21 12:29:08","2024-07-13 06:57:52",413,"ferrum.network.","MX","ferrum.network.","5 alt1.aspmx.l.google.com."
,,"2021-06-21 12:29:08","2024-07-13 06:57:52",413,"ferrum.network.","MX","ferrum.network.","5 alt2.aspmx.l.google.com."
,,"2021-06-21 12:29:08","2024-07-13 06:57:52",413,"ferrum.network.","MX","ferrum.network.","10 alt3.aspmx.l.google.com."
,,"2021-06-21 12:29:08","2024-07-13 06:57:52",413,"ferrum.network.","MX","ferrum.network.","10 alt4.aspmx.l.google.com."
,,"2022-09-20 20:10:40","2024-07-11 22:46:44",52,"ferrum.network.","TXT","ferrum.network.","\"v=spf1 include:_spf.google.com ~all\""
,,"2022-09-20 20:10:40","2024-07-11 22:46:44",52,"ferrum.network.","TXT","ferrum.network.","\"v=spf1 include:mail.zendesk.com ?all\""
,,"2022-09-20 20:10:40","2024-07-11 22:46:44",52,"ferrum.network.","TXT","ferrum.network.","\"include:20202371.spf02.hubspotemail.net\""
