zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2020-05-24 03:49:21","2024-07-12 00:10:21",,,1145,"flare.network.","NS","network.","zoe.ns.cloudflare.com."
"2020-05-24 03:49:21","2024-07-12 00:10:21",,,1145,"flare.network.","NS","network.","mike.ns.cloudflare.com."
,,"2023-03-07 15:29:24","2024-07-12 18:20:15",247610,"flare.network.","A","flare.network.","104.18.2.179"
,,"2023-03-07 15:29:24","2024-07-12 18:20:15",247610,"flare.network.","A","flare.network.","104.18.3.179"
,,"2023-03-11 22:20:04","2024-07-13 00:26:24",36655,"flare.network.","A","flare.network.","188.114.98.229"
,,"2023-03-11 22:20:04","2024-07-13 00:26:24",36655,"flare.network.","A","flare.network.","188.114.99.229"
,,"2020-04-01 20:13:05","2024-07-12 20:46:05",3102599,"flare.network.","NS","network.","zoe.ns.cloudflare.com."
,,"2020-04-01 20:13:05","2024-07-12 20:46:05",3102599,"flare.network.","NS","network.","mike.ns.cloudflare.com."
,,"2020-09-07 13:32:01","2024-07-13 10:24:29",2126,"flare.network.","NS","flare.network.","zoe.ns.cloudflare.com."
,,"2020-09-07 13:32:01","2024-07-13 10:24:29",2126,"flare.network.","NS","flare.network.","mike.ns.cloudflare.com."
,,"2024-06-28 10:05:13","2024-07-01 14:26:35",2243,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345053272 10000 2400 604800 1800"
,,"2024-07-01 14:40:21","2024-07-01 14:40:41",18,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345330401 10000 2400 604800 1800"
,,"2024-07-01 14:54:27","2024-07-01 15:08:43",34,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345330769 10000 2400 604800 1800"
,,"2024-07-01 15:08:44","2024-07-02 05:52:40",1138,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345332223 10000 2400 604800 1800"
,,"2024-07-02 07:53:12","2024-07-02 09:54:46",8,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345391995 10000 2400 604800 1800"
,,"2024-07-02 12:12:00","2024-07-02 14:50:36",70,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345407468 10000 2400 604800 1800"
,,"2024-07-02 15:00:35","2024-07-03 10:21:04",1253,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345417699 10000 2400 604800 1800"
,,"2024-07-03 11:42:59","2024-07-03 11:42:59",1,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345492291 10000 2400 604800 1800"
,,"2024-07-03 12:21:38","2024-07-04 11:43:34",737,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345494931 10000 2400 604800 1800"
,,"2024-07-04 14:18:36","2024-07-05 10:25:49",1790,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345584309 10000 2400 604800 1800"
,,"2024-07-05 13:51:55","2024-07-05 16:36:36",46,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345664358 10000 2400 604800 1800"
