zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2023-09-02 00:12:38","2024-07-12 00:10:17",,,314,"flat.money.","NS","money.","ns-cloud-b1.googledomains.com."
"2023-09-02 00:12:38","2024-07-12 00:10:17",,,314,"flat.money.","NS","money.","ns-cloud-b2.googledomains.com."
"2023-09-02 00:12:38","2024-07-12 00:10:17",,,314,"flat.money.","NS","money.","ns-cloud-b3.googledomains.com."
"2023-09-02 00:12:38","2024-07-12 00:10:17",,,314,"flat.money.","NS","money.","ns-cloud-b4.googledomains.com."
,,"2024-01-22 08:02:12","2024-07-12 11:09:51",413,"flat.money.","A","flat.money.","76.76.21.21"
,,"2023-09-03 02:46:53","2024-07-12 11:09:51",2816,"flat.money.","NS","money.","ns-cloud-b1.googledomains.com."
,,"2023-09-03 02:46:53","2024-07-12 11:09:51",2816,"flat.money.","NS","money.","ns-cloud-b2.googledomains.com."
,,"2023-09-03 02:46:53","2024-07-12 11:09:51",2816,"flat.money.","NS","money.","ns-cloud-b3.googledomains.com."
,,"2023-09-03 02:46:53","2024-07-12 11:09:51",2816,"flat.money.","NS","money.","ns-cloud-b4.googledomains.com."
,,"2023-09-03 08:03:08","2024-07-03 04:50:20",41,"flat.money.","NS","flat.money.","ns-cloud-b1.googledomains.com."
,,"2023-09-03 08:03:08","2024-07-03 04:50:20",41,"flat.money.","NS","flat.money.","ns-cloud-b2.googledomains.com."
,,"2023-09-03 08:03:08","2024-07-03 04:50:20",41,"flat.money.","NS","flat.money.","ns-cloud-b3.googledomains.com."
,,"2023-09-03 08:03:08","2024-07-03 04:50:20",41,"flat.money.","NS","flat.money.","ns-cloud-b4.googledomains.com."
,,"2024-04-05 20:21:12","2024-07-01 14:43:19",273,"flat.money.","SOA","flat.money.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 19 21600 3600 259200 300"
,,"2024-07-02 01:17:41","2024-07-12 04:05:21",9,"flat.money.","SOA","flat.money.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 20 21600 3600 259200 300"
,,"2024-01-04 18:40:29","2024-07-04 10:37:27",11,"flat.money.","MX","flat.money.","1 aspmx.l.google.com."
,,"2024-01-04 18:40:29","2024-07-04 10:37:27",11,"flat.money.","MX","flat.money.","5 alt1.aspmx.l.google.com."
,,"2024-01-04 18:40:29","2024-07-04 10:37:27",11,"flat.money.","MX","flat.money.","5 alt2.aspmx.l.google.com."
,,"2024-01-04 18:40:29","2024-07-04 10:37:27",11,"flat.money.","MX","flat.money.","10 alt3.aspmx.l.google.com."
,,"2024-01-04 18:40:29","2024-07-04 10:37:27",11,"flat.money.","MX","flat.money.","10 alt4.aspmx.l.google.com."
