zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-11-26 00:06:05","2024-07-11 23:58:12",,,938,"florence.finance.","NS","finance.","clayton.ns.cloudflare.com."
"2021-11-26 00:06:05","2024-07-11 23:58:12",,,938,"florence.finance.","NS","finance.","rosalie.ns.cloudflare.com."
,,"2024-06-17 14:37:07","2024-07-12 20:21:51",121,"florence.finance.","A","florence.finance.","75.2.70.75"
,,"2024-06-17 14:37:07","2024-07-12 20:21:51",121,"florence.finance.","A","florence.finance.","99.83.190.102"
,,"2021-11-25 22:07:08","2024-07-13 01:03:57",24550,"florence.finance.","NS","finance.","clayton.ns.cloudflare.com."
,,"2021-11-25 22:07:08","2024-07-13 01:03:57",24550,"florence.finance.","NS","finance.","rosalie.ns.cloudflare.com."
,,"2021-12-03 15:47:05","2024-07-06 06:54:00",211,"florence.finance.","NS","florence.finance.","clayton.ns.cloudflare.com."
,,"2021-12-03 15:47:05","2024-07-06 06:54:00",211,"florence.finance.","NS","florence.finance.","rosalie.ns.cloudflare.com."
,,"2024-06-26 01:51:00","2024-07-04 17:15:52",87,"florence.finance.","SOA","florence.finance.","clayton.ns.cloudflare.com. dns.cloudflare.com. 2344851670 10000 2400 604800 1800"
,,"2024-07-06 06:15:10","2024-07-06 06:15:10",3,"florence.finance.","SOA","florence.finance.","clayton.ns.cloudflare.com. dns.cloudflare.com. 2345682583 10000 2400 604800 1800"
,,"2024-07-06 13:55:47","2024-07-11 11:40:02",80,"florence.finance.","SOA","florence.finance.","clayton.ns.cloudflare.com. dns.cloudflare.com. 2345734414 10000 2400 604800 1800"
,,"2024-07-12 20:21:51","2024-07-12 20:21:51",1,"florence.finance.","SOA","florence.finance.","clayton.ns.cloudflare.com. dns.cloudflare.com. 2346275487 10000 2400 604800 1800"
,,"2021-09-10 11:23:35","2024-07-07 11:54:09",145,"florence.finance.","MX","florence.finance.","1 aspmx.l.google.com."
,,"2021-09-10 11:23:35","2024-07-07 11:54:09",145,"florence.finance.","MX","florence.finance.","5 alt1.aspmx.l.google.com."
,,"2021-09-10 11:23:35","2024-07-07 11:54:09",145,"florence.finance.","MX","florence.finance.","5 alt2.aspmx.l.google.com."
,,"2021-09-10 11:23:35","2024-07-07 11:54:09",145,"florence.finance.","MX","florence.finance.","10 alt3.aspmx.l.google.com."
,,"2021-09-10 11:23:35","2024-07-07 11:54:09",145,"florence.finance.","MX","florence.finance.","10 alt4.aspmx.l.google.com."
