zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-05-18 17:01:43","2024-07-10 12:03:32",,,1122,"foundation.app.","NS","app.","aitana.ns.cloudflare.com."
"2021-05-18 17:01:43","2024-07-10 12:03:32",,,1122,"foundation.app.","NS","app.","merlin.ns.cloudflare.com."
,,"2022-11-14 20:00:08","2024-07-12 17:54:04",546681,"foundation.app.","A","foundation.app.","104.19.137.78"
,,"2022-11-14 20:00:08","2024-07-12 17:54:04",546681,"foundation.app.","A","foundation.app.","104.19.138.78"
,,"2022-11-14 20:00:08","2024-07-12 17:54:04",546681,"foundation.app.","A","foundation.app.","104.19.139.78"
,,"2022-11-14 20:00:08","2024-07-12 17:54:04",546681,"foundation.app.","A","foundation.app.","104.19.140.78"
,,"2022-11-14 20:00:08","2024-07-12 17:54:04",546681,"foundation.app.","A","foundation.app.","104.19.141.78"
,,"2021-01-09 01:30:02","2024-07-13 03:15:37",3290697,"foundation.app.","NS","app.","aitana.ns.cloudflare.com."
,,"2021-01-09 01:30:02","2024-07-13 03:15:37",3290697,"foundation.app.","NS","app.","merlin.ns.cloudflare.com."
,,"2021-01-14 08:10:48","2024-07-13 04:24:46",25990,"foundation.app.","NS","foundation.app.","aitana.ns.cloudflare.com."
,,"2021-01-14 08:10:48","2024-07-13 04:24:46",25990,"foundation.app.","NS","foundation.app.","merlin.ns.cloudflare.com."
,,"2024-06-11 18:52:13","2024-07-12 18:35:02",871389,"foundation.app.","SOA","foundation.app.","aitana.ns.cloudflare.com. dns.cloudflare.com. 2343617534 10000 2400 604800 1800"
,,"2021-07-22 13:53:41","2024-07-13 04:24:46",1835,"foundation.app.","MX","foundation.app.","1 aspmx.l.google.com."
,,"2021-07-22 13:53:41","2024-07-13 04:24:46",1835,"foundation.app.","MX","foundation.app.","5 alt1.aspmx.l.google.com."
,,"2021-07-22 13:53:41","2024-07-13 04:24:46",1835,"foundation.app.","MX","foundation.app.","5 alt2.aspmx.l.google.com."
,,"2021-07-22 13:53:41","2024-07-13 04:24:46",1835,"foundation.app.","MX","foundation.app.","10 alt3.aspmx.l.google.com."
,,"2021-07-22 13:53:41","2024-07-13 04:24:46",1835,"foundation.app.","MX","foundation.app.","10 alt4.aspmx.l.google.com."
,,"2024-05-08 23:35:14","2024-07-09 17:46:17",7,"foundation.app.","TXT","foundation.app.","\"rm_verify=40a9f6fafe\""
,,"2024-05-08 23:35:14","2024-07-09 17:46:17",7,"foundation.app.","TXT","foundation.app.","\"apple-domain-verification=a8Vx4g797R5zTFaE\""
,,"2024-05-08 23:35:14","2024-07-09 17:46:17",7,"foundation.app.","TXT","foundation.app.","\"google-site-verification=UJZslpKlyx_g7eQX53GV-tSV3s9o7rM1NEfdEDugFk8\""
,,"2024-05-08 23:35:14","2024-07-09 17:46:17",7,"foundation.app.","TXT","foundation.app.","\"v=spf1 include:_spf.google.com include:mail.zendesk.com include:mg-spf.greenhouse.io -all\""
,,"2024-05-08 23:35:14","2024-07-09 17:46:17",7,"foundation.app.","TXT","foundation.app.","\"wallet-connect-dns-verification=3590415fce20a3096a480023ba3cbab8d2d62c356ef3a6a9f3d8ec21fa7238ed\""
,,"2023-05-22 10:50:25","2024-07-12 23:16:56",170742,"foundation.app.","HTTPS","foundation.app.","1 . alpn=\"h3,h2\" ipv4hint=104.19.137.78,104.19.138.78,104.19.139.78,104.19.140.78,104.19.141.78"
