zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-05-20 23:25:18","2024-07-11 23:21:45",,,1126,"fractional.art.","NS","art.","roan.ns.cloudflare.com."
"2021-05-20 23:25:18","2024-07-11 23:21:45",,,1126,"fractional.art.","NS","art.","shubhi.ns.cloudflare.com."
,,"2023-09-01 12:09:33","2024-07-13 03:23:14",1250,"fractional.art.","A","fractional.art.","34.120.54.55"
,,"2021-04-20 14:19:41","2024-07-13 03:25:35",223868,"fractional.art.","NS","art.","roan.ns.cloudflare.com."
,,"2021-04-20 14:19:41","2024-07-13 03:25:35",223868,"fractional.art.","NS","art.","shubhi.ns.cloudflare.com."
,,"2021-08-04 02:15:08","2024-07-08 02:15:10",460,"fractional.art.","NS","fractional.art.","roan.ns.cloudflare.com."
,,"2021-08-04 02:15:08","2024-07-08 02:15:10",460,"fractional.art.","NS","fractional.art.","shubhi.ns.cloudflare.com."
,,"2024-06-04 17:48:31","2024-07-13 03:25:35",33631,"fractional.art.","SOA","fractional.art.","roan.ns.cloudflare.com. dns.cloudflare.com. 2342983273 10000 2400 604800 1800"
,,"2021-04-20 14:19:42","2024-07-11 09:40:02",697,"fractional.art.","MX","fractional.art.","1 aspmx.l.google.com."
,,"2021-04-20 14:19:42","2024-07-11 09:40:02",697,"fractional.art.","MX","fractional.art.","5 alt1.aspmx.l.google.com."
,,"2021-04-20 14:19:42","2024-07-11 09:40:02",697,"fractional.art.","MX","fractional.art.","5 alt2.aspmx.l.google.com."
,,"2021-04-20 14:19:42","2024-07-11 09:40:02",697,"fractional.art.","MX","fractional.art.","10 alt3.aspmx.l.google.com."
,,"2021-04-20 14:19:42","2024-07-11 09:40:02",697,"fractional.art.","MX","fractional.art.","10 alt4.aspmx.l.google.com."
,,"2023-09-03 12:00:12","2024-07-12 14:37:35",464,"fractional.art.","AAAA","fractional.art.","2600:1901:0:6d85::"
