zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2024-02-02 14:43:28","2024-07-10 12:03:32",,,157,"herewallet.app.","NS","app.","ned.ns.cloudflare.com."
"2024-02-02 14:43:28","2024-07-10 12:03:32",,,157,"herewallet.app.","NS","app.","adelaide.ns.cloudflare.com."
,,"2024-02-04 19:03:55","2024-07-12 19:27:24",311,"herewallet.app.","A","herewallet.app.","104.26.10.35"
,,"2024-02-04 19:03:55","2024-07-12 19:27:24",311,"herewallet.app.","A","herewallet.app.","104.26.11.35"
,,"2024-02-04 19:03:55","2024-07-12 19:27:24",311,"herewallet.app.","A","herewallet.app.","172.67.74.111"
,,"2024-02-04 19:32:43","2024-07-12 14:27:45",3800,"herewallet.app.","A","herewallet.app.","188.114.98.229"
,,"2024-02-04 19:32:43","2024-07-12 14:27:45",3800,"herewallet.app.","A","herewallet.app.","188.114.99.229"
,,"2024-02-04 18:34:55","2024-07-13 02:49:25",680651,"herewallet.app.","NS","app.","ned.ns.cloudflare.com."
,,"2024-02-04 18:34:55","2024-07-13 02:49:25",680651,"herewallet.app.","NS","app.","adelaide.ns.cloudflare.com."
,,"2024-02-04 18:57:23","2024-07-12 16:50:53",103304,"herewallet.app.","NS","herewallet.app.","ned.ns.cloudflare.com."
,,"2024-02-04 18:57:23","2024-07-12 16:50:53",103304,"herewallet.app.","NS","herewallet.app.","adelaide.ns.cloudflare.com."
,,"2024-06-26 14:53:06","2024-07-12 03:42:31",19088,"herewallet.app.","SOA","herewallet.app.","adelaide.ns.cloudflare.com. dns.cloudflare.com. 2344899271 10000 2400 604800 1800"
,,"2024-07-12 03:47:25","2024-07-12 20:43:59",823,"herewallet.app.","SOA","herewallet.app.","adelaide.ns.cloudflare.com. dns.cloudflare.com. 2346241591 10000 2400 604800 1800"
,,"2024-02-04 22:12:26","2024-07-12 11:33:28",175,"herewallet.app.","AAAA","herewallet.app.","2606:4700:20::681a:a23"
,,"2024-02-04 22:12:26","2024-07-12 11:33:28",175,"herewallet.app.","AAAA","herewallet.app.","2606:4700:20::681a:b23"
,,"2024-02-04 22:12:26","2024-07-12 11:33:28",175,"herewallet.app.","AAAA","herewallet.app.","2606:4700:20::ac43:4a6f"
,,"2024-02-04 23:14:00","2024-07-08 03:19:20",247,"herewallet.app.","AAAA","herewallet.app.","2a06:98c1:3122:e000::5"
,,"2024-02-04 23:14:00","2024-07-08 03:19:20",247,"herewallet.app.","AAAA","herewallet.app.","2a06:98c1:3123:e000::5"
,,"2024-02-05 01:30:22","2024-07-13 05:54:29",2249,"herewallet.app.","HTTPS","herewallet.app.","1 . ipv4hint=188.114.98.229,188.114.99.229 ipv6hint=2a06:98c1:3122:e000::5,2a06:98c1:3123:e000::5"
,,"2024-02-05 00:18:22","2024-07-12 11:33:28",190,"herewallet.app.","HTTPS","herewallet.app.","1 . ipv4hint=104.26.10.35,104.26.11.35,172.67.74.111 ipv6hint=2606:4700:20::681a:a23,2606:4700:20::681a:b23,2606:4700:20::ac43:4a6f"
