zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-12-31 00:17:42","2024-07-12 00:08:40",,,902,"hop.exchange.","NS","exchange.","sam.ns.cloudflare.com."
"2021-12-31 00:17:42","2024-07-12 00:08:40",,,902,"hop.exchange.","NS","exchange.","bailey.ns.cloudflare.com."
,,"2023-08-03 05:33:51","2024-07-13 01:45:14",20400,"hop.exchange.","A","hop.exchange.","104.21.2.167"
,,"2023-08-03 05:33:51","2024-07-13 01:45:14",20400,"hop.exchange.","A","hop.exchange.","172.67.129.119"
,,"2022-01-28 05:33:46","2024-07-07 00:55:38",113,"hop.exchange.","A","hop.exchange.","188.114.96.0"
,,"2022-01-28 05:33:46","2024-07-07 00:55:38",113,"hop.exchange.","A","hop.exchange.","188.114.97.0"
,,"2022-02-11 04:55:21","2024-07-05 08:23:54",5108,"hop.exchange.","A","hop.exchange.","188.114.96.3"
,,"2022-02-11 04:55:21","2024-07-05 08:23:54",5108,"hop.exchange.","A","hop.exchange.","188.114.97.3"
,,"2022-06-01 10:26:23","2024-07-12 23:29:30",577,"hop.exchange.","A","hop.exchange.","188.114.96.4"
,,"2022-06-01 10:26:23","2024-07-12 23:29:30",577,"hop.exchange.","A","hop.exchange.","188.114.97.4"
,,"2022-01-29 17:03:59","2024-07-08 19:00:38",605,"hop.exchange.","A","hop.exchange.","188.114.96.8"
,,"2022-01-29 17:03:59","2024-07-08 19:00:38",605,"hop.exchange.","A","hop.exchange.","188.114.97.8"
,,"2021-12-30 19:56:16","2024-07-13 03:18:15",1227237,"hop.exchange.","NS","exchange.","sam.ns.cloudflare.com."
,,"2021-12-30 19:56:16","2024-07-13 03:18:15",1227237,"hop.exchange.","NS","exchange.","bailey.ns.cloudflare.com."
,,"2022-01-01 10:42:52","2024-07-13 07:42:54",1320,"hop.exchange.","NS","hop.exchange.","sam.ns.cloudflare.com."
,,"2022-01-01 10:42:52","2024-07-13 07:42:54",1320,"hop.exchange.","NS","hop.exchange.","bailey.ns.cloudflare.com."
,,"2024-06-30 05:15:50","2024-07-01 17:21:50",1696,"hop.exchange.","SOA","hop.exchange.","bailey.ns.cloudflare.com. dns.cloudflare.com. 2345204419 10000 2400 604800 1800"
,,"2024-07-01 17:44:59","2024-07-04 14:53:46",310,"hop.exchange.","SOA","hop.exchange.","bailey.ns.cloudflare.com. dns.cloudflare.com. 2345340515 10000 2400 604800 1800"
,,"2024-07-04 17:43:41","2024-07-07 00:39:03",241,"hop.exchange.","SOA","hop.exchange.","bailey.ns.cloudflare.com. dns.cloudflare.com. 2345599740 10000 2400 604800 1800"
,,"2024-07-07 00:50:30","2024-07-13 01:29:23",10852,"hop.exchange.","SOA","hop.exchange.","bailey.ns.cloudflare.com. dns.cloudflare.com. 2345799098 10000 2400 604800 1800"
,,"2023-08-03 05:33:51","2024-07-12 13:01:44",8325,"hop.exchange.","AAAA","hop.exchange.","2606:4700:3031::6815:2a7"
,,"2023-08-03 05:33:51","2024-07-12 13:01:44",8325,"hop.exchange.","AAAA","hop.exchange.","2606:4700:3035::ac43:8177"
,,"2022-05-27 07:05:45","2024-07-08 16:55:18",4789,"hop.exchange.","AAAA","hop.exchange.","2a06:98c1:3120::3"
,,"2022-05-27 07:05:45","2024-07-08 16:55:18",4789,"hop.exchange.","AAAA","hop.exchange.","2a06:98c1:3121::3"
,,"2022-06-01 10:26:23","2024-07-12 23:29:31",560,"hop.exchange.","AAAA","hop.exchange.","2a06:98c1:3120::4"
,,"2022-06-01 10:26:23","2024-07-12 23:29:31",560,"hop.exchange.","AAAA","hop.exchange.","2a06:98c1:3121::4"
,,"2022-01-29 17:13:55","2024-07-09 21:58:33",587,"hop.exchange.","AAAA","hop.exchange.","2a06:98c1:3120::8"
,,"2022-01-29 17:13:55","2024-07-09 21:58:33",587,"hop.exchange.","AAAA","hop.exchange.","2a06:98c1:3121::8"
