zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2023-04-12 00:17:51","2024-07-12 00:09:52",,,457,"hover.market.","NS","market.","ns-cloud-a1.googledomains.com."
"2023-04-12 00:17:51","2024-07-12 00:09:52",,,457,"hover.market.","NS","market.","ns-cloud-a2.googledomains.com."
"2023-04-12 00:17:51","2024-07-12 00:09:52",,,457,"hover.market.","NS","market.","ns-cloud-a3.googledomains.com."
"2023-04-12 00:17:51","2024-07-12 00:09:52",,,457,"hover.market.","NS","market.","ns-cloud-a4.googledomains.com."
,,"2023-05-25 10:09:44","2024-07-13 09:17:14",634,"hover.market.","A","hover.market.","216.239.32.21"
,,"2023-05-25 10:09:44","2024-07-13 09:17:14",634,"hover.market.","A","hover.market.","216.239.34.21"
,,"2023-05-25 10:09:44","2024-07-13 09:17:14",634,"hover.market.","A","hover.market.","216.239.36.21"
,,"2023-05-25 10:09:44","2024-07-13 09:17:14",634,"hover.market.","A","hover.market.","216.239.38.21"
,,"2023-04-12 18:01:58","2024-07-12 18:02:32",2501,"hover.market.","NS","market.","ns-cloud-a1.googledomains.com."
,,"2023-04-12 18:01:58","2024-07-12 18:02:32",2501,"hover.market.","NS","market.","ns-cloud-a2.googledomains.com."
,,"2023-04-12 18:01:58","2024-07-12 18:02:32",2501,"hover.market.","NS","market.","ns-cloud-a3.googledomains.com."
,,"2023-04-12 18:01:58","2024-07-12 18:02:32",2501,"hover.market.","NS","market.","ns-cloud-a4.googledomains.com."
,,"2023-04-12 18:01:58","2024-07-11 16:39:58",72,"hover.market.","NS","hover.market.","ns-cloud-a1.googledomains.com."
,,"2023-04-12 18:01:58","2024-07-11 16:39:58",72,"hover.market.","NS","hover.market.","ns-cloud-a2.googledomains.com."
,,"2023-04-12 18:01:58","2024-07-11 16:39:58",72,"hover.market.","NS","hover.market.","ns-cloud-a3.googledomains.com."
,,"2023-04-12 18:01:58","2024-07-11 16:39:58",72,"hover.market.","NS","hover.market.","ns-cloud-a4.googledomains.com."
,,"2024-06-01 19:42:50","2024-07-12 12:06:42",63,"hover.market.","SOA","hover.market.","ns-cloud-a1.googledomains.com. cloud-dns-hostmaster.google.com. 14 21600 3600 259200 300"
,,"2023-05-26 00:24:49","2024-07-08 14:50:41",11,"hover.market.","TXT","hover.market.","\"v=spf1 include:_spf.google.com ~all\""
,,"2023-05-26 00:24:49","2024-07-08 14:50:41",11,"hover.market.","TXT","hover.market.","\"google-site-verification=6enxO0hXMwqUTSTB482QuHatb0ayx7pad03wbRhwamQ\""
,,"2023-05-25 11:06:25","2024-07-12 12:14:41",215,"hover.market.","AAAA","hover.market.","2001:4860:4802:32::15"
,,"2023-05-25 11:06:25","2024-07-12 12:14:41",215,"hover.market.","AAAA","hover.market.","2001:4860:4802:34::15"
,,"2023-05-25 11:06:25","2024-07-12 12:14:41",215,"hover.market.","AAAA","hover.market.","2001:4860:4802:36::15"
,,"2023-05-25 11:06:25","2024-07-12 12:14:41",215,"hover.market.","AAAA","hover.market.","2001:4860:4802:38::15"
