zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-10-29 22:05:18","2024-07-11 22:58:21",,,621,"hyperliquid.xyz.","NS","xyz.","ns-480.awsdns-60.com."
"2022-10-29 22:05:18","2024-07-11 22:58:21",,,621,"hyperliquid.xyz.","NS","xyz.","ns-531.awsdns-02.net."
"2022-10-29 22:05:18","2024-07-11 22:58:21",,,621,"hyperliquid.xyz.","NS","xyz.","ns-1371.awsdns-43.org."
"2022-10-29 22:05:18","2024-07-11 22:58:21",,,621,"hyperliquid.xyz.","NS","xyz.","ns-1829.awsdns-36.co.uk."
,,"2024-02-10 03:02:57","2024-07-10 21:25:00",270,"hyperliquid.xyz.","A","hyperliquid.xyz.","3.162.79.21"
,,"2024-02-10 03:02:57","2024-07-10 21:25:00",270,"hyperliquid.xyz.","A","hyperliquid.xyz.","3.162.79.29"
,,"2024-02-10 03:02:57","2024-07-10 21:25:00",270,"hyperliquid.xyz.","A","hyperliquid.xyz.","3.162.79.56"
,,"2024-02-10 03:02:57","2024-07-10 21:25:00",270,"hyperliquid.xyz.","A","hyperliquid.xyz.","3.162.79.108"
,,"2024-06-05 03:38:59","2024-07-11 00:10:10",4,"hyperliquid.xyz.","A","hyperliquid.xyz.","3.164.240.27"
,,"2024-06-05 03:38:59","2024-07-11 00:10:10",4,"hyperliquid.xyz.","A","hyperliquid.xyz.","3.164.240.41"
,,"2024-06-05 03:38:59","2024-07-11 00:10:10",4,"hyperliquid.xyz.","A","hyperliquid.xyz.","3.164.240.124"
,,"2024-06-05 03:38:59","2024-07-11 00:10:10",4,"hyperliquid.xyz.","A","hyperliquid.xyz.","3.164.240.129"
,,"2023-02-02 16:57:13","2024-07-12 22:29:28",2951,"hyperliquid.xyz.","A","hyperliquid.xyz.","13.226.225.7"
,,"2023-02-02 16:57:13","2024-07-12 22:29:28",2951,"hyperliquid.xyz.","A","hyperliquid.xyz.","13.226.225.9"
,,"2023-02-02 16:57:13","2024-07-12 22:29:28",2951,"hyperliquid.xyz.","A","hyperliquid.xyz.","13.226.225.40"
,,"2023-02-02 16:57:13","2024-07-12 22:29:28",2951,"hyperliquid.xyz.","A","hyperliquid.xyz.","13.226.225.109"
,,"2024-03-12 17:13:07","2024-07-12 16:35:24",92,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.64.67.2"
,,"2024-03-12 17:13:07","2024-07-12 16:35:24",92,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.64.67.22"
,,"2024-03-12 17:13:07","2024-07-12 16:35:24",92,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.64.67.34"
,,"2024-03-12 17:13:07","2024-07-12 16:35:24",92,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.64.67.111"
,,"2024-03-13 17:08:46","2024-07-09 18:28:48",49,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.65.229.67"
,,"2024-03-13 17:08:46","2024-07-09 18:28:48",49,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.65.229.79"
,,"2024-03-13 17:08:46","2024-07-09 18:28:48",49,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.65.229.112"
,,"2024-03-13 17:08:46","2024-07-09 18:28:48",49,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.65.229.116"
,,"2024-07-04 17:31:11","2024-07-07 07:39:24",2,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.154.63.19"
,,"2024-07-04 17:31:11","2024-07-07 07:39:24",2,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.154.63.42"
,,"2024-07-04 17:31:11","2024-07-07 07:39:24",2,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.154.63.82"
,,"2024-07-04 17:31:11","2024-07-07 07:39:24",2,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.154.63.87"
,,"2022-11-17 13:48:11","2024-07-12 16:14:21",29,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.155.129.20"
,,"2022-11-17 13:48:11","2024-07-12 16:14:21",29,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.155.129.70"
,,"2022-11-17 13:48:11","2024-07-12 16:14:21",29,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.155.129.81"
,,"2022-11-17 13:48:11","2024-07-12 16:14:21",29,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.155.129.95"
,,"2023-02-01 16:37:43","2024-07-13 07:00:53",593,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.155.153.16"
,,"2023-02-01 16:37:43","2024-07-13 07:00:53",593,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.155.153.33"
,,"2023-02-01 16:37:43","2024-07-13 07:00:53",593,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.155.153.72"
,,"2023-02-01 16:37:43","2024-07-13 07:00:53",593,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.155.153.73"
,,"2023-05-13 01:40:55","2024-07-13 01:14:41",100,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.160.10.4"
,,"2023-05-13 01:40:55","2024-07-13 01:14:41",100,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.160.10.56"
,,"2023-05-13 01:40:55","2024-07-13 01:14:41",100,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.160.10.61"
,,"2023-05-13 01:40:55","2024-07-13 01:14:41",100,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.160.10.69"
,,"2024-07-03 05:51:00","2024-07-03 05:51:00",1,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.165.53.9"
,,"2024-07-03 05:51:00","2024-07-03 05:51:00",1,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.165.53.32"
,,"2024-07-03 05:51:00","2024-07-03 05:51:00",1,"hyperliquid.xyz.","A","hyperliquid.xyz.","18.165.53.38"
