zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2019-08-09 00:18:41","2024-07-11 23:58:12",,,1318,"idle.finance.","NS","finance.","ns-cloud-c1.googledomains.com."
"2019-08-09 00:18:41","2024-07-11 23:58:12",,,1318,"idle.finance.","NS","finance.","ns-cloud-c2.googledomains.com."
"2019-08-09 00:18:41","2024-07-11 23:58:12",,,1318,"idle.finance.","NS","finance.","ns-cloud-c3.googledomains.com."
"2019-08-09 00:18:41","2024-07-11 23:58:12",,,1318,"idle.finance.","NS","finance.","ns-cloud-c4.googledomains.com."
,,"2019-07-10 21:22:09","2024-07-13 05:23:51",67078,"idle.finance.","A","idle.finance.","185.199.108.153"
,,"2019-05-24 10:57:38","2024-07-13 05:23:51",702209,"idle.finance.","NS","finance.","ns-cloud-c1.googledomains.com."
,,"2019-05-24 10:57:38","2024-07-13 05:23:51",702209,"idle.finance.","NS","finance.","ns-cloud-c2.googledomains.com."
,,"2019-05-24 10:57:38","2024-07-13 05:23:51",702209,"idle.finance.","NS","finance.","ns-cloud-c3.googledomains.com."
,,"2019-05-24 10:57:38","2024-07-13 05:23:51",702209,"idle.finance.","NS","finance.","ns-cloud-c4.googledomains.com."
,,"2019-07-01 14:55:58","2024-07-07 00:34:41",2846,"idle.finance.","NS","idle.finance.","ns-cloud-c1.googledomains.com."
,,"2019-07-01 14:55:58","2024-07-07 00:34:41",2846,"idle.finance.","NS","idle.finance.","ns-cloud-c2.googledomains.com."
,,"2019-07-01 14:55:58","2024-07-07 00:34:41",2846,"idle.finance.","NS","idle.finance.","ns-cloud-c3.googledomains.com."
,,"2019-07-01 14:55:58","2024-07-07 00:34:41",2846,"idle.finance.","NS","idle.finance.","ns-cloud-c4.googledomains.com."
,,"2024-06-05 00:09:01","2024-07-13 09:39:29",923,"idle.finance.","SOA","idle.finance.","ns-cloud-c1.googledomains.com. cloud-dns-hostmaster.google.com. 94 21600 3600 259200 300"
,,"2019-12-06 05:02:12","2024-07-13 06:10:15",858,"idle.finance.","MX","idle.finance.","1 aspmx.l.google.com."
,,"2019-12-06 05:02:12","2024-07-13 06:10:15",858,"idle.finance.","MX","idle.finance.","5 alt1.aspmx.l.google.com."
,,"2019-12-06 05:02:12","2024-07-13 06:10:15",858,"idle.finance.","MX","idle.finance.","5 alt2.aspmx.l.google.com."
,,"2019-12-06 05:02:12","2024-07-13 06:10:15",858,"idle.finance.","MX","idle.finance.","10 alt3.aspmx.l.google.com."
,,"2019-12-06 05:02:12","2024-07-13 06:10:15",858,"idle.finance.","MX","idle.finance.","10 alt4.aspmx.l.google.com."
,,"2023-07-05 04:46:01","2024-07-02 18:27:45",29,"idle.finance.","TXT","idle.finance.","\"v=spf1 include:_spf.google.com ~all\""
,,"2023-07-05 04:46:01","2024-07-02 18:27:45",29,"idle.finance.","TXT","idle.finance.","\"wallet-connect-dns-verification=232097559a9948660d9eaaaed138f3bb64cdf831bd75c672645545e0ab147814\""
