zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-10-01 00:25:24","2024-07-12 00:21:37",,,650,"ion.wtf.","NS","wtf.","ns1.vercel-dns.com."
"2022-10-01 00:25:24","2024-07-12 00:21:37",,,650,"ion.wtf.","NS","wtf.","ns2.vercel-dns.com."
,,"2022-10-05 15:54:20","2024-07-12 09:00:31",87,"ion.wtf.","A","ion.wtf.","76.76.21.22"
,,"2022-10-05 15:54:20","2024-07-12 09:00:31",87,"ion.wtf.","A","ion.wtf.","76.76.21.61"
,,"2022-10-05 16:55:40","2024-07-12 20:50:03",78,"ion.wtf.","A","ion.wtf.","76.76.21.61"
,,"2022-10-05 16:55:40","2024-07-12 20:50:03",78,"ion.wtf.","A","ion.wtf.","76.76.21.93"
,,"2022-10-17 02:23:28","2024-07-12 09:00:31",74,"ion.wtf.","A","ion.wtf.","76.76.21.61"
,,"2022-10-17 02:23:28","2024-07-12 09:00:31",74,"ion.wtf.","A","ion.wtf.","76.76.21.164"
,,"2022-09-30 22:06:29","2024-07-04 07:43:56",93,"ion.wtf.","A","ion.wtf.","76.76.21.93"
,,"2022-09-30 22:06:29","2024-07-04 07:43:56",93,"ion.wtf.","A","ion.wtf.","76.76.21.98"
,,"2022-09-30 19:14:14","2024-07-05 22:23:07",66,"ion.wtf.","A","ion.wtf.","76.76.21.98"
,,"2022-09-30 19:14:14","2024-07-05 22:23:07",66,"ion.wtf.","A","ion.wtf.","76.76.21.142"
,,"2022-10-01 10:14:38","2024-07-06 08:13:31",77,"ion.wtf.","A","ion.wtf.","76.76.21.123"
,,"2022-10-01 10:14:38","2024-07-06 08:13:31",77,"ion.wtf.","A","ion.wtf.","76.76.21.164"
,,"2022-10-20 19:36:10","2024-07-02 01:39:21",81,"ion.wtf.","A","ion.wtf.","76.76.21.142"
,,"2022-10-20 19:36:10","2024-07-02 01:39:21",81,"ion.wtf.","A","ion.wtf.","76.76.21.241"
,,"2022-09-30 12:44:56","2024-07-12 20:50:03",10034,"ion.wtf.","NS","wtf.","ns1.vercel-dns.com."
,,"2022-09-30 12:44:56","2024-07-12 20:50:03",10034,"ion.wtf.","NS","wtf.","ns2.vercel-dns.com."
,,"2022-10-01 10:46:52","2024-07-02 00:49:28",97,"ion.wtf.","NS","ion.wtf.","ns1.vercel-dns.com."
,,"2022-10-01 10:46:52","2024-07-02 00:49:28",97,"ion.wtf.","NS","ion.wtf.","ns2.vercel-dns.com."
,,"2022-09-30 21:02:35","2024-07-01 22:39:11",4317,"ion.wtf.","SOA","ion.wtf.","ns1.vercel-dns.com. hostmaster.nsone.net. 1652972123 43200 7200 1209600 60"
,,"2024-07-03 23:31:37","2024-07-10 05:02:42",17,"ion.wtf.","SOA","ion.wtf.","ns1.vercel-dns.com. hostmaster.nsone.net. 1652972124 43200 7200 1209600 600"
