zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2023-01-26 00:01:21","2024-07-11 23:58:12",,,533,"kagla.finance.","NS","finance.","ns-cloud-e1.googledomains.com."
"2023-01-26 00:01:21","2024-07-11 23:58:12",,,533,"kagla.finance.","NS","finance.","ns-cloud-e2.googledomains.com."
"2023-01-26 00:01:21","2024-07-11 23:58:12",,,533,"kagla.finance.","NS","finance.","ns-cloud-e3.googledomains.com."
"2023-01-26 00:01:21","2024-07-11 23:58:12",,,533,"kagla.finance.","NS","finance.","ns-cloud-e4.googledomains.com."
,,"2022-03-31 13:11:51","2024-07-12 07:30:20",2236,"kagla.finance.","A","kagla.finance.","76.76.21.21"
,,"2023-01-25 09:51:46","2024-07-12 12:05:56",4320,"kagla.finance.","NS","finance.","ns-cloud-e1.googledomains.com."
,,"2023-01-25 09:51:46","2024-07-12 12:05:56",4320,"kagla.finance.","NS","finance.","ns-cloud-e2.googledomains.com."
,,"2023-01-25 09:51:46","2024-07-12 12:05:56",4320,"kagla.finance.","NS","finance.","ns-cloud-e3.googledomains.com."
,,"2023-01-25 09:51:46","2024-07-12 12:05:56",4320,"kagla.finance.","NS","finance.","ns-cloud-e4.googledomains.com."
,,"2023-02-10 13:12:25","2024-07-07 06:21:28",78,"kagla.finance.","NS","kagla.finance.","ns-cloud-e1.googledomains.com."
,,"2023-02-10 13:12:25","2024-07-07 06:21:28",78,"kagla.finance.","NS","kagla.finance.","ns-cloud-e2.googledomains.com."
,,"2023-02-10 13:12:25","2024-07-07 06:21:28",78,"kagla.finance.","NS","kagla.finance.","ns-cloud-e3.googledomains.com."
,,"2023-02-10 13:12:25","2024-07-07 06:21:28",78,"kagla.finance.","NS","kagla.finance.","ns-cloud-e4.googledomains.com."
,,"2024-06-07 10:45:14","2024-07-11 12:30:37",83,"kagla.finance.","SOA","kagla.finance.","ns-cloud-e1.googledomains.com. cloud-dns-hostmaster.google.com. 7 21600 3600 259200 300"
