zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2023-02-21 00:17:41","2024-07-12 00:10:21",,,507,"karak.network.","NS","network.","ns-cloud-a1.googledomains.com."
"2023-02-21 00:17:41","2024-07-12 00:10:21",,,507,"karak.network.","NS","network.","ns-cloud-a2.googledomains.com."
"2023-02-21 00:17:41","2024-07-12 00:10:21",,,507,"karak.network.","NS","network.","ns-cloud-a3.googledomains.com."
"2023-02-21 00:17:41","2024-07-12 00:10:21",,,507,"karak.network.","NS","network.","ns-cloud-a4.googledomains.com."
,,"2023-10-14 04:10:40","2024-07-12 19:32:11",10045,"karak.network.","A","karak.network.","75.2.60.5"
,,"2023-02-21 01:59:28","2024-07-12 21:18:59",134927,"karak.network.","NS","network.","ns-cloud-a1.googledomains.com."
,,"2023-02-21 01:59:28","2024-07-12 21:18:59",134927,"karak.network.","NS","network.","ns-cloud-a2.googledomains.com."
,,"2023-02-21 01:59:28","2024-07-12 21:18:59",134927,"karak.network.","NS","network.","ns-cloud-a3.googledomains.com."
,,"2023-02-21 01:59:28","2024-07-12 21:18:59",134927,"karak.network.","NS","network.","ns-cloud-a4.googledomains.com."
,,"2023-02-22 01:04:58","2024-07-11 00:38:54",86,"karak.network.","NS","karak.network.","ns-cloud-a1.googledomains.com."
,,"2023-02-22 01:04:58","2024-07-11 00:38:54",86,"karak.network.","NS","karak.network.","ns-cloud-a2.googledomains.com."
,,"2023-02-22 01:04:58","2024-07-11 00:38:54",86,"karak.network.","NS","karak.network.","ns-cloud-a3.googledomains.com."
,,"2023-02-22 01:04:58","2024-07-11 00:38:54",86,"karak.network.","NS","karak.network.","ns-cloud-a4.googledomains.com."
,,"2024-06-14 01:03:39","2024-07-12 17:14:13",1895,"karak.network.","SOA","karak.network.","ns-cloud-a1.googledomains.com. cloud-dns-hostmaster.google.com. 72 21600 3600 259200 300"
