zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1096,"kassandra.finance.","NS","finance.","ns-cloud-c1.googledomains.com."
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1096,"kassandra.finance.","NS","finance.","ns-cloud-c2.googledomains.com."
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1096,"kassandra.finance.","NS","finance.","ns-cloud-c3.googledomains.com."
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1096,"kassandra.finance.","NS","finance.","ns-cloud-c4.googledomains.com."
,,"2021-11-23 18:36:55","2024-07-13 04:14:07",3167,"kassandra.finance.","A","kassandra.finance.","76.76.21.21"
,,"2021-04-17 17:38:13","2024-07-13 03:34:12",32768,"kassandra.finance.","NS","finance.","ns-cloud-c1.googledomains.com."
,,"2021-04-17 17:38:13","2024-07-13 03:34:12",32768,"kassandra.finance.","NS","finance.","ns-cloud-c2.googledomains.com."
,,"2021-04-17 17:38:13","2024-07-13 03:34:12",32768,"kassandra.finance.","NS","finance.","ns-cloud-c3.googledomains.com."
,,"2021-04-17 17:38:13","2024-07-13 03:34:12",32768,"kassandra.finance.","NS","finance.","ns-cloud-c4.googledomains.com."
,,"2021-04-19 23:35:58","2024-07-03 18:36:43",268,"kassandra.finance.","NS","kassandra.finance.","ns-cloud-c1.googledomains.com."
,,"2021-04-19 23:35:58","2024-07-03 18:36:43",268,"kassandra.finance.","NS","kassandra.finance.","ns-cloud-c2.googledomains.com."
,,"2021-04-19 23:35:58","2024-07-03 18:36:43",268,"kassandra.finance.","NS","kassandra.finance.","ns-cloud-c3.googledomains.com."
,,"2021-04-19 23:35:58","2024-07-03 18:36:43",268,"kassandra.finance.","NS","kassandra.finance.","ns-cloud-c4.googledomains.com."
,,"2024-06-19 14:02:47","2024-07-13 05:16:14",7674,"kassandra.finance.","SOA","kassandra.finance.","ns-cloud-c1.googledomains.com. cloud-dns-hostmaster.google.com. 36 21600 3600 259200 300"
