zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-05-25 00:08:32","2024-07-11 23:58:12",,,771,"kokonutswap.finance.","NS","finance.","dns1.p04.nsone.net."
"2022-05-25 00:08:32","2024-07-11 23:58:12",,,771,"kokonutswap.finance.","NS","finance.","dns2.p04.nsone.net."
"2022-05-25 00:08:32","2024-07-11 23:58:12",,,771,"kokonutswap.finance.","NS","finance.","dns3.p04.nsone.net."
"2022-05-25 00:08:32","2024-07-11 23:58:12",,,771,"kokonutswap.finance.","NS","finance.","dns4.p04.nsone.net."
,,"2023-08-30 10:22:14","2024-07-07 18:51:55",86,"kokonutswap.finance.","A","kokonutswap.finance.","3.70.101.28"
,,"2023-08-30 10:22:14","2024-07-07 18:51:55",86,"kokonutswap.finance.","A","kokonutswap.finance.","3.72.140.173"
,,"2023-09-03 20:28:27","2024-07-13 05:04:15",86,"kokonutswap.finance.","A","kokonutswap.finance.","3.70.101.28"
,,"2023-09-03 20:28:27","2024-07-13 05:04:15",86,"kokonutswap.finance.","A","kokonutswap.finance.","18.192.94.96"
,,"2023-09-17 20:30:50","2024-07-11 20:32:46",81,"kokonutswap.finance.","A","kokonutswap.finance.","3.70.101.28"
,,"2023-09-17 20:30:50","2024-07-11 20:32:46",81,"kokonutswap.finance.","A","kokonutswap.finance.","35.156.224.161"
,,"2023-09-13 22:26:50","2024-07-11 20:32:46",66,"kokonutswap.finance.","A","kokonutswap.finance.","3.72.140.173"
,,"2023-09-13 22:26:50","2024-07-11 20:32:46",66,"kokonutswap.finance.","A","kokonutswap.finance.","52.58.254.253"
,,"2023-09-03 03:34:06","2024-07-11 20:32:46",70,"kokonutswap.finance.","A","kokonutswap.finance.","18.192.94.96"
,,"2023-09-03 03:34:06","2024-07-11 20:32:46",70,"kokonutswap.finance.","A","kokonutswap.finance.","18.192.231.252"
,,"2023-08-24 21:28:16","2024-07-07 18:51:59",100,"kokonutswap.finance.","A","kokonutswap.finance.","18.192.231.252"
,,"2023-08-24 21:28:16","2024-07-07 18:51:59",100,"kokonutswap.finance.","A","kokonutswap.finance.","52.58.254.253"
,,"2023-09-04 15:58:58","2024-07-09 11:56:53",79,"kokonutswap.finance.","A","kokonutswap.finance.","35.156.224.161"
,,"2023-09-04 15:58:58","2024-07-09 11:56:53",79,"kokonutswap.finance.","A","kokonutswap.finance.","52.58.254.253"
,,"2022-05-24 07:23:17","2024-07-13 05:04:15",6468,"kokonutswap.finance.","NS","finance.","dns1.p04.nsone.net."
,,"2022-05-24 07:23:17","2024-07-13 05:04:15",6468,"kokonutswap.finance.","NS","finance.","dns2.p04.nsone.net."
,,"2022-05-24 07:23:17","2024-07-13 05:04:15",6468,"kokonutswap.finance.","NS","finance.","dns3.p04.nsone.net."
,,"2022-05-24 07:23:17","2024-07-13 05:04:15",6468,"kokonutswap.finance.","NS","finance.","dns4.p04.nsone.net."
,,"2022-09-23 21:16:13","2024-07-09 11:56:53",7500,"kokonutswap.finance.","SOA","kokonutswap.finance.","dns1.p04.nsone.net. domains+netlify.netlify.com. 1663738834 43200 7200 1209600 3600"
