zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1126,"layer2.finance.","NS","finance.","ns-cloud-a1.googledomains.com."
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1126,"layer2.finance.","NS","finance.","ns-cloud-a2.googledomains.com."
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1126,"layer2.finance.","NS","finance.","ns-cloud-a3.googledomains.com."
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1126,"layer2.finance.","NS","finance.","ns-cloud-a4.googledomains.com."
,,"2021-02-14 07:58:57","2024-07-12 05:33:25",2311,"layer2.finance.","A","layer2.finance.","185.199.108.153"
,,"2021-02-14 07:58:57","2024-07-12 05:33:25",2311,"layer2.finance.","A","layer2.finance.","185.199.109.153"
,,"2021-02-14 07:58:57","2024-07-12 05:33:25",2311,"layer2.finance.","A","layer2.finance.","185.199.110.153"
,,"2021-02-14 07:58:57","2024-07-12 05:33:25",2311,"layer2.finance.","A","layer2.finance.","185.199.111.153"
,,"2021-02-02 17:40:15","2024-07-12 05:33:25",13151,"layer2.finance.","NS","finance.","ns-cloud-a1.googledomains.com."
,,"2021-02-02 17:40:15","2024-07-12 05:33:25",13151,"layer2.finance.","NS","finance.","ns-cloud-a2.googledomains.com."
,,"2021-02-02 17:40:15","2024-07-12 05:33:25",13151,"layer2.finance.","NS","finance.","ns-cloud-a3.googledomains.com."
,,"2021-02-02 17:40:15","2024-07-12 05:33:25",13151,"layer2.finance.","NS","finance.","ns-cloud-a4.googledomains.com."
,,"2021-02-14 08:00:53","2024-07-05 00:51:58",239,"layer2.finance.","NS","layer2.finance.","ns-cloud-a1.googledomains.com."
,,"2021-02-14 08:00:53","2024-07-05 00:51:58",239,"layer2.finance.","NS","layer2.finance.","ns-cloud-a2.googledomains.com."
,,"2021-02-14 08:00:53","2024-07-05 00:51:58",239,"layer2.finance.","NS","layer2.finance.","ns-cloud-a3.googledomains.com."
,,"2021-02-14 08:00:53","2024-07-05 00:51:58",239,"layer2.finance.","NS","layer2.finance.","ns-cloud-a4.googledomains.com."
,,"2024-05-19 06:19:09","2024-07-11 09:12:13",94,"layer2.finance.","SOA","layer2.finance.","ns-cloud-a1.googledomains.com. cloud-dns-hostmaster.google.com. 27 21600 3600 259200 300"
