zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-05-05 22:10:20","2024-07-11 22:58:21",,,786,"liquidfinance.xyz.","NS","xyz.","ns-cloud-d1.googledomains.com."
"2022-05-05 22:10:20","2024-07-11 22:58:21",,,786,"liquidfinance.xyz.","NS","xyz.","ns-cloud-d2.googledomains.com."
"2022-05-05 22:10:20","2024-07-11 22:58:21",,,786,"liquidfinance.xyz.","NS","xyz.","ns-cloud-d3.googledomains.com."
"2022-05-05 22:10:20","2024-07-11 22:58:21",,,786,"liquidfinance.xyz.","NS","xyz.","ns-cloud-d4.googledomains.com."
,,"2023-06-01 03:11:37","2024-07-12 13:22:31",543,"liquidfinance.xyz.","A","liquidfinance.xyz.","76.76.21.21"
,,"2022-05-05 01:55:44","2024-07-12 13:22:31",4145,"liquidfinance.xyz.","NS","xyz.","ns-cloud-d1.googledomains.com."
,,"2022-05-05 01:55:44","2024-07-12 13:22:31",4145,"liquidfinance.xyz.","NS","xyz.","ns-cloud-d2.googledomains.com."
,,"2022-05-05 01:55:44","2024-07-12 13:22:31",4145,"liquidfinance.xyz.","NS","xyz.","ns-cloud-d3.googledomains.com."
,,"2022-05-05 01:55:44","2024-07-12 13:22:31",4145,"liquidfinance.xyz.","NS","xyz.","ns-cloud-d4.googledomains.com."
,,"2022-05-05 01:58:01","2024-07-06 14:36:50",100,"liquidfinance.xyz.","NS","liquidfinance.xyz.","ns-cloud-d1.googledomains.com."
,,"2022-05-05 01:58:01","2024-07-06 14:36:50",100,"liquidfinance.xyz.","NS","liquidfinance.xyz.","ns-cloud-d2.googledomains.com."
,,"2022-05-05 01:58:01","2024-07-06 14:36:50",100,"liquidfinance.xyz.","NS","liquidfinance.xyz.","ns-cloud-d3.googledomains.com."
,,"2022-05-05 01:58:01","2024-07-06 14:36:50",100,"liquidfinance.xyz.","NS","liquidfinance.xyz.","ns-cloud-d4.googledomains.com."
,,"2024-05-19 06:25:59","2024-07-09 07:43:01",91,"liquidfinance.xyz.","SOA","liquidfinance.xyz.","ns-cloud-d1.googledomains.com. cloud-dns-hostmaster.google.com. 26 21600 3600 259200 300"
