zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-10-20 00:38:23","2024-07-11 23:58:12",,,974,"lockon.finance.","NS","finance.","ns-cloud-c1.googledomains.com."
"2021-10-20 00:38:23","2024-07-11 23:58:12",,,974,"lockon.finance.","NS","finance.","ns-cloud-c2.googledomains.com."
"2021-10-20 00:38:23","2024-07-11 23:58:12",,,974,"lockon.finance.","NS","finance.","ns-cloud-c3.googledomains.com."
"2021-10-20 00:38:23","2024-07-11 23:58:12",,,974,"lockon.finance.","NS","finance.","ns-cloud-c4.googledomains.com."
,,"2024-07-03 01:31:39","2024-07-12 17:48:31",31,"lockon.finance.","A","lockon.finance.","198.185.159.145"
,,"2021-10-21 14:39:04","2024-07-12 21:13:29",12007,"lockon.finance.","NS","finance.","ns-cloud-c1.googledomains.com."
,,"2021-10-21 14:39:04","2024-07-12 21:13:29",12007,"lockon.finance.","NS","finance.","ns-cloud-c2.googledomains.com."
,,"2021-10-21 14:39:04","2024-07-12 21:13:29",12007,"lockon.finance.","NS","finance.","ns-cloud-c3.googledomains.com."
,,"2021-10-21 14:39:04","2024-07-12 21:13:29",12007,"lockon.finance.","NS","finance.","ns-cloud-c4.googledomains.com."
,,"2021-11-01 11:08:07","2024-07-10 10:04:29",159,"lockon.finance.","NS","lockon.finance.","ns-cloud-c1.googledomains.com."
,,"2021-11-01 11:08:07","2024-07-10 10:04:29",159,"lockon.finance.","NS","lockon.finance.","ns-cloud-c2.googledomains.com."
,,"2021-11-01 11:08:07","2024-07-10 10:04:29",159,"lockon.finance.","NS","lockon.finance.","ns-cloud-c3.googledomains.com."
,,"2021-11-01 11:08:07","2024-07-10 10:04:29",159,"lockon.finance.","NS","lockon.finance.","ns-cloud-c4.googledomains.com."
,,"2024-07-04 02:31:43","2024-07-12 17:49:40",28,"lockon.finance.","SOA","lockon.finance.","ns-cloud-c1.googledomains.com. cloud-dns-hostmaster.google.com. 43 21600 3600 259200 300"
,,"2022-03-27 21:55:50","2024-07-12 17:48:31",231,"lockon.finance.","MX","lockon.finance.","1 aspmx.l.google.com."
,,"2022-03-27 21:55:50","2024-07-12 17:48:31",231,"lockon.finance.","MX","lockon.finance.","5 alt1.aspmx.l.google.com."
,,"2022-03-27 21:55:50","2024-07-12 17:48:31",231,"lockon.finance.","MX","lockon.finance.","5 alt2.aspmx.l.google.com."
,,"2022-03-27 21:55:50","2024-07-12 17:48:31",231,"lockon.finance.","MX","lockon.finance.","10 alt3.aspmx.l.google.com."
,,"2022-03-27 21:55:50","2024-07-12 17:48:31",231,"lockon.finance.","MX","lockon.finance.","10 alt4.aspmx.l.google.com."
