zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-09-11 00:04:57","2024-07-11 23:09:27",,,1010,"looksrare.org.","NS","org.","veda.ns.cloudflare.com."
"2021-09-11 00:04:57","2024-07-11 23:09:27",,,1010,"looksrare.org.","NS","org.","derek.ns.cloudflare.com."
,,"2024-02-12 21:30:56","2024-07-13 01:44:54",25656,"looksrare.org.","A","looksrare.org.","104.21.1.52"
,,"2024-02-12 21:30:56","2024-07-13 01:44:54",25656,"looksrare.org.","A","looksrare.org.","172.67.128.140"
,,"2021-09-12 10:23:54","2024-07-01 11:25:09",27,"looksrare.org.","A","looksrare.org.","172.64.80.1"
,,"2024-02-18 21:33:02","2024-07-04 04:43:51",86,"looksrare.org.","A","looksrare.org.","188.114.96.0"
,,"2024-02-18 21:33:02","2024-07-04 04:43:51",86,"looksrare.org.","A","looksrare.org.","188.114.97.0"
,,"2024-02-27 11:09:22","2024-07-09 15:47:29",20,"looksrare.org.","A","looksrare.org.","188.114.96.1"
,,"2024-02-27 11:09:22","2024-07-09 15:47:29",20,"looksrare.org.","A","looksrare.org.","188.114.97.1"
,,"2024-02-13 00:52:18","2024-07-12 12:23:12",885,"looksrare.org.","A","looksrare.org.","188.114.96.3"
,,"2024-02-13 00:52:18","2024-07-12 12:23:12",885,"looksrare.org.","A","looksrare.org.","188.114.97.3"
,,"2024-02-13 13:08:09","2024-07-12 20:10:57",295,"looksrare.org.","A","looksrare.org.","188.114.96.4"
,,"2024-02-13 13:08:09","2024-07-12 20:10:57",295,"looksrare.org.","A","looksrare.org.","188.114.97.4"
,,"2024-02-13 17:30:58","2024-07-13 01:21:37",92,"looksrare.org.","A","looksrare.org.","188.114.96.8"
,,"2024-02-13 17:30:58","2024-07-13 01:21:37",92,"looksrare.org.","A","looksrare.org.","188.114.97.8"
,,"2021-09-10 19:37:11","2024-07-13 05:25:30",1148326,"looksrare.org.","NS","org.","veda.ns.cloudflare.com."
,,"2021-09-10 19:37:11","2024-07-13 05:25:30",1148326,"looksrare.org.","NS","org.","derek.ns.cloudflare.com."
,,"2024-07-01 04:17:25","2024-07-01 04:17:41",991,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2345293125 10000 2400 604800 1800"
,,"2024-07-01 12:35:37","2024-07-01 12:35:42",57,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2345322864 10000 2400 604800 1800"
,,"2024-07-03 16:50:11","2024-07-03 16:50:11",1,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2345511101 10000 2400 604800 1800"
,,"2024-07-03 23:58:58","2024-07-03 23:58:58",2,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2345536623 10000 2400 604800 1800"
,,"2024-07-04 02:19:47","2024-07-04 02:19:47",2,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2345545231 10000 2400 604800 1800"
,,"2024-07-06 01:42:40","2024-07-06 01:44:18",7945,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2345715857 10000 2400 604800 1800"
,,"2024-07-06 01:44:17","2024-07-06 01:44:39",1776,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2345715957 10000 2400 604800 1800"
,,"2024-07-06 01:44:38","2024-07-06 01:46:16",7712,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2345715977 10000 2400 604800 1800"
,,"2024-07-10 15:19:26","2024-07-10 15:19:26",1,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2346110312 10000 2400 604800 1800"
,,"2024-07-12 22:25:55","2024-07-12 22:25:55",1,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2346308842 10000 2400 604800 1800"
,,"2024-07-12 22:26:03","2024-07-12 22:26:03",1,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2346308862 10000 2400 604800 1800"
,,"2024-07-13 00:43:47","2024-07-13 00:43:47",1,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2346317098 10000 2400 604800 1800"
,,"2024-02-12 21:35:51","2024-07-12 18:37:03",16400,"looksrare.org.","AAAA","looksrare.org.","2606:4700:3033::ac43:808c"
,,"2024-02-12 21:35:51","2024-07-12 18:37:03",16400,"looksrare.org.","AAAA","looksrare.org.","2606:4700:3034::6815:134"
,,"2024-05-10 06:43:05","2024-07-09 15:47:29",12,"looksrare.org.","AAAA","looksrare.org.","2a06:98c1:3120::1"
,,"2024-05-10 06:43:05","2024-07-09 15:47:29",12,"looksrare.org.","AAAA","looksrare.org.","2a06:98c1:3121::1"
,,"2024-02-13 00:52:18","2024-07-12 10:24:42",643,"looksrare.org.","AAAA","looksrare.org.","2a06:98c1:3120::3"
,,"2024-02-13 00:52:18","2024-07-12 10:24:42",643,"looksrare.org.","AAAA","looksrare.org.","2a06:98c1:3121::3"
,,"2024-02-13 13:08:09","2024-07-13 11:05:29",225,"looksrare.org.","AAAA","looksrare.org.","2a06:98c1:3120::4"
,,"2024-02-13 13:08:09","2024-07-13 11:05:29",225,"looksrare.org.","AAAA","looksrare.org.","2a06:98c1:3121::4"
,,"2024-02-15 12:38:03","2024-07-12 11:55:27",67,"looksrare.org.","AAAA","looksrare.org.","2a06:98c1:3120::8"
,,"2024-02-15 12:38:03","2024-07-12 11:55:27",67,"looksrare.org.","AAAA","looksrare.org.","2a06:98c1:3121::8"
,,"2024-02-12 21:35:51","2024-07-12 17:26:47",21144,"looksrare.org.","HTTPS","looksrare.org.","1 . alpn=\"h3,h2\" ipv4hint=104.21.1.52,172.67.128.140 ipv6hint=2606:4700:3033::ac43:808c,2606:4700:3034::6815:134"
,,"2024-02-12 22:27:45","2024-07-12 12:23:13",630,"looksrare.org.","HTTPS","looksrare.org.","1 . alpn=\"h3,h2\" ipv4hint=188.114.96.3,188.114.97.3 ipv6hint=2a06:98c1:3120::3,2a06:98c1:3121::3"
,,"2024-02-13 11:01:17","2024-07-12 15:51:56",272,"looksrare.org.","HTTPS","looksrare.org.","1 . alpn=\"h3,h2\" ipv4hint=188.114.96.4,188.114.97.4 ipv6hint=2a06:98c1:3120::4,2a06:98c1:3121::4"
