zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2023-03-24 10:17:59","2024-07-10 12:03:32",,,472,"mantadao.app.","NS","app.","ns-cloud-b1.googledomains.com."
"2023-03-24 10:17:59","2024-07-10 12:03:32",,,472,"mantadao.app.","NS","app.","ns-cloud-b2.googledomains.com."
"2023-03-24 10:17:59","2024-07-10 12:03:32",,,472,"mantadao.app.","NS","app.","ns-cloud-b3.googledomains.com."
"2023-03-24 10:17:59","2024-07-10 12:03:32",,,472,"mantadao.app.","NS","app.","ns-cloud-b4.googledomains.com."
,,"2023-03-31 14:55:05","2024-07-11 13:43:06",2871,"mantadao.app.","A","mantadao.app.","216.239.32.21"
,,"2023-03-31 14:55:05","2024-07-11 13:43:06",2871,"mantadao.app.","A","mantadao.app.","216.239.34.21"
,,"2023-03-31 14:55:05","2024-07-11 13:43:06",2871,"mantadao.app.","A","mantadao.app.","216.239.36.21"
,,"2023-03-31 14:55:05","2024-07-11 13:43:06",2871,"mantadao.app.","A","mantadao.app.","216.239.38.21"
,,"2023-03-27 01:44:33","2024-07-13 11:04:43",19031,"mantadao.app.","NS","app.","ns-cloud-b1.googledomains.com."
,,"2023-03-27 01:44:33","2024-07-13 11:04:43",19031,"mantadao.app.","NS","app.","ns-cloud-b2.googledomains.com."
,,"2023-03-27 01:44:33","2024-07-13 11:04:43",19031,"mantadao.app.","NS","app.","ns-cloud-b3.googledomains.com."
,,"2023-03-27 01:44:33","2024-07-13 11:04:43",19031,"mantadao.app.","NS","app.","ns-cloud-b4.googledomains.com."
,,"2023-03-31 14:55:18","2024-07-12 05:53:15",80,"mantadao.app.","NS","mantadao.app.","ns-cloud-b1.googledomains.com."
,,"2023-03-31 14:55:18","2024-07-12 05:53:15",80,"mantadao.app.","NS","mantadao.app.","ns-cloud-b2.googledomains.com."
,,"2023-03-31 14:55:18","2024-07-12 05:53:15",80,"mantadao.app.","NS","mantadao.app.","ns-cloud-b3.googledomains.com."
,,"2023-03-31 14:55:18","2024-07-12 05:53:15",80,"mantadao.app.","NS","mantadao.app.","ns-cloud-b4.googledomains.com."
,,"2024-06-05 10:13:27","2024-07-13 02:02:54",68,"mantadao.app.","SOA","mantadao.app.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 13 21600 3600 259200 300"
,,"2023-03-31 14:55:21","2024-07-09 21:44:07",38,"mantadao.app.","MX","mantadao.app.","1 aspmx.l.google.com."
,,"2023-03-31 14:55:21","2024-07-09 21:44:07",38,"mantadao.app.","MX","mantadao.app.","5 alt1.aspmx.l.google.com."
,,"2023-03-31 14:55:21","2024-07-09 21:44:07",38,"mantadao.app.","MX","mantadao.app.","5 alt2.aspmx.l.google.com."
,,"2023-03-31 14:55:21","2024-07-09 21:44:07",38,"mantadao.app.","MX","mantadao.app.","10 alt3.aspmx.l.google.com."
,,"2023-03-31 14:55:21","2024-07-09 21:44:07",38,"mantadao.app.","MX","mantadao.app.","10 alt4.aspmx.l.google.com."
,,"2023-04-07 14:01:13","2024-07-11 10:44:04",1195,"mantadao.app.","AAAA","mantadao.app.","2001:4860:4802:32::15"
,,"2023-04-07 14:01:13","2024-07-11 10:44:04",1195,"mantadao.app.","AAAA","mantadao.app.","2001:4860:4802:34::15"
,,"2023-04-07 14:01:13","2024-07-11 10:44:04",1195,"mantadao.app.","AAAA","mantadao.app.","2001:4860:4802:36::15"
,,"2023-04-07 14:01:13","2024-07-11 10:44:04",1195,"mantadao.app.","AAAA","mantadao.app.","2001:4860:4802:38::15"
