zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2023-05-30 00:12:47","2024-07-11 23:58:12",,,409,"mendi.finance.","NS","finance.","kirk.ns.cloudflare.com."
"2023-05-30 00:12:47","2024-07-11 23:58:12",,,409,"mendi.finance.","NS","finance.","rita.ns.cloudflare.com."
,,"2023-05-31 03:06:32","2024-07-12 23:41:17",4992,"mendi.finance.","A","mendi.finance.","104.26.6.193"
,,"2023-05-31 03:06:32","2024-07-12 23:41:17",4992,"mendi.finance.","A","mendi.finance.","104.26.7.193"
,,"2023-05-31 03:06:32","2024-07-12 23:41:17",4992,"mendi.finance.","A","mendi.finance.","172.67.69.234"
,,"2023-05-31 07:09:57","2024-07-13 03:29:42",16232,"mendi.finance.","A","mendi.finance.","188.114.98.229"
,,"2023-05-31 07:09:57","2024-07-13 03:29:42",16232,"mendi.finance.","A","mendi.finance.","188.114.99.229"
,,"2023-05-29 16:25:55","2024-07-13 00:41:46",179843,"mendi.finance.","NS","finance.","kirk.ns.cloudflare.com."
,,"2023-05-29 16:25:55","2024-07-13 00:41:46",179843,"mendi.finance.","NS","finance.","rita.ns.cloudflare.com."
,,"2023-06-27 20:47:21","2024-07-08 13:07:38",75,"mendi.finance.","NS","mendi.finance.","kirk.ns.cloudflare.com."
,,"2023-06-27 20:47:21","2024-07-08 13:07:38",75,"mendi.finance.","NS","mendi.finance.","rita.ns.cloudflare.com."
,,"2024-06-14 12:11:15","2024-07-13 08:04:43",137,"mendi.finance.","SOA","mendi.finance.","kirk.ns.cloudflare.com. dns.cloudflare.com. 2343788993 10000 2400 604800 1800"
,,"2023-07-16 16:18:39","2024-07-13 09:51:44",3239,"mendi.finance.","AAAA","mendi.finance.","2606:4700:20::681a:6c1"
,,"2023-07-16 16:18:39","2024-07-13 09:51:44",3239,"mendi.finance.","AAAA","mendi.finance.","2606:4700:20::681a:7c1"
,,"2023-07-16 16:18:39","2024-07-13 09:51:44",3239,"mendi.finance.","AAAA","mendi.finance.","2606:4700:20::ac43:45ea"
,,"2023-07-15 05:24:35","2024-07-13 08:43:41",2134,"mendi.finance.","AAAA","mendi.finance.","2a06:98c1:3122:e000::5"
,,"2023-07-15 05:24:35","2024-07-13 08:43:41",2134,"mendi.finance.","AAAA","mendi.finance.","2a06:98c1:3123:e000::5"
,,"2023-08-01 16:43:23","2024-07-13 00:09:22",4449,"mendi.finance.","HTTPS","mendi.finance.","1 . alpn=\"h2\" ipv4hint=188.114.98.229,188.114.99.229 ipv6hint=2a06:98c1:3122:e000::5,2a06:98c1:3123:e000::5"
,,"2023-07-12 10:38:33","2024-07-13 09:02:48",3470,"mendi.finance.","HTTPS","mendi.finance.","1 . alpn=\"h2\" ipv4hint=104.26.6.193,104.26.7.193,172.67.69.234 ipv6hint=2606:4700:20::681a:6c1,2606:4700:20::681a:7c1,2606:4700:20::ac43:45ea"
