zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-12-13 22:02:48","2024-07-11 22:58:21",,,576,"metastreet.xyz.","NS","xyz.","ns1.vercel-dns-2.com."
"2022-12-13 22:02:48","2024-07-11 22:58:21",,,576,"metastreet.xyz.","NS","xyz.","ns2.vercel-dns-2.com."
,,"2023-12-21 10:31:00","2024-07-11 06:59:29",32,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.9"
,,"2023-12-21 10:31:00","2024-07-11 06:59:29",32,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.22"
,,"2024-01-04 07:38:04","2024-07-07 18:35:24",60,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.9"
,,"2024-01-04 07:38:04","2024-07-07 18:35:24",60,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.61"
,,"2024-01-26 12:06:57","2024-07-10 20:52:20",41,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.9"
,,"2024-01-26 12:06:57","2024-07-10 20:52:20",41,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.93"
,,"2023-12-17 14:36:10","2024-07-09 15:53:31",56,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.9"
,,"2023-12-17 14:36:10","2024-07-09 15:53:31",56,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.98"
,,"2023-12-07 03:26:00","2024-07-04 05:25:34",50,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.9"
,,"2023-12-07 03:26:00","2024-07-04 05:25:34",50,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.123"
,,"2024-01-04 20:45:19","2024-07-10 20:49:06",34,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.9"
,,"2024-01-04 20:45:19","2024-07-10 20:49:06",34,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.142"
,,"2023-12-22 02:32:06","2024-07-13 02:03:17",34,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.9"
,,"2023-12-22 02:32:06","2024-07-13 02:03:17",34,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.164"
