zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-12-04 00:00:42","2024-07-11 23:58:12",,,586,"mozaic.finance.","NS","finance.","aarav.ns.cloudflare.com."
"2022-12-04 00:00:42","2024-07-11 23:58:12",,,586,"mozaic.finance.","NS","finance.","keyla.ns.cloudflare.com."
,,"2023-10-25 19:43:27","2024-07-12 21:02:53",4118,"mozaic.finance.","A","mozaic.finance.","104.21.62.59"
,,"2023-10-25 19:43:27","2024-07-12 21:02:53",4118,"mozaic.finance.","A","mozaic.finance.","172.67.220.162"
,,"2022-12-03 11:48:02","2024-07-09 20:29:59",259,"mozaic.finance.","A","mozaic.finance.","188.114.96.3"
,,"2022-12-03 11:48:02","2024-07-09 20:29:59",259,"mozaic.finance.","A","mozaic.finance.","188.114.97.3"
,,"2022-12-03 03:41:35","2024-07-12 21:02:53",22028,"mozaic.finance.","NS","finance.","aarav.ns.cloudflare.com."
,,"2022-12-03 03:41:35","2024-07-12 21:02:53",22028,"mozaic.finance.","NS","finance.","keyla.ns.cloudflare.com."
,,"2022-12-03 03:41:36","2024-07-11 06:56:50",127,"mozaic.finance.","NS","mozaic.finance.","aarav.ns.cloudflare.com."
,,"2022-12-03 03:41:36","2024-07-11 06:56:50",127,"mozaic.finance.","NS","mozaic.finance.","keyla.ns.cloudflare.com."
,,"2024-06-27 07:07:57","2024-07-05 11:47:30",13,"mozaic.finance.","SOA","mozaic.finance.","aarav.ns.cloudflare.com. dns.cloudflare.com. 2344950582 10000 2400 604800 1800"
,,"2024-07-07 01:33:48","2024-07-09 09:44:05",4,"mozaic.finance.","SOA","mozaic.finance.","aarav.ns.cloudflare.com. dns.cloudflare.com. 2345681099 10000 2400 604800 1800"
,,"2024-07-10 00:15:08","2024-07-10 00:15:09",6,"mozaic.finance.","SOA","mozaic.finance.","aarav.ns.cloudflare.com. dns.cloudflare.com. 2346025849 10000 2400 604800 1800"
,,"2024-07-10 23:01:43","2024-07-10 23:01:43",2,"mozaic.finance.","SOA","mozaic.finance.","aarav.ns.cloudflare.com. dns.cloudflare.com. 2346123037 10000 2400 604800 1800"
,,"2024-07-12 21:01:00","2024-07-12 21:01:00",1,"mozaic.finance.","SOA","mozaic.finance.","aarav.ns.cloudflare.com. dns.cloudflare.com. 2346228248 10000 2400 604800 1800"
,,"2022-05-09 07:40:15","2024-07-13 09:03:44",219,"mozaic.finance.","MX","mozaic.finance.","1 aspmx.l.google.com."
,,"2022-05-09 07:40:15","2024-07-13 09:03:44",219,"mozaic.finance.","MX","mozaic.finance.","5 alt1.aspmx.l.google.com."
,,"2022-05-09 07:40:15","2024-07-13 09:03:44",219,"mozaic.finance.","MX","mozaic.finance.","5 alt2.aspmx.l.google.com."
,,"2022-05-09 07:40:15","2024-07-13 09:03:44",219,"mozaic.finance.","MX","mozaic.finance.","10 alt3.aspmx.l.google.com."
,,"2022-05-09 07:40:15","2024-07-13 09:03:44",219,"mozaic.finance.","MX","mozaic.finance.","10 alt4.aspmx.l.google.com."
,,"2023-10-25 19:43:27","2024-07-12 21:02:53",943,"mozaic.finance.","AAAA","mozaic.finance.","2606:4700:3030::ac43:dca2"
,,"2023-10-25 19:43:27","2024-07-12 21:02:53",943,"mozaic.finance.","AAAA","mozaic.finance.","2606:4700:3037::6815:3e3b"
,,"2023-11-03 22:43:02","2024-07-07 20:55:52",20,"mozaic.finance.","AAAA","mozaic.finance.","2a06:98c1:3120::4"
,,"2023-11-03 22:43:02","2024-07-07 20:55:52",20,"mozaic.finance.","AAAA","mozaic.finance.","2a06:98c1:3121::4"
,,"2023-10-26 19:33:52","2024-07-09 04:51:38",1094,"mozaic.finance.","HTTPS","mozaic.finance.","1 . alpn=\"h3,h2\" ipv4hint=104.21.62.59,172.67.220.162 ipv6hint=2606:4700:3030::ac43:dca2,2606:4700:3037::6815:3e3b"
,,"2023-07-03 15:12:08","2024-07-04 12:17:57",185,"mozaic.finance.","HTTPS","mozaic.finance.","1 . alpn=\"h3,h2\" ipv4hint=188.114.96.3,188.114.97.3 ipv6hint=2a06:98c1:3120::3,2a06:98c1:3121::3"
